InstanceType,InstanceFamily,InstanceCategory,InstanceCharacter,vCPU,Memory,old_CoreMark,CoreMark,CpuModel,ModelName,Vendor
a1.medium,a1,General,a,1.0,2.0,,11831.62,Cortex-A72,Cortex-A72,AWS
a1.large,a1,General,a,2.0,4.0,,11831.62,Cortex-A72,Cortex-A72,AWS
a1.xlarge,a1,General,a,4.0,8.0,,11831.62,Cortex-A72,Cortex-A72,AWS
a1.2xlarge,a1,General,a,8.0,16.0,,11831.62,Cortex-A72,Cortex-A72,AWS
a1.4xlarge,a1,General,a,16.0,32.0,,11831.62,Cortex-A72,Cortex-A72,AWS
c1.medium,c1,Computing,c,1.0,1.0,,16256.0445,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel
c1.xlarge,c1,Computing,c,4.0,7.0,,16256.0445,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,Intel
c3.large,c3,Computing,c,2.0,3.0,,21771.302000000003,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c3.xlarge,c3,Computing,c,4.0,7.0,,21771.302000000003,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c3.2xlarge,c3,Computing,c,8.0,15.0,,21771.302000000003,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c3.4xlarge,c3,Computing,c,16.0,30.0,,21771.302000000003,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c3.8xlarge,c3,Computing,c,32.0,60.0,,21771.302000000003,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c4.large,c4,Computing,c,2.0,3.0,24008.115126800003,24429.823800000002,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.xlarge,c4,Computing,c,4.0,7.0,24078.4102712,24429.823800000002,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.2xlarge,c4,Computing,c,8.0,15.0,24154.71519,24429.823800000002,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.4xlarge,c4,Computing,c,16.0,30.0,24157.426562800003,24429.823800000002,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.8xlarge,c4,Computing,c,32.0,60.0,24066.19746,24429.823800000002,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c5.large,c5,Computing,c,2.0,4.0,25334.1638072,24562.482727272727,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5.xlarge,c5,Computing,c,4.0,8.0,25343.5530924,24562.482727272727,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
