allocation_type,run_number,instance_type,coremark_score,file_path
dedicated,1,c7ilarge,32613.6586,runs/dedicated/1/c7ilarge/perfkitbenchmarker_results.json
dedicated,2,c7ilarge,32597.711641,runs/dedicated/2/c7ilarge/perfkitbenchmarker_results.json
dedicated,1,i7ilarge,34320.623263,runs/dedicated/1/i7ilarge/perfkitbenchmarker_results.json
dedicated,2,i7ilarge,34347.736484,runs/dedicated/2/i7ilarge/perfkitbenchmarker_results.json
dedicated,1,m7ilarge,32666.928002,runs/dedicated/1/m7ilarge/perfkitbenchmarker_results.json
dedicated,2,m7ilarge,32592.399452,runs/dedicated/2/m7ilarge/perfkitbenchmarker_results.json
dedicated,1,r7ilarge,32559.502491,runs/dedicated/1/r7ilarge/perfkitbenchmarker_results.json
dedicated,2,r7ilarge,32571.168002,runs/dedicated/2/r7ilarge/perfkitbenchmarker_results.json
dedicated,1,t3micro,24432.553935,runs/dedicated/1/t3micro/perfkitbenchmarker_results.json
dedicated,2,t3micro,23858.376676,runs/dedicated/2/t3micro/perfkitbenchmarker_results.json
spot,1,c7ilarge,32343.618604,runs/spot/1/c7ilarge/perfkitbenchmarker_results.json
spot,2,c7ilarge,31827.874853,runs/spot/2/c7ilarge/perfkitbenchmarker_results.json
spot,1,i7ilarge,33782.642478,runs/spot/1/i7ilarge/perfkitbenchmarker_results.json
spot,2,i7ilarge,27381.50653,runs/spot/2/i7ilarge/perfkitbenchmarker_results.json
spot,1,m7ilarge,30409.9258,runs/spot/1/m7ilarge/perfkitbenchmarker_results.json
spot,2,m7ilarge,31770.237641,runs/spot/2/m7ilarge/perfkitbenchmarker_results.json
spot,1,r7ilarge,30148.63276,runs/spot/1/r7ilarge/perfkitbenchmarker_results.json
spot,2,r7ilarge,27897.893709,runs/spot/2/r7ilarge/perfkitbenchmarker_results.json
spot,1,t3micro,21460.148504,runs/spot/1/t3micro/perfkitbenchmarker_results.json
spot,2,t3micro,20842.451906,runs/spot/2/t3micro/perfkitbenchmarker_results.json
