pricing_policy,run_number,instance_type,cpu_model,avg_coremark,score_1,score_2,score_3,score_4,score_5,
dedicated,1,t3micro,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,24417.53,24432.55,24433.15,24404.53,24403.93,24413.47,
dedicated,2,t3micro,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,23858.6,23858.38,23854.39,23863.5,23861.79,23854.96,
spot,1,t3micro,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,21408.76,21460.15,21464.29,21420.16,21434.39,21264.83,
spot,2,t3micro,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,21215.18,20842.45,21394.49,21380.77,21173.43,21284.75,
dedicated,1,r7ilarge,Intel(R) Xeon(R) Platinum 8488C,32603.93,32559.5,32631.75,32673.33,32559.5,32595.59,
dedicated,2,r7ilarge,Intel(R) Xeon(R) Platinum 8488C,32632.67,32571.17,32649.86,32695.77,32655.19,32591.34,
spot,1,r7ilarge,Intel(R) Xeon(R) Platinum 8488C,30562.01,30148.63,29528.14,30731.41,30889.94,31511.94,
spot,2,r7ilarge,Intel(R) Xeon(R) Platinum 8488C,27918.65,27897.89,27969.68,27939.2,27901.79,27884.67,
dedicated,1,m7ilarge,Intel(R) Xeon(R) Platinum 8488C,32629.37,32666.93,32720.37,32680.81,32548.9,32529.85,
dedicated,2,m7ilarge,Intel(R) Xeon(R) Platinum 8488C,32627.75,32592.4,32700.04,32634.95,32610.47,32600.9,
spot,1,m7ilarge,Intel(R) Xeon(R) Platinum 8488C,31562.37,30409.93,31946.84,31945.82,31573.63,31935.62,
spot,2,m7ilarge,Intel(R) Xeon(R) Platinum 8488C,31787.27,31770.24,31831.93,31825.85,31801.56,31706.78,
dedicated,1,i7ilarge,Intel(R) Xeon(R) Platinum 8559C,34349.89,34320.62,34405.64,34368.99,34319.45,34334.76,
dedicated,2,i7ilarge,Intel(R) Xeon(R) Platinum 8559C,34364.5,34347.74,34389.08,34372.53,34353.64,34359.54,
spot,1,i7ilarge,Intel(R) Xeon(R) Platinum 8559C,33811.01,33782.64,33867.31,33844.38,33791.78,33768.95,
spot,2,i7ilarge,Intel(R) Xeon(R) Platinum 8559C,27433.68,27381.51,27422.8,27477.06,27465.74,27421.3,
dedicated,1,c7ilarge,Intel(R) Xeon(R) Platinum 8488C,32612.18,32613.66,32631.75,32600.9,32580.72,32633.88,
dedicated,2,c7ilarge,Intel(R) Xeon(R) Platinum 8488C,32642.87,32597.71,32649.86,32702.18,32644.53,32620.04,
spot,1,c7ilarge,Intel(R) Xeon(R) Platinum 8488C,32276.48,32343.62,32219.61,32293.48,32207.16,32318.53,
spot,2,c7ilarge,Intel(R) Xeon(R) Platinum 8488C,31743.48,31827.87,31736.96,31752.08,31686.68,31713.81,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
