instance_type,timestamp,hour,cpu_model,avg_coremark,num_scores,score_1,score_2,score_3,score_4,score_5
c7ilarge,2025-08-21 11:00:00,11,Intel(R) Xeon(R) Platinum 8488C,28026.82,5,28026.91,27941.55,28057.57,28060.72,28047.34
c7ilarge,2025-08-21 12:00:00,12,Intel(R) Xeon(R) Platinum 8488C,27600.45,5,27706.2,27693.93,27423.56,27483.85,27694.69
c7ilarge,2025-08-21 13:00:00,13,Intel(R) Xeon(R) Platinum 8488C,28001.0,5,27909.57,27941.55,28016.7,28067.81,28069.39
c7ilarge,2025-08-21 14:00:00,14,Intel(R) Xeon(R) Platinum 8488C,27514.02,5,27467.25,27552.0,27577.84,27471.77,27501.24
c7ilarge,2025-08-21 15:00:00,15,Intel(R) Xeon(R) Platinum 8488C,30970.71,5,30922.42,30978.93,30964.55,30996.22,30991.42
c7ilarge,2025-08-21 16:00:00,16,Intel(R) Xeon(R) Platinum 8488C,30774.69,5,30746.53,30869.91,30681.43,30734.24,30841.35
c7ilarge,2025-08-21 17:00:00,17,Intel(R) Xeon(R) Platinum 8488C,27691.05,5,27674.77,27640.34,27724.64,27720.03,27695.46
c7ilarge,2025-08-21 18:00:00,18,Intel(R) Xeon(R) Platinum 8488C,30027.47,5,30021.01,29848.07,30077.0,30043.56,30147.72
c7ilarge,2025-08-21 19:00:00,19,Intel(R) Xeon(R) Platinum 8488C,27620.4,5,27615.16,27616.68,27622.78,27560.36,27687.03
c7ilarge,2025-08-21 20:00:00,20,Intel(R) Xeon(R) Platinum 8488C,27762.39,5,27772.38,27618.97,27697.76,27749.26,27973.59
c7ilarge,2025-08-21 21:00:00,21,Intel(R) Xeon(R) Platinum 8488C,29572.76,5,29933.85,29458.55,29501.14,29435.14,29535.12
c7ilarge,2025-08-21 22:00:00,22,Intel(R) Xeon(R) Platinum 8488C,30447.77,5,30318.65,30368.37,30488.73,30531.55,30531.55
c7ilarge,2025-08-21 23:00:00,23,Intel(R) Xeon(R) Platinum 8488C,27527.54,5,27387.51,27365.77,27628.13,27651.81,27604.48
c7ilarge,2025-08-22 00:00:00,0,Intel(R) Xeon(R) Platinum 8488C,30736.7,5,30808.1,30724.8,30832.79,30697.45,30620.37
c7ilarge,2025-08-22 01:00:00,1,Intel(R) Xeon(R) Platinum 8488C,29541.52,5,28631.14,28758.77,29508.1,30293.85,30515.72
i7ilarge,2025-08-21 11:00:00,11,Intel(R) Xeon(R) Platinum 8559C,30542.51,5,30887.08,30869.91,30935.81,30067.95,29951.78
i7ilarge,2025-08-21 12:00:00,12,Intel(R) Xeon(R) Platinum 8559C,33019.5,5,33160.9,33160.9,33111.49,32824.55,32839.64
i7ilarge,2025-08-21 13:00:00,13,Intel(R) Xeon(R) Platinum 8559C,32968.29,5,33136.72,33037.1,34213.77,33229.22,31224.63
i7ilarge,2025-08-21 14:00:00,14,Intel(R) Xeon(R) Platinum 8559C,28309.06,5,28283.74,28335.84,28324.6,28293.35,28307.76
i7ilarge,2025-08-21 15:00:00,15,Intel(R) Xeon(R) Platinum 8559C,31063.89,5,31880.64,31843.08,31715.83,30351.78,29528.14
i7ilarge,2025-08-21 16:00:00,16,Intel(R) Xeon(R) Platinum 8559C,30452.25,5,30688.97,31056.87,31035.66,30229.75,29250.03
i7ilarge,2025-08-21 17:00:00,17,Intel(R) Xeon(R) Platinum 8559C,29887.87,5,30168.64,30485.95,30321.41,29115.47,29347.89
i7ilarge,2025-08-21 18:00:00,18,Intel(R) Xeon(R) Platinum 8559C,32000.32,5,32754.67,32813.78,32660.53,32610.47,29162.17
i7ilarge,2025-08-21 19:00:00,19,Intel(R) Xeon(R) Platinum 8559C,30051.55,5,30394.21,30314.97,30374.83,29826.71,29347.03
i7ilarge,2025-08-21 20:00:00,20,Intel(R) Xeon(R) Platinum 8559C,30785.16,5,31998.98,31852.21,31955.01,28989.71,29129.89
