time,pods,cpu,memory,karpenter,kubecaps
2025-05-21 17:40:00+09:00,10,1,2,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.1696), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(142016.1794787736)}","{'performance': 184033.6735, 'cost': 0.047999999999999994, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 383403.4864583334}"
2025-05-21 17:40:00+09:00,10,1,4,"{'performance': np.float64(309364.100352), 'cost': np.float64(0.1943), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(99512.38431291816)}","{'performance': 289845.006812, 'cost': 0.11499999999999999, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 252039.1363582609}"
2025-05-21 17:40:00+09:00,10,2,2,"{'performance': np.float64(309501.7072), 'cost': np.float64(0.337), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(57400.16824925816)}","{'performance': 333711.74889399996, 'cost': 0.21100000000000002, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 158157.226963981}"
2025-05-21 17:40:00+09:00,50,1,2,"{'performance': np.float64(1553926.921856), 'cost': np.float64(0.677), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(35864.26610635155)}","{'performance': 921765.281828, 'cost': 0.26999999999999996, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 68278.90976503704}"
2025-05-21 18:00:00+09:00,17,7,7,"{'performance': np.float64(753882.5382462), 'cost': np.float64(2.0331), 'assignable_pod': np.float64(27.0), 'excess_pod': np.float64(10.0), 'efficiency': np.float64(13733.49834764645)}","{'performance': 621719.1108504, 'cost': 1.5194, 'actual_pods': 18.0, 'excess_pods': 1.0, 'efficiency': 22732.62511701987}"
2025-05-21 18:00:00+09:00,75,3,5,"{'performance': np.float64(2175749.6743648), 'cost': np.float64(2.5472), 'assignable_pod': np.float64(80.0), 'excess_pod': np.float64(5.0), 'efficiency': np.float64(10677.163524481784)}","{'performance': 2556780.4958614, 'cost': 2.7024, 'actual_pods': 75.0, 'excess_pods': 0.0, 'efficiency': 12614.863310940398}"
2025-05-21 18:00:00+09:00,1000,1,2,"{'performance': np.float64(27971018.999875203), 'cost': np.float64(11.502), 'assignable_pod': np.float64(1008.0), 'excess_pod': np.float64(8.0), 'efficiency': np.float64(2412.539278872411)}","{'performance': 32360433.597220786, 'cost': 11.013699999999998, 'actual_pods': 1000.0, 'excess_pods': 0.0, 'efficiency': 2938.1982074344487}"
2025-05-21 18:00:00+09:00,1000,2,2,"{'performance': np.float64(14870895.668556802), 'cost': np.float64(13.164200000000001), 'assignable_pod': np.float64(532.0), 'excess_pod': np.float64(-468.0), 'efficiency': np.float64(2123.3961355085503)}","{'performance': 33983466.6112736, 'cost': 23.6528, 'actual_pods': 1000.0, 'excess_pods': 0.0, 'efficiency': 1436.7629460898331}"
2025-05-21 17:50:00+09:00,50,1,4,"{'performance': np.float64(1553926.921856), 'cost': np.float64(0.677), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(35864.26610635155)}","{'performance': 1667066.0948440004, 'cost': 0.5934, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 56186.92601429054}"
2025-05-21 17:50:00+09:00,50,2,2,"{'performance': np.float64(2680471.2470976003), 'cost': np.float64(2.0331), 'assignable_pod': np.float64(96.0), 'excess_pod': np.float64(46.0), 'efficiency': np.float64(13733.498347646451)}","{'performance': 1666466.5050568, 'cost': 1.0985, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 30340.76477117524}"
