time,pods,cpu,memory,karpenter,kubecaps
2025-05-21 00:00:00+09:00,10,1,2,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.1689), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(142604.76044760217)}","{'performance': 184033.6735, 'cost': 0.047, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 391561.00744680857}"
2025-05-21 00:00:00+09:00,10,1,4,"{'performance': np.float64(388753.48040959996), 'cost': np.float64(0.1868), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(130070.08846680941)}","{'performance': 289845.006812, 'cost': 0.11499999999999999, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 252039.1363582609}"
2025-05-21 00:00:00+09:00,10,2,2,"{'performance': np.float64(309501.7072), 'cost': np.float64(0.3358), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(57605.29094699226)}","{'performance': 333711.74889399996, 'cost': 0.212, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 157411.20230849055}"
2025-05-21 00:00:00+09:00,50,1,2,"{'performance': np.float64(1553926.921856), 'cost': np.float64(0.6713), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(36168.7891464323)}","{'performance': 921765.281828, 'cost': 0.268, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 68788.45386776119}"
2025-05-21 00:00:00+09:00,50,1,4,"{'performance': np.float64(1553926.921856), 'cost': np.float64(0.6713), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(36168.7891464323)}","{'performance': 1667066.0948440004, 'cost': 0.5953, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 56007.59599677474}"
2025-05-21 00:00:00+09:00,50,2,2,"{'performance': np.float64(2680471.2470976003), 'cost': np.float64(2.4396), 'assignable_pod': np.float64(96.0), 'excess_pod': np.float64(46.0), 'efficiency': np.float64(11445.144896950322)}","{'performance': 1666016.309852, 'cost': 1.1009, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 30266.4421809792}"
2025-05-21 00:00:00+09:00,100,1,2,"{'performance': np.float64(5360942.4941952005), 'cost': np.float64(2.4396), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(11445.144896950322)}","{'performance': 2440277.8652704, 'cost': 0.7524, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 32433.25179785221}"
2025-05-21 00:00:00+09:00,100,1,4,"{'performance': np.float64(5360942.4941952005), 'cost': np.float64(2.4396), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(11445.144896950322)}","{'performance': 3334132.189688001, 'cost': 1.1906, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 28003.79799838737}"
2025-05-21 00:00:00+09:00,100,2,2,"{'performance': np.float64(2873158.7994144005), 'cost': np.float64(2.6085), 'assignable_pod': np.float64(104.0), 'excess_pod': np.float64(4.0), 'efficiency': np.float64(10590.962973910739)}","{'performance': 3345690.5398760005, 'cost': 2.2822, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 14659.935763193413}"
2025-05-21 00:00:00+09:00,400,1,2,"{'performance': np.float64(13504300.350528002), 'cost': np.float64(6.9616), 'assignable_pod': np.float64(480.0), 'excess_pod': np.float64(80.0), 'efficiency': np.float64(4041.3064616754777)}","{'performance': 10783440.265974402, 'cost': 3.6595, 'actual_pods': 400.0, 'excess_pods': 0.0, 'efficiency': 7366.744272424104}"
2025-05-21 00:00:00+09:00,400,1,4,"{'performance': np.float64(11703073.3124864), 'cost': np.float64(5.9411000000000005), 'assignable_pod': np.float64(416.0), 'excess_pod': np.float64(16.0), 'efficiency': np.float64(4735.21532551211)}","{'performance': 13336528.758752003, 'cost': 4.7624, 'actual_pods': 400.0, 'excess_pods': 0.0, 'efficiency': 7000.9494995968425}"
2025-05-21 00:00:00+09:00,400,2,2,"{'performance': np.float64(8624567.0057424), 'cost': np.float64(7.8393999999999995), 'assignable_pod': np.float64(312.0), 'excess_pod': np.float64(-88.0), 'efficiency': np.float64(3526.1426852977374)}","{'performance': 13500901.150733601, 'cost': 9.4938, 'actual_pods': 400.0, 'excess_pods': 0.0, 'efficiency': 3555.1889524567614}"
2025-05-21 00:10:00+09:00,17,7,7,"{'performance': np.float64(773215.4762461999), 'cost': np.float64(2.5234), 'assignable_pod': np.float64(28.0), 'excess_pod': np.float64(11.0), 'efficiency': np.float64(10943.504175859665)}","{'performance': 618673.1427684, 'cost': 1.5586, 'actual_pods': 18.0, 'excess_pods': 1.0, 'efficiency': 22052.309863852177}"
2025-05-21 00:10:00+09:00,75,3,5,"{'performance': np.float64(2175749.6743648), 'cost': np.float64(2.9602), 'assignable_pod': np.float64(80.0), 'excess_pod': np.float64(5.0), 'efficiency': np.float64(9187.51129300723)}","{'performance': 2511730.466464201, 'cost': 2.7013000000000003, 'actual_pods': 75.0, 'excess_pods': 0.0, 'efficiency': 12397.63800868323}"
2025-05-21 00:10:00+09:00,1000,1,2,"{'performance': np.float64(28358639.392832004), 'cost': np.float64(12.8693), 'assignable_pod': np.float64(1024.0), 'excess_pod': np.float64(24.0), 'efficiency': np.float64(2151.941735919009)}","{'performance': 31523887.323059194, 'cost': 11.022499999999999, 'actual_pods': 1000.0, 'excess_pods': 0.0, 'efficiency': 2859.958024319274}"
2025-05-21 00:10:00+09:00,1000,2,2,"{'performance': np.float64(22803886.702158403), 'cost': np.float64(20.7087), 'assignable_pod': np.float64(824.0), 'excess_pod': np.float64(-176.0), 'efficiency': np.float64(1336.3764883441656)}","{'performance': 33573175.5913396, 'cost': 24.0031, 'actual_pods': 1000.0, 'excess_pods': 0.0, 'efficiency': 1398.7016506759378}"
2025-05-21 00:20:00+09:00,115,4,2,"{'performance': np.float64(2035839.4640832), 'cost': np.float64(4.522), 'assignable_pod': np.float64(72.0), 'excess_pod': np.float64(-43.0), 'efficiency': np.float64(6252.885473743182)}","{'performance': 3877467.356425001, 'cost': 5.4628000000000005, 'actual_pods': 115.0, 'excess_pods': 0.0, 'efficiency': 6172.129209777754}"
2025-05-21 00:20:00+09:00,287,1,6,"{'performance': np.float64(7886705.4379484), 'cost': np.float64(5.3783), 'assignable_pod': np.float64(289.0), 'excess_pod': np.float64(2.0), 'efficiency': np.float64(5074.026773068271)}","{'performance': 9569448.324307198, 'cost': 4.5477, 'actual_pods': 288.0, 'excess_pods': 1.0, 'efficiency': 7306.385893103472}"
2025-05-21 00:20:00+09:00,439,1,9,"{'performance': np.float64(13072202.5407224), 'cost': np.float64(10.3063), 'assignable_pod': np.float64(458.0), 'excess_pod': np.float64(19.0), 'efficiency': np.float64(2769.3669837680577)}","{'performance': 14547777.132033397, 'cost': 7.7723, 'actual_pods': 439.0, 'excess_pods': 0.0, 'efficiency': 4263.659983801887}"
2025-05-21 00:20:00+09:00,1000,1,4,"{'performance': np.float64(31180173.9664256), 'cost': np.float64(17.2836), 'assignable_pod': np.float64(1088.0), 'excess_pod': np.float64(88.0), 'efficiency': np.float64(1658.1179922531119)}","{'performance': 33759781.260585606, 'cost': 12.136400000000002, 'actual_pods': 1008.0, 'excess_pods': 8.0, 'efficiency': 2759.619532042137}"
