time,pods,cpu,memory,karpenter,kubecaps,region
2025-08-22 23:00:00+09:00,10,1,1,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.2326), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(83133.71414875322), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183726.79650600004, 'cost': 0.037000000000000005, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 496558.9094756757, 'nodepool': [{'instance_type': 't3.micro', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
2025-08-22 23:00:00+09:00,10,1,2,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.2326), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(83133.71414875322), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 333149.00488799997, 'cost': 0.1355, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 245866.4242715867, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 5, 'T3': 50.0}]}",ap-northeast-1
2025-08-22 23:00:00+09:00,10,1,4,"{'performance': np.float64(388753.48040959996), 'cost': np.float64(0.2825), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(86007.40717026549), 'nodepool': [{'instance_type': 'm7g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(35.0)}]}","{'performance': 243315.1188, 'cost': 0.137, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 177602.27649635036, 'nodepool': [{'instance_type': 'm7g.medium', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
2025-08-22 23:00:00+09:00,10,2,2,"{'performance': np.float64(535930.95152), 'cost': np.float64(0.355), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(94354.04076056338), 'nodepool': [{'instance_type': 'i7i.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(0.0)}]}","{'performance': 333149.00488799997, 'cost': 0.271, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 122933.21213579335, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
2025-08-22 23:00:00+09:00,50,1,2,"{'performance': np.float64(2160689.46432), 'cost': np.float64(0.7086), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(47644.33090601185), 'nodepool': [{'instance_type': 'i7i.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(0.0)}]}","{'performance': 1504956.4532519998, 'cost': 0.614, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 49021.382842084684, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't3.small', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
2025-08-22 23:00:00+09:00,50,1,4,"{'performance': np.float64(2160689.46432), 'cost': np.float64(0.7086), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(47644.33090601185), 'nodepool': [{'instance_type': 'i7i.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(0.0)}]}","{'performance': 1665447.2176864, 'cost': 0.8528, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 39058.33062116323, 'nodepool': [{'instance_type': 'm6a.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': 10.0}, {'instance_type': 'm7g.medium', 'availability_zone': 'ap-northeast-1a', 'num_instances': 2, 'T3': 50.0}, {'instance_type': 'm7i.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': 40.0}]}",ap-northeast-1
2025-08-22 23:00:00+09:00,50,2,2,"{'performance': np.float64(3223943.3596800007), 'cost': np.float64(2.1257), 'assignable_pod': np.float64(96.0), 'excess_pod': np.float64(46.0), 'efficiency': np.float64(15798.439728089574), 'nodepool': [{'instance_type': 'i7i.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(0.0)}]}","{'performance': 1666226.4548976002, 'cost': 1.381, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 24130.72345977698, 'nodepool': [{'instance_type': 'c6a.12xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 2, 'T3': 5.0}, {'instance_type': 'c6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 2, 'T3': 50.0}]}",ap-northeast-1
2025-08-22 23:00:00+09:00,100,1,2,"{'performance': np.float64(6447886.719360001), 'cost': np.float64(2.1257), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(15798.439728089574), 'nodepool': [{'instance_type': 'i7i.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(0.0)}]}","{'performance': 3139025.1939120004, 'cost': 1.2918, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 24299.6221854157, 'nodepool': [{'instance_type': 'c6a.12xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1, 'T3': 5.0}, {'instance_type': 'c6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't3.small', 'availability_zone': 'ap-northeast-1a', 'num_instances': 12, 'T3': 50.0}]}",ap-northeast-1
2025-08-20 06:00:00+09:00,10,1,1,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.2254), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(85789.27200976043), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1, 'T3': np.float64(40.0)}]}","{'performance': 183726.79650600004, 'cost': 0.038, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 483491.5697526317, 'nodepool': [{'instance_type': 't3.micro', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
2025-08-20 06:00:00+09:00,10,1,2,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.2254), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(85789.27200976043), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1, 'T3': np.float64(40.0)}]}","{'performance': 172360.4337, 'cost': 0.07400000000000001, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 232919.50499999995, 'nodepool': [{'instance_type': 't3.small', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
