time,pods,cpu,memory,karpenter,kubecaps,region
2025-08-20 14:00:00+09:00,10,1,1,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.2069), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(116413.45596713391), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.9179, 'cost': 0.028800000000000003, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 637426.7982638888, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'us-west-2c', 'num_instances': 6, 'T3': 50.0}, {'instance_type': 't4g.micro', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}]}",us-west-2
2025-08-20 14:00:00+09:00,10,1,2,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.2069), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(116413.45596713391), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 333149.00488799997, 'cost': 0.099, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 336514.14635151514, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 5, 'T3': 50.0}]}",us-west-2
2025-08-23 11:00:00+09:00,10,1,1,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.2135), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(112814.72618079628), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.9179, 'cost': 0.028, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 655638.9924999999, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'us-west-2d', 'num_instances': 10, 'T3': 30.0}]}",us-west-2
2025-08-23 11:00:00+09:00,10,1,2,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.2135), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(112814.72618079628), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 333149.00488799997, 'cost': 0.104, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 320335.58162307687, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 5, 'T3': 50.0}]}",us-west-2
2025-08-23 11:00:00+09:00,10,1,4,"{'performance': np.float64(388753.48040959996), 'cost': np.float64(0.2389), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(101704.02898953536), 'nodepool': [{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 337135.5093772, 'cost': 0.1447, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 232989.29466288871, 'nodepool': [{'instance_type': 'i7ie.large', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}, {'instance_type': 'm7i-flex.large', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': 50.0}]}",us-west-2
2025-08-23 11:00:00+09:00,10,2,2,"{'performance': np.float64(309501.7072), 'cost': np.float64(0.4324), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(44736.02382053654), 'nodepool': [{'instance_type': 'c6gd.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(35.0)}]}","{'performance': 333149.00488799997, 'cost': 0.208, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 160167.79081153843, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 10, 'T3': 50.0}]}",us-west-2
2025-08-23 11:00:00+09:00,50,1,2,"{'performance': np.float64(1540616.9623551997), 'cost': np.float64(0.7817), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(30794.60155660739), 'nodepool': [{'instance_type': 'c7g.16xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 1516629.693052, 'cost': 0.475, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 63858.09233903157, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-west-2d', 'num_instances': 10, 'T3': 50.0}]}",us-west-2
2025-08-23 11:00:00+09:00,50,1,4,"{'performance': np.float64(1553926.921856), 'cost': np.float64(0.8729), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(27815.452118226603), 'nodepool': [{'instance_type': 'm7g.16xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 1723700.1879332, 'cost': 0.7721, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 44649.661648314985, 'nodepool': [{'instance_type': 'i7ie.large', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}, {'instance_type': 'm6a.xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': 50.0}, {'instance_type': 'm7i-flex.large', 'availability_zone': 'us-west-2c', 'num_instances': 19, 'T3': 50.0}]}",us-west-2
2025-08-23 11:00:00+09:00,50,2,2,"{'performance': np.float64(2680695.8449920006), 'cost': np.float64(2.449), 'assignable_pod': np.float64(96.0), 'excess_pod': np.float64(46.0), 'efficiency': np.float64(11402.170294814214), 'nodepool': [{'instance_type': 'c8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 1678286.5857967997, 'cost': 1.142, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 29392.059295915937, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'us-west-2a', 'num_instances': 16, 'T3': 50.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c7i-flex.large', 'availability_zone': 'us-west-2d', 'num_instances': 14, 'T3': 35.0}]}",us-west-2
2025-08-23 11:00:00+09:00,100,1,2,"{'performance': np.float64(5361391.689984001), 'cost': np.float64(2.449), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(11402.170294814214), 'nodepool': [{'instance_type': 'c8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 2880042.8768832, 'cost': 0.9368, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 30743.41243470538, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c7i-flex.large', 'availability_zone': 'us-west-2d', 'num_instances': 14, 'T3': 35.0}, {'instance_type': 't2.small', 'availability_zone': 'us-west-2a', 'num_instances': 12, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}]}",us-west-2
