pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 23:01:00+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 06:00:55+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-23 03:00:49+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-22 11:01:08+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-19 22:00:55+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-23 11:00:49+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 19:01:01+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 18:00:50+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 10:00:50+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-23 07:00:56+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 15:01:11+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 02:00:54+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 14:00:56+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 22:00:50+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 23:00:51+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 06:00:56+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-23 03:00:57+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-22 11:01:01+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-19 22:00:49+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-23 11:00:56+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 19:01:07+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 18:00:51+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 10:01:01+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-23 07:00:55+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 15:01:02+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 02:00:49+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 14:00:55+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 22:00:57+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 23:00:50+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-20 06:01:06+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'r7g.4xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-08-23 03:00:56+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm7a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-22 11:01:10+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-19 22:00:55+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'r7g.4xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-08-23 11:00:55+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-22 19:01:47+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'r7g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 18:01:01+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'r7g.4xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-08-20 10:00:55+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'r7g.4xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-08-23 07:00:57+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'r7g.4xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-08-22 15:01:01+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-20 02:00:50+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'r7g.4xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-08-20 14:00:50+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'r7g.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 22:00:58+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'i7i.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 23:01:01+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c7g.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 06:00:55+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c8gd.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-23 03:00:55+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'm7g.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-22 11:01:07+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c7g.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-19 22:00:50+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c8gd.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-23 11:01:04+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'i7i.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 19:01:42+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'm7g.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 18:01:00+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c7g.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 10:01:00+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c8gd.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-23 07:00:57+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c6gn.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-22 15:01:12+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c7g.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 02:00:44+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'm7g.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 14:00:44+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'm7g.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 22:00:55+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'i7i.48xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-08-22 23:16:30+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c8gd.48xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-20 06:17:50+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'i7i.48xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1}]",2025-08-23 03:16:25+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c8gd.48xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-22 11:18:06+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c8gd.48xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-08-19 22:18:20+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'i7i.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-23 11:15:15+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'i7i.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-08-22 19:21:00+09:00,ap-northeast-1
