pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-22 15:01:07+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-22 19:01:07+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-19 22:00:59+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 06:00:55+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 22:00:51+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-22 11:01:09+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 18:00:56+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-23 11:00:55+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 10:00:51+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 14:00:56+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-23 07:00:55+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-22 23:00:49+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 02:00:55+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-23 03:00:50+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-22 15:01:06+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-22 19:01:13+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-19 22:00:57+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 06:00:56+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 22:00:50+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-22 11:01:00+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-08-20 18:00:56+09:00,eu-west-1
