pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 06:00:59+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 10:00:50+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-22 23:00:51+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-23 11:00:51+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 22:01:00+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 02:00:50+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 18:01:02+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-19 22:00:57+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-22 15:01:00+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 14:00:53+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-23 07:00:59+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-22 11:25:55+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-23 03:00:59+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-22 19:01:03+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 06:00:50+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 10:00:55+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-22 23:01:00+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-23 11:01:00+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 22:00:50+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 02:00:52+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 18:01:00+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-19 22:00:56+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-22 15:01:11+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 14:01:00+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-23 07:00:49+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-22 11:25:56+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-23 03:00:51+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-22 19:01:05+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-20 06:00:51+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-20 10:00:54+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-22 23:01:02+09:00,us-east-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-08-23 11:00:50+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-20 22:00:52+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-20 02:00:52+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-20 18:00:52+09:00,us-east-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-08-19 22:00:56+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-22 15:01:02+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-20 14:00:52+09:00,us-east-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-08-23 07:00:51+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-22 11:25:58+09:00,us-east-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-08-23 03:00:49+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-22 19:01:02+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-20 06:00:49+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 10:00:52+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-22 23:00:49+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-23 11:00:53+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-20 22:00:53+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-20 02:00:49+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-20 18:00:50+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-08-19 22:00:49+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-22 15:01:09+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-20 14:00:50+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-23 07:00:53+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-22 11:25:48+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-23 03:01:00+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-08-22 19:01:07+09:00,us-east-1
17,7,7,"[{'instance_type': 'c6i.32xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-08-20 06:16:28+09:00,us-east-1
