pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-20 14:01:01+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-23 11:00:48+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 11:01:02+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-08-19 22:00:53+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 23:01:00+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-23 07:01:00+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 15:01:15+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-08-20 10:00:48+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-08-20 06:00:47+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-08-20 02:00:57+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 19:01:08+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-20 22:00:51+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-20 18:00:58+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-23 03:00:55+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-20 14:00:51+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-23 11:00:57+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 11:00:59+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-08-19 22:01:03+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 23:00:51+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-23 07:00:48+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 15:01:12+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-08-20 10:01:01+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-08-20 06:00:48+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-08-20 02:00:48+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 19:01:06+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-20 22:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-20 18:00:51+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-23 03:00:50+09:00,us-west-2
10,1,4,"[{'instance_type': 'r8i.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-20 14:00:49+09:00,us-west-2
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-23 11:00:56+09:00,us-west-2
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-08-22 11:01:12+09:00,us-west-2
