InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
a1.2xlarge,use1-az2,8,16.0,0,1,1.0,0.204,0.204,11831.62
a1.2xlarge,use1-az4,8,16.0,0,1,1.0,0.204,0.204,11831.62
a1.2xlarge,use1-az6,8,16.0,0,1,1.0,0.204,0.204,11831.62
a1.4xlarge,use1-az2,16,32.0,0,1,1.0,0.408,0.408,11831.62
a1.4xlarge,use1-az4,16,32.0,0,1,1.0,0.408,0.408,11831.62
a1.4xlarge,use1-az6,16,32.0,0,1,1.0,0.408,0.408,11831.62
a1.large,use1-az2,2,4.0,0,1,1.0,0.051,0.051,11831.62
a1.large,use1-az4,2,4.0,0,1,1.0,0.051,0.051,11831.62
a1.large,use1-az6,2,4.0,0,1,1.0,0.051,0.051,11831.62
a1.medium,use1-az2,1,2.0,0,1,1.0,0.0255,0.0255,11831.62
a1.medium,use1-az4,1,2.0,0,1,1.0,0.0255,0.0255,11831.62
a1.medium,use1-az6,1,2.0,0,1,1.0,0.0255,0.0255,11831.62
a1.xlarge,use1-az2,4,8.0,0,1,1.0,0.102,0.102,11831.62
a1.xlarge,use1-az4,4,8.0,0,1,1.0,0.102,0.102,11831.62
a1.xlarge,use1-az6,4,8.0,0,1,1.0,0.102,0.102,11831.62
c1.medium,use1-az1,2,1.69921875,30,3,1.0,0.0362,0.13,16256.0445
c1.medium,use1-az2,2,1.69921875,20,3,1.0,0.0399,0.13,16256.0445
c1.medium,use1-az4,2,1.69921875,15,3,1.0,0.0401,0.13,16256.0445
c1.medium,use1-az6,2,1.69921875,5,3,1.0,0.0708,0.13,16256.0445
c1.xlarge,use1-az1,8,7.0,0,1,1.0,0.4271,0.52,16256.0445
c1.xlarge,use1-az2,8,7.0,1,3,1.0,0.2075,0.52,16256.0445
c1.xlarge,use1-az4,8,7.0,1,3,1.0,0.2555,0.52,16256.0445
c1.xlarge,use1-az6,8,7.0,1,3,1.0,0.1695,0.52,16256.0445
c3.2xlarge,use1-az2,8,15.0,45,3,3.0,0.21,0.42,21771.302000000003
c3.2xlarge,use1-az3,8,15.0,5,3,3.0,0.1633,0.42,21771.302000000003
c3.2xlarge,use1-az4,8,15.0,50,3,3.0,0.1974,0.42,21771.302000000003
c3.2xlarge,use1-az6,8,15.0,50,3,3.0,0.1733,0.42,21771.302000000003
c3.4xlarge,use1-az2,16,30.0,15,3,3.0,0.4729,0.84,21771.302000000003
c3.4xlarge,use1-az2,16,30.0,15,3,3.0,0.4729,0.84,21771.302000000003
c3.4xlarge,use1-az2,16,30.0,15,3,3.0,0.4729,0.84,21771.302000000003
c3.4xlarge,use1-az2,16,30.0,15,3,3.0,0.4729,0.84,21771.302000000003
c3.4xlarge,use1-az3,16,30.0,1,3,3.0,0.3791,0.84,21771.302000000003
c3.4xlarge,use1-az3,16,30.0,1,3,3.0,0.3791,0.84,21771.302000000003
c3.4xlarge,use1-az3,16,30.0,1,3,3.0,0.3791,0.84,21771.302000000003
c3.4xlarge,use1-az3,16,30.0,1,3,3.0,0.3791,0.84,21771.302000000003
c3.4xlarge,use1-az4,16,30.0,50,3,3.0,0.4985,0.84,21771.302000000003
c3.4xlarge,use1-az4,16,30.0,50,3,3.0,0.4985,0.84,21771.302000000003
c3.4xlarge,use1-az4,16,30.0,50,3,3.0,0.4985,0.84,21771.302000000003
c3.4xlarge,use1-az4,16,30.0,50,3,3.0,0.4985,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.4xlarge,use1-az6,16,30.0,50,3,3.0,0.4456,0.84,21771.302000000003
c3.8xlarge,use1-az2,32,60.0,15,3,2.5,0.8236,1.68,21771.302000000003
c3.8xlarge,use1-az3,32,60.0,1,3,2.5,0.4888,1.68,21771.302000000003
c3.8xlarge,use1-az4,32,60.0,35,3,2.5,0.7461,1.68,21771.302000000003
c3.8xlarge,use1-az6,32,60.0,50,3,2.5,0.6403,1.68,21771.302000000003
c3.large,use1-az2,2,3.75,50,3,3.0,0.0373,0.105,21771.302000000003
c3.large,use1-az3,2,3.75,45,3,3.0,0.0291,0.105,21771.302000000003
c3.large,use1-az4,2,3.75,50,3,3.0,0.035,0.105,21771.302000000003
c3.large,use1-az6,2,3.75,50,3,3.0,0.0303,0.105,21771.302000000003
c3.xlarge,use1-az2,4,7.5,50,3,3.0,0.0764,0.21,21771.302000000003
c3.xlarge,use1-az3,4,7.5,15,3,3.0,0.0715,0.21,21771.302000000003
c3.xlarge,use1-az4,4,7.5,50,3,3.0,0.0853,0.21,21771.302000000003
c3.xlarge,use1-az6,4,7.5,50,3,3.0,0.0764,0.21,21771.302000000003
c4.2xlarge,use1-az1,8,15.0,30,3,2.5,0.1651,0.398,24429.8238
c4.2xlarge,use1-az2,8,15.0,20,3,2.5,0.1662,0.398,24429.8238
c4.2xlarge,use1-az3,8,15.0,30,3,2.5,0.1723,0.398,24429.8238
c4.2xlarge,use1-az4,8,15.0,50,3,2.5,0.1518,0.398,24429.8238
c4.2xlarge,use1-az5,8,15.0,50,3,2.5,0.1312,0.398,24429.8238
c4.2xlarge,use1-az6,8,15.0,45,3,2.5,0.1427,0.398,24429.8238
c4.4xlarge,use1-az1,16,30.0,30,3,2.0,0.359,0.796,24429.8238
c4.4xlarge,use1-az2,16,30.0,50,3,2.0,0.3159,0.796,24429.8238
c4.4xlarge,use1-az3,16,30.0,20,3,2.0,0.3379,0.796,24429.8238
c4.4xlarge,use1-az4,16,30.0,50,3,2.0,0.2993,0.796,24429.8238
c4.4xlarge,use1-az5,16,30.0,45,3,2.0,0.3141,0.796,24429.8238
c4.4xlarge,use1-az6,16,30.0,40,3,2.0,0.3095,0.796,24429.8238
c4.8xlarge,use1-az1,36,60.0,5,3,2.0,0.5905,1.591,24429.8238
c4.8xlarge,use1-az2,36,60.0,35,3,2.0,0.5844,1.591,24429.8238
c4.8xlarge,use1-az3,36,60.0,40,3,2.0,0.5854,1.591,24429.8238
c4.8xlarge,use1-az4,36,60.0,25,3,2.0,0.6204,1.591,24429.8238
c4.8xlarge,use1-az5,36,60.0,50,3,2.0,0.6623,1.591,24429.8238
c4.8xlarge,use1-az6,36,60.0,30,3,2.0,0.6367,1.591,24429.8238
c4.large,use1-az1,2,3.75,50,3,2.0,0.0362,0.1,24429.8238
c4.large,use1-az2,2,3.75,50,3,2.0,0.041,0.1,24429.8238
c4.large,use1-az3,2,3.75,35,3,2.0,0.0971,0.1,24429.8238
c4.large,use1-az4,2,3.75,50,3,2.0,0.0431,0.1,24429.8238
c4.large,use1-az5,2,3.75,50,3,2.0,0.0374,0.1,24429.8238
c4.large,use1-az6,2,3.75,50,3,2.0,0.0381,0.1,24429.8238
c4.xlarge,use1-az1,4,7.5,50,3,2.5,0.0599,0.199,24429.8238
c4.xlarge,use1-az2,4,7.5,50,3,2.5,0.0581,0.199,24429.8238
c4.xlarge,use1-az3,4,7.5,50,3,2.5,0.0718,0.199,24429.8238
c4.xlarge,use1-az4,4,7.5,50,3,2.5,0.06,0.199,24429.8238
c4.xlarge,use1-az5,4,7.5,50,3,2.5,0.0678,0.199,24429.8238
c4.xlarge,use1-az6,4,7.5,50,3,2.5,0.0567,0.199,24429.8238
c5.12xlarge,use1-az1,48,96.0,50,3,1.5,0.8398,2.04,24562.482727272727
c5.12xlarge,use1-az2,48,96.0,50,3,1.5,0.7472,2.04,24562.482727272727
c5.12xlarge,use1-az4,48,96.0,50,3,1.5,0.67,2.04,24562.482727272727
c5.12xlarge,use1-az5,48,96.0,50,3,1.5,0.9855,2.04,24562.482727272727
c5.12xlarge,use1-az6,48,96.0,50,3,1.5,0.7492,2.04,24562.482727272727
c5.18xlarge,use1-az1,72,144.0,10,3,1.0,1.1638,3.06,24562.482727272727
c5.18xlarge,use1-az2,72,144.0,50,3,1.0,1.0265,3.06,24562.482727272727
c5.18xlarge,use1-az4,72,144.0,50,3,1.0,1.0389,3.06,24562.482727272727
c5.18xlarge,use1-az5,72,144.0,35,3,1.0,0.9824,3.06,24562.482727272727
c5.18xlarge,use1-az6,72,144.0,50,3,1.0,1.0263,3.06,24562.482727272727
c5.24xlarge,use1-az1,96,192.0,0,1,1.5,1.4814,4.08,24562.482727272727
c5.24xlarge,use1-az2,96,192.0,20,3,1.5,1.2342,4.08,24562.482727272727
c5.24xlarge,use1-az4,96,192.0,50,3,1.5,1.2159,4.08,24562.482727272727
c5.24xlarge,use1-az5,96,192.0,15,3,1.5,1.7016,4.08,24562.482727272727
c5.24xlarge,use1-az6,96,192.0,45,3,1.5,1.2711,4.08,24562.482727272727
c5.2xlarge,use1-az1,8,16.0,50,3,1.0,0.138,0.34,24562.482727272727
c5.2xlarge,use1-az2,8,16.0,50,3,1.0,0.1388,0.34,24562.482727272727
c5.2xlarge,use1-az4,8,16.0,50,3,1.0,0.1361,0.34,24562.482727272727
c5.2xlarge,use1-az5,8,16.0,50,3,1.0,0.1565,0.34,24562.482727272727
c5.2xlarge,use1-az6,8,16.0,50,3,1.0,0.1299,0.34,24562.482727272727
c5.4xlarge,use1-az1,16,32.0,50,3,1.0,0.2404,0.68,24562.482727272727
