region,region_name,run,elapsed_s,peak_memory_mb,avg_memory_mb,peak_cpu_pct,avg_cpu_pct
us-east-1,N. Virginia,1,2.3638,199.46,176.29,1.59,1.07
us-east-1,N. Virginia,2,2.3369,168.51,168.51,1.50,1.07
us-east-1,N. Virginia,3,2.1415,168.51,168.51,1.53,1.02
us-east-1,N. Virginia,4,1.4975,168.51,168.51,15.25,5.86
us-east-1,N. Virginia,5,1.5974,168.51,168.51,20.29,5.98
us-east-1,N. Virginia,6,1.8620,168.51,168.51,1.52,0.99
us-east-1,N. Virginia,7,1.7219,168.51,168.51,14.64,4.64
us-east-1,N. Virginia,8,1.6320,168.51,168.51,1.36,0.90
us-east-1,N. Virginia,9,1.5438,168.51,168.51,1.25,0.82
us-east-1,N. Virginia,10,1.6698,168.51,168.51,1.46,1.00
us-east-1,N. Virginia,11,1.8423,168.51,168.51,1.32,0.96
us-east-1,N. Virginia,12,1.8891,168.51,168.51,1.46,0.96
us-east-1,N. Virginia,13,1.7707,168.51,168.51,1.42,0.97
us-east-1,N. Virginia,14,1.8177,168.51,168.51,1.53,0.94
us-east-1,N. Virginia,15,1.3896,168.51,168.51,1.28,0.78
us-east-1,N. Virginia,16,1.4237,168.51,168.51,1.32,0.81
us-east-1,N. Virginia,17,1.4175,168.51,168.51,1.32,0.81
us-east-1,N. Virginia,18,1.7974,168.51,168.51,1.43,0.91
us-east-1,N. Virginia,19,1.6760,168.51,168.51,1.26,0.90
us-east-1,N. Virginia,20,1.6521,168.51,168.51,1.40,0.93
us-east-1,N. Virginia,21,1.7766,168.51,168.51,1.49,0.95
us-east-1,N. Virginia,22,1.5113,168.51,168.51,14.76,5.70
us-east-1,N. Virginia,23,1.6910,168.51,168.51,1.31,0.95
us-east-1,N. Virginia,24,1.6974,168.51,168.51,1.43,0.96
us-east-1,N. Virginia,25,1.6186,168.51,168.51,1.34,0.97
us-east-1,N. Virginia,26,1.5998,168.51,168.51,1.50,0.96
us-east-1,N. Virginia,27,2.1583,168.51,168.51,1.40,1.03
us-east-1,N. Virginia,28,2.3890,168.51,168.51,1.53,1.07
us-east-1,N. Virginia,29,2.3819,168.51,168.51,1.53,1.07
