ExpID,Cluster,Region,Scenario,Strategy,Parallelism,CPU,Mem,InstanceType,Zone,Lifecycle,Count,Timestamp,InstanceID,BaseScenario,AZ_ID,AZ,SpotPrice,OndemandPrice,T3,vCPU,Memory,CoreMark,InstanceFamily
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p100-c1-m4-sbl-181123632440,baseline,100,1,4,m6i.metal,us-east-1d,spot,1,2026-02-22 03:11:57+09:00,i-0fb18a509570c9678,t127226284680896-p100-c1-m4,use1-az6,use1-az6,2.415,6.144,15,128.0,512.0,32346.757,m6i
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p100-c2-m2-sbl-180112225927,baseline,100,2,2,c8id.24xlarge,us-east-1d,spot,1,2026-02-22 03:01:43+09:00,i-08396d36b8542ed6a,t127226284680896-p100-c2-m2,use1-az6,use1-az6,1.9015,5.32224,0,96.0,192.0,32451.71281818182,c8id
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p100-c2-m2-sbl-180112225927,baseline,100,2,2,c8id.32xlarge,us-east-1d,spot,1,2026-02-22 03:01:42+09:00,i-094dcfa23281d7508,t127226284680896-p100-c2-m2,use1-az6,use1-az6,2.6624,7.09632,0,128.0,256.0,32451.71281818182,c8id
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p115-c4-m2-sbl-204119565453,baseline,115,4,2,c1.xlarge,us-east-1c,spot,1,2026-02-22 05:41:42+09:00,i-0d936a33cd993675c,t127226284680896-p115-c4-m2,use1-az4,use1-az4,0.2562,0.52,1,4.0,7.0,16256.0445,c1
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p115-c4-m2-sbl-204119565453,baseline,115,4,2,c4.4xlarge,us-east-1e,spot,2,2026-02-22 05:42:28+09:00,i-0b12b27d9037474ca,t127226284680896-p115-c4-m2,use1-az3,use1-az3,0.3379,0.796,20,16.0,30.0,24429.8238,c4
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p115-c4-m2-sbl-204119565453,baseline,115,4,2,c5d.4xlarge,us-east-1a,spot,3,2026-02-22 05:42:19+09:00,i-072a3b41033574002,t127226284680896-p115-c4-m2,use1-az1,use1-az1,0.3825,0.768,50,16.0,32.0,24562.482727272727,c5d
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p115-c4-m2-sbl-204119565453,baseline,115,4,2,c7a.4xlarge,us-east-1d,spot,12,2026-02-22 05:42:19+09:00,i-0bc6737b251995d93,t127226284680896-p115-c4-m2,use1-az6,use1-az6,0.3649,0.82112,50,16.0,32.0,33476.00218181819,c7a
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p115-c4-m2-sbl-204119565453,baseline,115,4,2,c7gd.4xlarge,us-east-1b,spot,1,2026-02-22 05:43:01+09:00,i-09b75435d987dee07,t127226284680896-p115-c4-m2,use1-az2,use1-az2,0.2661,0.7258,1,16.0,32.0,25356.8559375,c7gd
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p115-c4-m2-sbl-204119565453,baseline,115,4,2,c7i.4xlarge,us-east-1d,spot,13,2026-02-22 05:42:19+09:00,i-02939460c6a75784f,t127226284680896-p115-c4-m2,use1-az6,use1-az6,0.3616,0.714,35,16.0,32.0,31467.267,c7i
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p17-c7-m7-sbl-192043481232,baseline,17,7,7,c5d.9xlarge,us-east-1f,spot,1,2026-02-22 04:21:08+09:00,i-0a534d0a6a7c39e08,t127226284680896-p17-c7-m7,use1-az5,use1-az5,0.6072,1.728,25,36.0,72.0,24562.482727272727,c5d
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p17-c7-m7-sbl-192043481232,baseline,17,7,7,c8a.12xlarge,us-east-1d,spot,1,2026-02-22 04:21:09+09:00,i-0e3da9dc042c023c4,t127226284680896-p17-c7-m7,use1-az6,use1-az6,1.0635,2.58648,1,48.0,96.0,48434.679,c8a
3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,arn:aws:eks:us-east-1:786382940258:cluster/kubepacs-e1-k8s-cluster,us-east-1,t127226284680896-p17-c7-m7-sbl-192043481232,baseline,17,7,7,c8a.12xlarge,us-east-1f,spot,1,2026-02-22 04:21:09+09:00,i-04b1166aa9d1fc31b,t127226284680896-p17-c7-m7,use1-az5,use1-az5,1.2108,2.58648,1,48.0,96.0,48434.679,c8a
