BaseScenario,ExpID,Region,Parallelism,PodCPU,PodMem,Cost_KubePACS,Cost_Baseline,CostReduction%,Perf_KubePACS,Perf_Baseline,PerformanceGain%,Nodes_KubePACS,Nodes_Baseline,T3Ratio_KubePACS,T3Ratio_Baseline,LoadCategory
t127226284680896-p100-c1-m4,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,100,1,4,0.7041,2.415,70.84472049689441,2391466.9008,4140384.896,-42.240468920887494,6,1,0.0,0.0,Medium
t127226284680896-p100-c2-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,100,2,2,1.1181,4.5639,75.50121606520739,1967863.5,3634591.835636364,-45.857373014886115,18,2,0.0,0.0,Low
t127226284680896-p115-c4-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,115,4,2,3.3266,11.4252,70.88366067990059,3618097.578545454,3851017.8401045464,-6.0482779158657225,4,32,0.0,0.0,Medium
t127226284680896-p17-c7-m7,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,17,7,7,0.7752,2.8815,73.09734513274336,407667.53306250006,704028.5616363636,-42.09502919668995,2,3,0.0,0.0,Low
t127226284680896-p287-c1-m6,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,287,1,6,2.1344,7.9372,73.10890490349242,7160711.2360000005,9415233.75199365,-23.945475761727753,5,20,0.0,0.05,Medium
t127226284680896-p439-c1-m9,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,439,1,9,3.8072,19.744799999999998,80.71796118471698,11432187.648,12319097.145388888,-7.199468328901553,8,34,0.0,0.0,Medium
t127226284680896-p75-c3-m5,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,75,3,5,1.4952999999999999,5.6121,73.35578482208086,1765840.0765,3874774.3199999994,-54.427279354427014,6,5,0.0,0.0,Medium
t127226284680896-p900-c1-m1,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,900,1,1,3.5229,17.9149,80.33536330093945,18382488.958,14378404.198040403,27.84790790973385,837,69,0.008363201911589008,0.0,High
t127226284680896-p900-c1-m4,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,900,1,4,6.9269,9.8186,29.451245595095028,28188895.83178182,14609568.3939,92.94817664532553,9,35,0.0,0.0,High
t127226309850816-p10-c1-m1,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,10,1,1,0.023999999999999997,0.1602,85.01872659176031,196885.97714285715,314858.16,-37.46835808769981,10,1,0.0,0.0,Low
t127226309850816-p10-c1-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,10,1,2,0.058,0.1602,63.79525593008739,200973.47028571428,314858.16,-36.17015665539229,3,1,0.0,0.0,Low
t127226309850816-p10-c1-m4,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,10,1,4,0.094,0.2504,62.46006389776358,309744.592,316334.338,-2.083158610495199,10,1,0.0,0.0,Low
t127226309850816-p10-c2-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,10,2,2,0.13040000000000002,0.3585,63.626220362622036,196786.34999999998,405709.695,-51.495773350942486,4,1,0.0,0.0,Low
t127226309850816-p100-c1-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,100,1,2,0.5471,1.7619,68.94829445484987,1976237.7405714283,3445712.241777777,-42.64646604523742,9,1,0.0,0.0,Low
t127226309850816-p400-c1-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,400,1,2,2.9931,5.4308,44.8865728806069,13246454.636467531,8140671.3728,62.71943713054452,17,3,0.0,0.0,Medium
t127226309850816-p400-c1-m4,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,400,1,4,3.0459,10.0124,69.57872238424355,13393690.861381818,11414796.806428859,17.336217967878653,17,10,0.0,0.1,Medium
t127226309850816-p400-c2-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,400,2,2,5.2502,4.9544,-5.970450508638801,10542205.837090908,4726965.940977777,123.02267392496258,46,5,0.0,0.0,Medium
t127226309850816-p50-c1-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,50,1,2,0.287,0.9507,69.8117176817082,988118.8702857143,1970236.7072,-49.847707807150826,8,1,0.0,0.0,Low
t127226309850816-p50-c1-m4,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,50,1,4,0.4357,1.4628,70.21465682253213,1639536.4840000002,1403024.9255384617,16.857259921506287,1,1,0.0,0.0,Low
t127226309850816-p50-c2-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,50,2,2,0.5615,1.7619,68.130994948635,983931.75,1722856.1208888886,-42.889499705155224,7,1,0.0,0.0,Low
t127226309850816-p900-c1-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,900,1,2,6.7773,16.7051,59.42975498500458,27778349.751553245,16547356.256739393,67.87182991989854,9,12,0.0,0.0,High
t127226309850816-p900-c2-m2,3cdd1eb4-9e9b-4b2c-8e4c-184b8f9eb75e,us-east-1,900,2,2,14.0685,10.9653,-28.300183305518328,27972317.19949091,6752605.677422223,314.24478987449504,10,16,0.0,0.0,High
t136682204636864-p100-c1-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,100,1,2,0.5471,1.6674,67.18843708768141,1976237.7405714283,5910710.1216,-66.56513853810056,9,1,0.0,0.0,Low
t136682204636864-p100-c2-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,100,2,2,1.1181,2.1684,48.4366353071389,1967863.5,3563919.6033,-44.78372917902348,18,2,0.0,0.0,Low
t136682204636864-p115-c4-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,115,4,2,3.3266,11.4436,70.9304764235031,3618097.578545454,3814608.2186911977,-5.1515287777880125,4,33,0.0,0.0,Medium
t136682204636864-p900-c1-m1,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,900,1,1,3.5229,19.877700000000004,82.27712461703317,18382488.958,17043849.190857142,7.854093005357892,837,47,0.008363201911589008,0.0,High
t136682204636864-p900-c1-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,900,1,2,6.7773,16.2617,58.32354550877214,27778349.751553245,12197953.981021978,127.72958313149742,9,8,0.0,0.0,High
t136682204636864-p900-c1-m4,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,900,1,4,6.9269,14.6402,52.685755659075696,28188895.83178182,12214553.853776189,130.78121533736646,9,19,0.0,0.05263157894736842,High
t136682204636864-p900-c2-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,900,2,2,14.0685,15.7515,10.684696695552804,27972317.19949091,7401821.151466666,277.91128192753234,10,8,0.0,0.0,High
t136682229806784-p10-c1-m1,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,10,1,1,0.023999999999999997,0.5001,95.20095980803839,196885.97714285715,424456.252,-53.61454184850665,10,2,0.0,0.0,Low
t136682229806784-p10-c1-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,10,1,2,0.058,0.501,88.42315369261478,200973.47028571428,1217129.085,-83.48790832767634,3,1,0.0,0.0,Low
t136682229806784-p10-c1-m4,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,10,1,4,0.094,0.501,81.23752495009981,309744.592,608564.5425,-49.10242540132873,10,1,0.0,0.0,Low
t136682229806784-p10-c2-m2,ab1a0d98-9c0f-4133-afa4-e38f27a8edd2,us-east-1,10,2,2,0.13040000000000002,0.501,73.97205588822355,196786.34999999998,608564.5425,-67.66384890062832,4,1,0.0,0.0,Low
