time,pods,cpu,memory,karpenter,kubecaps,region
2025-08-20 06:00:00+09:00,10,1,1,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.1952), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(99061.99749487705), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.9179, 'cost': 0.028999999999999998, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 633030.7513793104, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'us-east-1c', 'num_instances': 10, 'T3': 50.0}]}",us-east-1
2025-08-20 06:00:00+09:00,10,1,2,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.1952), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(99061.99749487705), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 184033.6735, 'cost': 0.063, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 292116.9420634921, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'us-east-1d', 'num_instances': 10, 'T3': 50.0}]}",us-east-1
2025-08-20 06:00:00+09:00,10,1,4,"{'performance': np.float64(388753.48040959996), 'cost': np.float64(0.2732), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(88935.18493997071), 'nodepool': [{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 336283.2436348, 'cost': 0.1599, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 210308.470065541, 'nodepool': [{'instance_type': 'm7i-flex.large', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 2, 'T3': 50.0}]}",us-east-1
2025-08-20 06:00:00+09:00,10,2,2,"{'performance': np.float64(309423.9135168), 'cost': np.float64(0.3485), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(55492.093528837875), 'nodepool': [{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 333616.8686416, 'cost': 0.2864, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 116486.33681620113, 'nodepool': [{'instance_type': 'c6a.2xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 2, 'T3': 20.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-east-1f', 'num_instances': 2, 'T3': 50.0}]}",us-east-1
2025-08-20 06:00:00+09:00,50,1,2,"{'performance': np.float64(1237671.7544576), 'cost': np.float64(0.9222), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(20970.094516807632), 'nodepool': [{'instance_type': 'c6g.16xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(5.0)}]}","{'performance': 920168.3674999999, 'cost': 0.325, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 56625.74569230769, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'us-east-1b', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-east-1f', 'num_instances': 10, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-east-1d', 'num_instances': 20, 'T3': 50.0}]}",us-east-1
2025-08-20 06:00:00+09:00,50,1,4,"{'performance': np.float64(1553926.921856), 'cost': np.float64(0.9158), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(26512.45703647085), 'nodepool': [{'instance_type': 'm7g.16xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 1155698.54758, 'cost': 0.6054999999999999, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 38173.362430388115, 'nodepool': [{'instance_type': 'm7g.medium', 'availability_zone': 'us-east-1b', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'm7g.medium', 'availability_zone': 'us-east-1d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.2xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': 15.0}, {'instance_type': 't4g.large', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': 45.0}]}",us-east-1
2025-08-20 06:00:00+09:00,50,2,2,"{'performance': np.float64(1857162.5761151998), 'cost': np.float64(1.8949), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(15313.824081376324), 'nodepool': [{'instance_type': 'c6i.32xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 1668562.9638096003, 'cost': 1.3231, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 25222.023487409875, 'nodepool': [{'instance_type': 'c6a.24xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 5.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-east-1f', 'num_instances': 2, 'T3': 50.0}]}",us-east-1
2025-08-20 06:00:00+09:00,100,1,2,"{'performance': np.float64(3714325.1522303997), 'cost': np.float64(1.8949), 'assignable_pod': np.float64(128.0), 'excess_pod': np.float64(28.0), 'efficiency': np.float64(15313.824081376324), 'nodepool': [{'instance_type': 'c6i.32xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 1840336.735, 'cost': 0.666, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 27632.683708708708, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'us-east-1a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-east-1b', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-east-1c', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-east-1f', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-east-1d', 'num_instances': 20, 'T3': 50.0}]}",us-east-1
2025-08-20 10:00:00+09:00,10,1,1,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.1952), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(99061.99749487705), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.9179, 'cost': 0.028999999999999998, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 633030.7513793104, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'us-east-1c', 'num_instances': 10, 'T3': 50.0}]}",us-east-1
2025-08-20 10:00:00+09:00,10,1,2,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.1952), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(99061.99749487705), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 184033.6735, 'cost': 0.063, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 292116.9420634921, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'us-east-1d', 'num_instances': 10, 'T3': 50.0}]}",us-east-1
