ExpID,Timestamp,Cluster,Region,Scenario,Strategy,Parallelism,CPU,Mem,InitialNodeCount,InterruptedCount,InterruptTime,RecoveryTime,RecoveryDurationSec,InitInstances,InterruptedInstances,NewInstances
b966eafd-845c-4754-8e47-5d919cb87dc0,2025-12-13T15:55:11.612004,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6130937856-p10-c1-m2-skp-155240963763,kubepacs,10,1,2,4,2,2025-12-13T15:54:15.878255,2025-12-13T15:55:11.611041,55.73,"[{""instance_id"": ""i-02b95f6c1800d3308"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-00754ba1d09f6be91"", ""instance_type"": ""t3.2xlarge"", ""zone"": ""ap-northeast-2d""}, {""instance_id"": ""i-099351b4d493eff92"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-095e6f2dd21eebb40"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}]","[{""instance_id"": ""i-02b95f6c1800d3308"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-00754ba1d09f6be91"", ""instance_type"": ""t3.2xlarge"", ""zone"": ""ap-northeast-2d""}, {""instance_id"": ""i-099351b4d493eff92"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-095e6f2dd21eebb40"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}]","[{""instance_id"": ""i-0293c8f27beae3700"", ""instance_type"": ""t2.2xlarge"", ""zone"": ""ap-northeast-2c""}]"
b966eafd-845c-4754-8e47-5d919cb87dc0,2025-12-13T16:01:57.450530,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6130937856-p10-c1-m2-sbl-155939140060,baseline,10,1,2,1,1,2025-12-13T16:01:01.704117,2025-12-13T16:01:57.449519,55.75,"[{""instance_id"": ""i-0986bdc611907bd2a"", ""instance_type"": ""c5.4xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0986bdc611907bd2a"", ""instance_type"": ""c5.4xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-011bbbb1aaad26b23"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]"
b966eafd-845c-4754-8e47-5d919cb87dc0,2025-12-13T16:08:40.096279,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6130937856-p10-c1-m4-skp-160546580424,kubepacs,10,1,4,2,1,2025-12-13T16:07:19.248582,2025-12-13T16:08:40.093956,80.85,"[{""instance_id"": ""i-0eb751fc0c9ddb724"", ""instance_type"": ""t3.xlarge"", ""zone"": ""ap-northeast-2d""}, {""instance_id"": ""i-06d5637335ef16cbc"", ""instance_type"": ""t2.2xlarge"", ""zone"": ""ap-northeast-2c""}]","[{""instance_id"": ""i-0eb751fc0c9ddb724"", ""instance_type"": ""t3.xlarge"", ""zone"": ""ap-northeast-2d""}, {""instance_id"": ""i-06d5637335ef16cbc"", ""instance_type"": ""t2.2xlarge"", ""zone"": ""ap-northeast-2c""}]","[{""instance_id"": ""i-0b81f071fd654041d"", ""instance_type"": ""t3.2xlarge"", ""zone"": ""ap-northeast-2d""}]"
b966eafd-845c-4754-8e47-5d919cb87dc0,2025-12-13T16:15:53.859773,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6130937856-p10-c1-m4-sbl-161321595023,baseline,10,1,4,1,1,2025-12-13T16:14:42.915773,2025-12-13T16:15:53.859011,70.94,"[{""instance_id"": ""i-000cdd6ae391b7328"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-000cdd6ae391b7328"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-05770a05d986d9360"", ""instance_type"": ""r6id.4xlarge"", ""zone"": ""ap-northeast-2d""}]"
b966eafd-845c-4754-8e47-5d919cb87dc0,2025-12-13T16:23:11.890926,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6130937856-p10-c2-m2-skp-162025352263,kubepacs,10,2,2,1,1,2025-12-13T16:21:56.054436,2025-12-13T16:23:11.890092,75.84,"[{""instance_id"": ""i-0b3284867842d7ef1"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0b3284867842d7ef1"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-01242b78332e8e780"", ""instance_type"": ""c7i-flex.8xlarge"", ""zone"": ""ap-northeast-2b""}]"
b966eafd-845c-4754-8e47-5d919cb87dc0,2025-12-13T16:29:55.429217,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6130937856-p10-c2-m2-sbl-162658065669,baseline,10,2,2,1,1,2025-12-13T16:28:14.500435,2025-12-13T16:29:55.428368,100.93,"[{""instance_id"": ""i-0bb57b0f71b722163"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0bb57b0f71b722163"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0a8fb58aab139a20b"", ""instance_type"": ""c5d.9xlarge"", ""zone"": ""ap-northeast-2d""}]"
ef9aae00-6ccd-4b6e-b636-dccff8e3493d,2025-12-13T16:45:18.552516,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6189035520-p10-c1-m2-skp-164250900185,kubepacs,10,1,2,4,2,2025-12-13T16:44:17.760254,2025-12-13T16:45:18.551748,60.79,"[{""instance_id"": ""i-009eaf61b34291884"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-0c4dc80afc8a289dc"", ""instance_type"": ""t3.2xlarge"", ""zone"": ""ap-northeast-2d""}, {""instance_id"": ""i-0b4d6c94eee4369fb"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-0f5cefe2547fed806"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}]","[{""instance_id"": ""i-009eaf61b34291884"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-0c4dc80afc8a289dc"", ""instance_type"": ""t3.2xlarge"", ""zone"": ""ap-northeast-2d""}, {""instance_id"": ""i-0b4d6c94eee4369fb"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-0f5cefe2547fed806"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2c""}]","[{""instance_id"": ""i-009064702f22abb87"", ""instance_type"": ""t2.medium"", ""zone"": ""ap-northeast-2a""}, {""instance_id"": ""i-022228494a49095d6"", ""instance_type"": ""t2.2xlarge"", ""zone"": ""ap-northeast-2c""}]"
ef9aae00-6ccd-4b6e-b636-dccff8e3493d,2025-12-13T16:52:17.118846,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6189035520-p10-c1-m2-sbl-164939726315,baseline,10,1,2,1,1,2025-12-13T16:51:01.383666,2025-12-13T16:52:17.117789,75.73,"[{""instance_id"": ""i-0d64c3a2b9befc995"", ""instance_type"": ""c5.4xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0d64c3a2b9befc995"", ""instance_type"": ""c5.4xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0d8cf998c060c167b"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]"
ef9aae00-6ccd-4b6e-b636-dccff8e3493d,2025-12-13T16:58:56.629200,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6189035520-p10-c1-m4-skp-165631539302,kubepacs,10,1,4,2,1,2025-12-13T16:58:05.970372,2025-12-13T16:58:56.628087,50.66,"[{""instance_id"": ""i-0719c640339d3d9d1"", ""instance_type"": ""t2.2xlarge"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-08a88645ffcc0a128"", ""instance_type"": ""t3.xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0719c640339d3d9d1"", ""instance_type"": ""t2.2xlarge"", ""zone"": ""ap-northeast-2c""}, {""instance_id"": ""i-08a88645ffcc0a128"", ""instance_type"": ""t3.xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-02af66e5c410a3425"", ""instance_type"": ""m5.xlarge"", ""zone"": ""ap-northeast-2a""}]"
ef9aae00-6ccd-4b6e-b636-dccff8e3493d,2025-12-13T17:07:25.796288,arn:aws:eks:ap-northeast-2:786382940258:cluster/kubepacs-t1-k8s-cluster,ap-northeast-2,t6189035520-p10-c1-m4-sbl-170350457849,baseline,10,1,4,1,1,2025-12-13T17:05:09.260705,2025-12-13T17:07:25.796131,136.54,"[{""instance_id"": ""i-0cf9de7482a817328"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0cf9de7482a817328"", ""instance_type"": ""c5.9xlarge"", ""zone"": ""ap-northeast-2d""}]","[{""instance_id"": ""i-0a008a2d1f89b7e11"", ""instance_type"": ""r6id.4xlarge"", ""zone"": ""ap-northeast-2d""}]"
