instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
c6g.medium,ap-northeast-1c,10,30.0,10,1,2,10.0,0.0,0.138,196786.35,0.0138,10,142598.8043
m6g.medium,ap-northeast-1d,10,5.0,10,1,4,10.0,0.0,0.149,197708.9612,0.0149,10,132690.578
c8g.metal-24xl,ap-northeast-1c,1,1.0,10,2,2,48.0,38.0,1.438,1477677.5304,0.03,1,21408.1701
c7g.16xlarge,ap-northeast-1a,2,50.0,17,7,7,18.0,1.0,1.9344,456423.4069,0.1075,2,13108.3829
c6g.medium,ap-northeast-1c,50,30.0,50,1,2,50.0,0.0,0.69,983931.75,0.0138,50,28519.7609
m6g.medium,ap-northeast-1d,50,5.0,50,1,4,50.0,0.0,0.745,988544.8062,0.0149,50,26538.1156
c8g.metal-24xl,ap-northeast-1c,2,1.0,50,2,2,96.0,46.0,2.876,2955355.0608,0.03,2,10704.085
c8g.metal-24xl,ap-northeast-1c,3,1.0,75,3,5,96.0,21.0,4.314,2955355.0608,0.0449,3,7136.0567
c6g.medium,ap-northeast-1c,100,30.0,100,1,2,100.0,0.0,1.38,1967863.5,0.0138,100,14259.8804
m6g.medium,ap-northeast-1d,100,5.0,100,1,4,100.0,0.0,1.49,1977089.6125,0.0149,100,13269.0578
c8g.metal-24xl,ap-northeast-1c,3,1.0,100,2,2,144.0,44.0,4.314,4433032.5912,0.03,3,7136.0567
c8g.metal-24xl,ap-northeast-1c,5,1.0,115,4,2,120.0,5.0,7.19,3694193.826,0.0599,5,4281.634
r8g.24xlarge,ap-northeast-1c,3,1.0,287,1,6,288.0,1.0,5.985,8932515.4944,0.0208,3,5182.2354
c6g.medium,ap-northeast-1c,400,30.0,400,1,2,400.0,0.0,5.52,7871454.0,0.0138,400,3564.9701
m6g.medium,ap-northeast-1d,400,5.0,400,1,4,400.0,0.0,5.96,7908358.45,0.0149,400,3317.2645
c8g.metal-24xl,ap-northeast-1c,9,1.0,400,2,2,432.0,32.0,12.942,13299097.7736,0.03,9,2378.6856
r8g.24xlarge,ap-northeast-1c,6,1.0,439,1,9,510.0,71.0,11.97,15817996.188,0.0235,6,2591.1177
c6g.medium,ap-northeast-1c,1000,30.0,1000,1,2,1000.0,0.0,13.8,19678635.0,0.0138,1000,1425.988
m6g.medium,ap-northeast-1d,1000,5.0,1000,1,4,1000.0,0.0,14.9,19770896.125,0.0149,1000,1326.9058
c8g.metal-24xl,ap-northeast-1c,21,1.0,1000,2,2,1008.0,8.0,30.198,31031228.1384,0.03,21,1019.4367
