pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,509762.92587244284,28769.141732283464,132963.75,360959.4351432881,0.0,190.0,0.0,6.0
10,1,4,477200.6091724825,28769.141732283464,131805.97413333334,360959.4351432881,2.0,190.0,0.0,6.0
10,2,2,280065.65886483324,28769.141732283464,63891.67207792208,240639.6234288587,0.0,90.0,0.0,2.0
17,7,7,43975.763597941936,29963.20339301365,42465.81589921036,29963.20339301365,0.0,10.0,0.0,10.0
50,1,2,108448.13707792207,28769.141732283464,26592.75,103131.26718379659,0.0,150.0,0.0,6.0
50,1,4,106244.66392896781,28769.141732283464,26361.194832,103131.26718379659,2.0,150.0,0.0,6.0
50,2,2,56502.444929760364,28769.141732283464,12778.334415584415,55532.22079127509,0.0,50.0,0.0,2.0
75,3,5,25019.979665446943,14887.008522285465,18769.89062745098,14981.601696506825,0.0,53.0,0.0,53.0
100,1,2,56502.444929760364,28769.141732283464,13296.375,55532.22079127509,0.0,100.0,0.0,4.0
100,1,4,56502.444929760364,28769.141732283464,13180.597416666667,55532.22079127509,0.0,100.0,0.0,4.0
100,2,2,28769.141732283464,28769.141732283464,6389.167207792208,28876.754811463048,0.0,0.0,0.0,0.0
115,4,2,12406.869485198818,11689.63758700696,12241.233017902812,12446.877073906484,0.0,7.0,0.0,1.0
287,1,6,13099.281761939197,11882.036914751006,4158.807553017756,9987.734464337882,0.0,33.0,0.0,97.0
400,1,2,14287.95519269232,11689.63758700696,3324.09375,14438.377405731524,0.0,88.0,0.0,0.0
400,1,4,14287.95519269232,11689.63758700696,3295.149354166667,14438.377405731524,0.0,88.0,0.0,0.0
400,2,2,5839.09155834369,5618.926733339134,1597.291801948052,7219.188702865762,0.0,12.0,0.0,0.0
439,1,9,4682.247906082632,4323.172103016552,3206.7011322524454,4993.867232168941,0.0,30.0,0.0,71.0
1000,1,2,4237.4403670186075,3770.1823077528566,1329.6375,5775.350962292609,0.0,66.0,0.0,0.0
1000,1,4,3758.316192679757,3663.799020991997,1318.0597416666667,5775.350962292609,0.0,16.0,0.0,0.0
1000,2,2,1565.2304243248511,1499.5813560972585,638.9167207792208,2887.6754811463047,0.0,36.0,0.0,0.0
