pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,237212.0206024096,237212.0206024096,194394.59946428568,194394.59946428568,0.0,0.0,0.0,0.0
10,1,4,119036.26185006046,7386.852921391505,101911.83567010309,63735.9642972276,0.0,182.0,0.0,6.0
10,2,2,87018.54580498865,56424.02593475074,55432.77464788733,18533.278395177997,0.0,6.0,0.0,22.0
17,7,7,14062.191007190379,11191.271102951867,10746.251879680503,9266.639197588998,0.0,5.0,0.0,1.0
50,1,2,47442.40413012048,47442.40413012048,38878.91989642857,38878.91989642857,0.0,0.0,0.0,0.0
50,1,4,23867.86,7386.852921391505,20382.36713814433,15933.9910743069,0.0,142.0,0.0,14.0
50,2,2,17851.002223253654,12504.040840779851,11086.554929577465,9266.639197588998,0.0,22.0,0.0,14.0
75,3,5,7696.995431404072,7481.5175828715865,3517.182305630027,4900.668658946582,0.0,3.0,0.0,5.0
100,1,2,23163.056134117647,23163.056134117647,19439.45994910714,19439.45994910714,0.0,0.0,0.0,0.0
100,1,4,11933.93,7386.852921391505,10191.183569587629,9105.137756746799,0.0,92.0,0.0,12.0
100,2,2,8918.77425705838,7481.517582871586,5543.277464788733,4633.319598794499,0.0,20.0,0.0,28.0
115,4,2,3737.895024066531,3713.784367941007,2293.8145471500175,2316.6597993972496,0.0,1.0,0.0,13.0
287,1,6,3867.241501665799,3362.6735280532394,2735.3335365975063,2756.501934718184,0.0,43.0,0.0,1.0
400,1,2,4940.1954898533,4392.407955291433,4859.864987220982,4859.864987220982,0.0,44.0,0.0,0.0
400,1,4,2985.3825192191052,2462.2843071305015,2547.795892396907,2549.438571889104,0.0,176.0,0.0,0.0
400,2,2,2109.017206056598,2067.33578368419,1385.8193661971832,1425.636799629077,0.0,8.0,0.0,16.0
439,1,9,2184.5008454761733,1685.1005513298019,995.2128621167387,1550.5323382789784,2.0,130.0,0.0,9.0
1000,1,2,1787.0609537008836,1764.0642538942766,1943.9459949017858,1943.9459949017858,0.0,10.0,0.0,0.0
1000,1,4,1185.8815066586358,1231.1421535652507,1019.1183569587629,1011.6819729718666,0.0,152.0,0.0,8.0
1000,2,2,826.067545841087,806.4596334503342,554.3277464788732,579.1649498493124,0.0,24.0,0.0,24.0
