instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t2.small,eu-west-1c,10,50.0,10,1,2,10.0,0.0,0.111,217721.9514,0.0111,10,196145.9022
m6g.medium,eu-west-1c,10,50.0,10,1,4,10.0,0.0,0.193,197708.9612,0.0193,10,102439.8763
c6g.16xlarge,eu-west-1c,1,50.0,10,2,2,32.0,22.0,1.0618,629716.32,0.0332,1,18533.2784
c6g.16xlarge,eu-west-1c,2,50.0,17,7,7,18.0,1.0,2.1236,354215.43,0.118,2,9266.6392
t2.small,eu-west-1c,50,50.0,50,1,2,50.0,0.0,0.555,1088609.7571,0.0111,50,39229.1804
m6g.medium,eu-west-1c,50,50.0,50,1,4,50.0,0.0,0.965,988544.8062,0.0193,50,20487.9753
c6g.16xlarge,eu-west-1c,2,50.0,50,2,2,64.0,14.0,2.1236,1259432.64,0.0332,2,9266.6392
c6g.12xlarge,eu-west-1b,5,50.0,75,3,5,80.0,5.0,4.0005,1574290.8,0.05,5,4919.0439
t2.small,eu-west-1c,100,50.0,100,1,2,100.0,0.0,1.11,2177219.5143,0.0111,100,19614.5902
m6g.medium,eu-west-1c,100,50.0,100,1,4,100.0,0.0,1.93,1977089.6125,0.0193,100,10243.9876
c6g.16xlarge,eu-west-1c,4,50.0,100,2,2,128.0,28.0,4.2472,2518865.28,0.0332,4,4633.3196
c6g.16xlarge,eu-west-1c,8,50.0,115,4,2,128.0,13.0,8.4944,2518865.28,0.0664,8,2316.6598
r6g.12xlarge,eu-west-1b,6,15.0,287,1,6,288.0,1.0,7.0782,5652293.22,0.0246,6,2772.7414
t2.small,eu-west-1c,400,50.0,400,1,2,400.0,0.0,4.44,8708878.0571,0.0111,400,4903.6476
m6g.medium,eu-west-1c,400,50.0,400,1,4,400.0,0.0,7.72,7908358.45,0.0193,400,2560.9969
c6g.16xlarge,eu-west-1c,13,50.0,400,2,2,416.0,16.0,13.8034,8186312.16,0.0332,13,1425.6368
r6g.12xlarge,eu-west-1b,11,15.0,439,1,9,462.0,23.0,12.9767,9067220.3738,0.0281,11,1512.4044
t2.small,eu-west-1c,1000,50.0,1000,1,2,1000.0,0.0,11.1,21772195.1429,0.0111,1000,1961.459
m6g.medium,eu-west-1c,1000,50.0,1000,1,4,1000.0,0.0,19.3,19770896.125,0.0193,1000,1024.3988
c6g.16xlarge,eu-west-1c,32,50.0,1000,2,2,1024.0,24.0,33.9776,20150922.24,0.0332,32,579.1649
