pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,10.0,0.0,10,10.0,10.0,20.0,0.081,196885.9771,"[{'instance_type': 't4g.small', 'availability_zone': 'euw1-az1', 'num_instances': 10, 'T3': 50.0}]"
10,1,4,192.0,182.0,1,192.0,192.0,768.0,3.2639,5903431.0272,"[{'instance_type': 'm6a.48xlarge', 'availability_zone': 'euw1-az2', 'num_instances': 1, 'T3': 15.0}]"
10,2,2,96.0,86.0,1,96.0,192.0,384.0,2.8941,2955355.0608,"[{'instance_type': 'c8g.metal-48xl', 'availability_zone': 'euw1-az1', 'num_instances': 1, 'T3': 1.0}]"
17,7,7,27.0,10.0,1,27.0,192.0,384.0,2.8941,831193.6109,"[{'instance_type': 'c8g.metal-48xl', 'availability_zone': 'euw1-az1', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,50.0,0.0,50,50.0,50.0,100.0,0.405,984429.8857,"[{'instance_type': 't4g.small', 'availability_zone': 'euw1-az1', 'num_instances': 50, 'T3': 50.0}]"
50,1,4,192.0,142.0,1,192.0,192.0,768.0,3.2639,5903431.0272,"[{'instance_type': 'm6a.48xlarge', 'availability_zone': 'euw1-az2', 'num_instances': 1, 'T3': 15.0}]"
50,2,2,96.0,46.0,1,96.0,192.0,384.0,2.8941,2955355.0608,"[{'instance_type': 'c8g.metal-48xl', 'availability_zone': 'euw1-az1', 'num_instances': 1, 'T3': 1.0}]"
75,3,5,96.0,21.0,2,96.0,288.0,576.0,4.3664,2955355.0608,"[{'instance_type': 'c8g.metal-48xl', 'availability_zone': 'euw1-az1', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c8g.metal-24xl', 'availability_zone': 'euw1-az1', 'num_instances': 1, 'T3': 15.0}]"
100,1,2,100.0,0.0,100,100.0,100.0,200.0,0.815,1968859.7714,"[{'instance_type': 't4g.small', 'availability_zone': 'euw1-az1', 'num_instances': 50, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'euw1-az3', 'num_instances': 50, 'T3': 50.0}]"
100,1,4,192.0,92.0,1,192.0,192.0,768.0,3.2639,5903431.0272,"[{'instance_type': 'm6a.48xlarge', 'availability_zone': 'euw1-az2', 'num_instances': 1, 'T3': 15.0}]"
