instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t2.small,eu-west-1c,10,50.0,10,1,2,10.0,0.0,0.098,217721.9514,0.0098,10,222165.2566
m6g.medium,eu-west-1a,10,50.0,10,1,4,10.0,0.0,0.182,197708.9612,0.0182,10,108631.2974
c6g.large,eu-west-1a,10,50.0,10,2,2,10.0,0.0,0.348,196786.35,0.0348,10,56547.8017
c7g.2xlarge,eu-west-1c,17,50.0,17,7,7,17.0,0.0,2.363,431066.5509,0.139,17,10730.7896
t2.small,eu-west-1c,50,50.0,50,1,2,50.0,0.0,0.49,1088609.7571,0.0098,50,44433.0513
m6g.medium,eu-west-1a,50,50.0,50,1,4,50.0,0.0,0.91,988544.8062,0.0182,50,21726.2595
c6g.large,eu-west-1a,50,50.0,50,2,2,50.0,0.0,1.74,983931.75,0.0348,50,11309.5603
m6g.xlarge,eu-west-1b,75,50.0,75,3,5,75.0,0.0,6.045,1482817.2094,0.0806,75,3270.6197
t2.small,eu-west-1c,100,50.0,100,1,2,100.0,0.0,0.98,2177219.5143,0.0098,100,22216.5257
m6g.medium,eu-west-1a,100,50.0,100,1,4,100.0,0.0,1.82,1977089.6125,0.0182,100,10863.1297
c6g.large,eu-west-1a,100,50.0,100,2,2,100.0,0.0,3.48,1967863.5,0.0348,100,5654.7802
m6g.xlarge,eu-west-1b,115,50.0,115,4,2,115.0,0.0,9.269,2273653.0544,0.0806,115,2133.0129
r6g.medium,eu-west-1b,287,5.0,287,1,6,287.0,0.0,6.4575,5632667.2019,0.0225,287,3039.2595
t2.small,eu-west-1c,400,50.0,400,1,2,400.0,0.0,3.92,8708878.0571,0.0098,400,5554.1314
m6g.medium,eu-west-1a,400,50.0,400,1,4,400.0,0.0,7.28,7908358.45,0.0182,400,2715.7824
c6g.large,eu-west-1a,400,50.0,400,2,2,400.0,0.0,13.92,7871454.0,0.0348,400,1413.695
x2gd.medium,eu-west-1a,439,50.0,439,1,9,439.0,0.0,15.6284,8688468.3354,0.0356,439,1266.3804
t2.small,eu-west-1c,1000,50.0,1000,1,2,1000.0,0.0,9.8,21772195.1429,0.0098,1000,2221.6526
m6g.medium,eu-west-1a,1000,50.0,1000,1,4,1000.0,0.0,18.2,19770896.125,0.0182,1000,1086.313
c6g.large,eu-west-1a,1000,50.0,1000,2,2,1000.0,0.0,34.8,19678635.0,0.0348,1000,565.478
