pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,488986.5457420925,320498.9413680781,345113.4245360825,71795.79737609331,0.0,6.0,0.0,54.0
10,1,4,239653.5001253133,21709.040650406503,186087.13794871792,54856.0119111349,0.0,182.0,0.0,54.0
10,2,2,213665.96091205213,213665.96091205213,93265.4282868526,71795.79737609331,2.0,2.0,0.0,22.0
17,7,7,37866.06122171946,35897.89868804665,16189.74496092143,35897.89868804665,0.0,1.0,0.0,1.0
50,1,2,101553.84072970194,91571.1261051652,69022.68491134021,71795.79737609331,0.0,6.0,0.0,14.0
50,1,4,62072.14191928821,21709.040650406503,37217.42759316239,54856.0119111349,0.0,142.0,0.0,14.0
50,2,2,49307.5294412428,49307.5294412428,18653.08565737052,35897.898688046655,2.0,2.0,0.0,14.0
75,3,5,19552.53693865396,17948.949344023324,5258.152304609219,17948.949344023324,0.0,9.0,0.0,9.0
100,1,2,50776.92036485097,49307.5294412428,34511.34245567011,35897.898688046655,0.0,4.0,0.0,28.0
100,1,4,35609.80188679245,21709.040650406503,18608.713797435896,27428.00595556745,0.0,92.0,0.0,28.0
100,2,2,25639.915309446253,25639.915309446253,9326.54282868526,17948.949344023327,0.0,0.0,0.0,28.0
115,4,2,10948.389340158006,10948.389340158006,3429.229763875577,8974.474672011664,1.0,1.0,0.0,13.0
287,1,6,12568.6955651617,12568.6955651617,6586.211382113822,7836.573130188141,1.0,1.0,0.0,7.0
400,1,2,12819.957654723126,12819.957654723126,8627.835613853093,10256.54248229904,0.0,0.0,0.0,48.0
400,1,4,8902.450471698112,9413.455555830607,4652.178449305556,7836.573130162128,0.0,16.0,0.0,48.0
400,2,2,6197.9952755905515,6197.9952755905515,2331.635707171315,5522.753644314868,0.0,0.0,0.0,16.0
439,1,9,7069.891255403458,7069.898606761345,2477.095750213641,3667.7740311801654,9.0,11.0,0.0,137.0
1000,1,2,4886.067039106145,4886.067039106145,3451.134245546392,4487.237336005832,0.0,0.0,0.0,24.0
1000,1,4,3742.9561677394986,3144.536326122991,1860.8713797350429,3428.500744445931,0.0,184.0,0.0,24.0
1000,2,2,2351.6294587673196,2313.9129377286067,932.6542828685259,2243.618668002916,0.0,16.0,0.0,24.0
