pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,16.0,6.0,2,16.0,16.0,32.0,0.0614,314858.16,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 2, 'T3': 50.0}]"
10,1,4,96.0,86.0,1,96.0,96.0,768.0,0.9004,4537265.0016,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,12.0,2.0,3,12.0,24.0,48.0,0.0921,236143.62,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 3, 'T3': 50.0}]"
17,7,7,27.0,10.0,1,27.0,192.0,1536.0,1.8354,1276105.7817,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,56.0,6.0,7,56.0,56.0,112.0,0.2149,1102003.56,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 7, 'T3': 50.0}]"
50,1,4,96.0,46.0,1,96.0,96.0,768.0,0.9004,4537265.0016,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,52.0,2.0,13,52.0,104.0,208.0,0.3991,1023289.02,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 13, 'T3': 50.0}]"
75,3,5,96.0,21.0,2,96.0,288.0,2304.0,2.7358,4537265.0016,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
100,1,2,104.0,4.0,13,104.0,104.0,208.0,0.3991,2046578.04,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 13, 'T3': 50.0}]"
100,1,4,100.0,0.0,2,100.0,100.0,800.0,0.9385,4726317.71,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.xlarge', 'availability_zone': 'use1-az2', 'num_instances': 1, 'T3': 1.0}]"
100,2,2,100.0,0.0,25,100.0,200.0,400.0,0.7675,1967863.5,"[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 25, 'T3': 50.0}]"
