instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
m8a.large,us-east-1b,5,5.0,10,1,2,10.0,0.0,0.066,478632.211,0.0066,5,725200.3197
m8a.large,us-east-1b,5,5.0,10,1,4,10.0,0.0,0.066,478632.211,0.0066,5,725200.3197
m8a.xlarge,us-east-1b,5,1.0,10,2,2,10.0,0.0,0.132,478632.211,0.0132,5,362600.1598
m8a.16xlarge,us-east-1b,2,1.0,17,7,7,18.0,1.0,0.846,861537.9798,0.047,2,56575.9115
m8a.large,us-east-1b,25,5.0,50,1,2,50.0,0.0,0.33,2393161.055,0.0066,25,145040.0639
m8a.large,us-east-1b,25,5.0,50,1,4,50.0,0.0,0.33,2393161.055,0.0066,25,145040.0639
m8a.xlarge,us-east-1b,25,1.0,50,2,2,50.0,0.0,0.66,2393161.055,0.0132,25,72520.032
m8a.metal-24xl,us-east-1d,3,1.0,75,3,5,96.0,21.0,1.9329,4594869.2256,0.0201,3,24762.3887
m8a.large,us-east-1b,50,5.0,100,1,2,100.0,0.0,0.66,4786322.11,0.0066,50,72520.032
m8a.large,us-east-1b,50,5.0,100,1,4,100.0,0.0,0.66,4786322.11,0.0066,50,72520.032
m8a.xlarge,us-east-1b,50,1.0,100,2,2,100.0,0.0,1.32,4786322.11,0.0132,50,36260.016
m8a.xlarge,us-east-1b,115,1.0,115,4,2,115.0,0.0,3.036,5504270.4265,0.0264,115,15765.2243
m8a.metal-24xl,us-east-1d,5,1.0,287,1,6,320.0,33.0,3.2215,15316230.752,0.0101,5,14857.4332
m8a.large,us-east-1b,200,5.0,400,1,2,400.0,0.0,2.64,19145288.44,0.0066,200,18130.008
m8a.large,us-east-1b,200,5.0,400,1,4,400.0,0.0,2.64,19145288.44,0.0066,200,18130.008
m8a.xlarge,us-east-1b,200,1.0,400,2,2,400.0,0.0,5.28,19145288.44,0.0132,200,9065.004
r8a.48xlarge,us-east-1c,3,5.0,439,1,9,510.0,71.0,6.9162,24104220.321,0.0136,3,6833.6915
m8a.large,us-east-1b,500,5.0,1000,1,2,1000.0,0.0,6.6,47863221.1,0.0066,500,7252.0032
m8a.large,us-east-1b,500,5.0,1000,1,4,1000.0,0.0,6.6,47863221.1,0.0066,500,7252.0032
m8a.xlarge,us-east-1b,500,1.0,1000,2,2,1000.0,0.0,13.2,47863221.1,0.0132,500,3626.0016
