instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
m8a.medium,us-east-1b,10,50.0,10,1,2,10.0,0.0,0.074,478632.211,0.0074,10,646800.2851
m8a.medium,us-east-1b,10,50.0,10,1,4,10.0,0.0,0.074,478632.211,0.0074,10,646800.2851
m8a.large,us-east-1b,10,20.0,10,2,2,10.0,0.0,0.145,478632.211,0.0145,10,330091.18
m8a.2xlarge,us-east-1b,17,1.0,17,7,7,17.0,0.0,1.0081,813674.7587,0.0593,17,47478.6441
m8a.medium,us-east-1b,50,50.0,50,1,2,50.0,0.0,0.37,2393161.055,0.0074,50,129360.057
m8a.medium,us-east-1b,50,50.0,50,1,4,50.0,0.0,0.37,2393161.055,0.0074,50,129360.057
m8a.large,us-east-1b,50,20.0,50,2,2,50.0,0.0,0.725,2393161.055,0.0145,50,66018.236
m8a.xlarge,us-east-1b,75,15.0,75,3,5,75.0,0.0,2.235,3589741.5825,0.0298,75,21415.3115
m8a.medium,us-east-1b,100,50.0,100,1,2,100.0,0.0,0.74,4786322.11,0.0074,100,64680.0285
m8a.medium,us-east-1b,100,50.0,100,1,4,100.0,0.0,0.74,4786322.11,0.0074,100,64680.0285
m8a.large,us-east-1b,100,20.0,100,2,2,100.0,0.0,1.45,4786322.11,0.0145,100,33009.118
m8a.xlarge,us-east-1b,115,15.0,115,4,2,115.0,0.0,3.427,5504270.4265,0.0298,115,13966.5075
m8a.large,us-east-1b,287,20.0,287,1,6,287.0,0.0,4.1615,13736744.4557,0.0145,287,11501.4348
m8a.medium,us-east-1b,400,50.0,400,1,2,400.0,0.0,2.96,19145288.44,0.0074,400,16170.0071
m8a.medium,us-east-1b,400,50.0,400,1,4,400.0,0.0,2.96,19145288.44,0.0074,400,16170.0071
m8a.large,us-east-1b,400,20.0,400,2,2,400.0,0.0,5.8,19145288.44,0.0145,400,8252.2795
x2gd.medium,us-east-1f,439,50.0,439,1,9,439.0,0.0,7.7703,8688468.3354,0.0177,439,2547.0702
m8a.medium,us-east-1b,1000,50.0,1000,1,2,1000.0,0.0,7.4,47863221.1,0.0074,1000,6468.0029
m8a.medium,us-east-1b,1000,50.0,1000,1,4,1000.0,0.0,7.4,47863221.1,0.0074,1000,6468.0029
m8a.large,us-east-1b,1000,20.0,1000,2,2,1000.0,0.0,14.5,47863221.1,0.0145,1000,3300.9118
