instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t3.small,us-west-2d,10,50.0,10,1,2,10.0,0.0,0.077,203536.1129,0.0077,10,264332.6141
m6g.medium,us-west-2d,10,1.0,10,1,4,10.0,0.0,0.137,197708.9612,0.0137,10,144313.1104
c8gn.2xlarge,us-west-2d,3,35.0,10,2,2,12.0,2.0,0.2439,369419.3826,0.0203,3,126219.5513
c8gn.16xlarge,us-west-2d,2,40.0,17,7,7,18.0,1.0,1.445,554129.0739,0.0803,2,21304.4627
t3.small,us-west-2d,50,50.0,50,1,2,50.0,0.0,0.385,1017680.5643,0.0077,50,52866.5228
m6g.medium,us-west-2d,50,1.0,50,1,4,50.0,0.0,0.685,988544.8062,0.0137,50,28862.6221
c8gn.2xlarge,us-west-2d,13,35.0,50,2,2,52.0,2.0,1.0569,1600817.3246,0.0203,13,29127.5888
c8gn.16xlarge,us-west-2d,4,40.0,75,3,5,84.0,9.0,2.89,2585935.6782,0.0344,4,10652.2313
t3.small,us-west-2d,100,50.0,100,1,2,100.0,0.0,0.77,2035361.1286,0.0077,100,26433.2614
m6g.medium,us-west-2d,100,1.0,100,1,4,100.0,0.0,1.37,1977089.6125,0.0137,100,14431.311
c8gn.2xlarge,us-west-2d,25,35.0,100,2,2,100.0,0.0,2.0325,3078494.855,0.0203,25,15146.3462
c8gn.2xlarge,us-west-2d,58,35.0,115,4,2,116.0,1.0,4.7154,3571054.0318,0.0406,58,6528.5975
r7g.16xlarge,us-west-2a,5,50.0,287,1,6,320.0,33.0,5.8375,8165848.32,0.0182,5,4371.4391
t3.small,us-west-2d,400,50.0,400,1,2,400.0,0.0,3.08,8141444.5143,0.0077,400,6608.3154
m6g.medium,us-west-2d,400,1.0,400,1,4,400.0,0.0,5.48,7908358.45,0.0137,400,3607.8278
c8gn.2xlarge,us-west-2d,100,35.0,400,2,2,400.0,0.0,8.13,12313979.42,0.0203,100,3786.5865
r7g.16xlarge,us-west-2a,8,50.0,439,1,9,448.0,9.0,9.34,11432187.648,0.0208,8,2732.1495
t3.small,us-west-2d,1000,50.0,1000,1,2,1000.0,0.0,7.7,20353611.2857,0.0077,1000,2643.3261
m6g.medium,us-west-2d,1000,1.0,1000,1,4,1000.0,0.0,13.7,19770896.125,0.0137,1000,1443.1311
c8gn.2xlarge,us-west-2d,250,35.0,1000,2,2,1000.0,0.0,20.325,30784948.55,0.0203,250,1514.6346
