instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t3.small,us-west-2d,10,50.0,10,1,2,10.0,0.0,0.073,203536.1129,0.0073,10,278816.593
m6g.medium,us-west-2d,10,1.0,10,1,4,10.0,0.0,0.131,197708.9612,0.0131,10,150922.8712
c6a.large,us-west-2d,10,50.0,10,2,2,10.0,0.0,0.254,303609.206,0.0254,10,119531.1835
c8gn.2xlarge,us-west-2d,17,40.0,17,7,7,17.0,0.0,1.5283,523344.1254,0.0899,17,20143.2628
t3.small,us-west-2d,50,50.0,50,1,2,50.0,0.0,0.365,1017680.5643,0.0073,50,55763.3186
m6g.medium,us-west-2d,50,1.0,50,1,4,50.0,0.0,0.655,988544.8062,0.0131,50,30184.5742
c6a.large,us-west-2d,50,50.0,50,2,2,50.0,0.0,1.27,1518046.03,0.0254,50,23906.2367
c5ad.xlarge,us-west-2d,75,25.0,75,3,5,75.0,0.0,4.425,1755721.6875,0.059,75,5290.3102
t3.small,us-west-2d,100,50.0,100,1,2,100.0,0.0,0.73,2035361.1286,0.0073,100,27881.6593
m6g.medium,us-west-2d,100,1.0,100,1,4,100.0,0.0,1.31,1977089.6125,0.0131,100,15092.2871
c6a.large,us-west-2d,100,50.0,100,2,2,100.0,0.0,2.54,3036092.06,0.0254,100,11953.1183
c5ad.xlarge,us-west-2d,115,25.0,115,4,2,115.0,0.0,6.785,2692106.5875,0.059,115,3450.2023
r7g.medium,us-west-2c,287,50.0,287,1,6,287.0,0.0,5.166,7323745.212,0.018,287,4939.6585
t3.small,us-west-2d,400,50.0,400,1,2,400.0,0.0,2.92,8141444.5143,0.0073,400,6970.4148
m6g.medium,us-west-2d,400,1.0,400,1,4,400.0,0.0,5.24,7908358.45,0.0131,400,3773.0718
c6a.large,us-west-2d,400,50.0,400,2,2,400.0,0.0,10.16,12144368.24,0.0254,400,2988.2796
x2gd.medium,us-west-2a,439,50.0,439,1,9,439.0,0.0,11.9408,8688468.3354,0.0272,439,1657.4685
t3.small,us-west-2d,1000,50.0,1000,1,2,1000.0,0.0,7.3,20353611.2857,0.0073,1000,2788.1659
m6g.medium,us-west-2d,1000,1.0,1000,1,4,1000.0,0.0,13.1,19770896.125,0.0131,1000,1509.2287
c6a.large,us-west-2d,1000,50.0,1000,2,2,1000.0,0.0,25.4,30360920.6,0.0254,1000,1195.3118
