pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,351582.10196428566,25144.00015959994,299317.81308823527,299317.81308823527,0.0,182.0,0.0,0.0
10,1,4,453146.472674976,25144.00015959994,162056.5255737705,162056.5255737705,0.0,182.0,0.0,0.0
10,2,2,225815.4663162924,25144.00015959994,126503.83583333335,35523.754465536564,0.0,86.0,0.0,22.0
17,7,7,36889.77294723697,25144.000159599935,17312.421860837465,17761.87723374117,0.0,10.0,0.0,1.0
50,1,2,70316.42040714285,25144.00015959994,59863.562605882355,59863.562605882355,0.0,142.0,0.0,0.0
50,1,4,94224.83472886762,25144.00015959994,32411.305121311474,32411.305121311474,0.0,142.0,0.0,0.0
50,2,2,47769.534162118456,25144.00015959994,25300.76716666667,17761.877232768282,0.0,46.0,0.0,14.0
75,3,5,20967.648773346347,16713.762324068182,7314.015480486848,8880.938616592617,0.0,21.0,0.0,9.0
100,1,2,47769.534162118456,25144.00015959994,29931.781302941177,29931.781302941177,0.0,92.0,0.0,0.0
100,1,4,47769.534162118456,25144.00015959994,16205.65256147541,16205.65256147541,0.0,92.0,0.0,0.0
100,2,2,24077.013295975546,16713.76232406818,12650.383583333334,8880.938616384141,0.0,44.0,0.0,28.0
115,4,2,10372.238045076481,9978.923864620063,4770.010095853901,4440.4693081920705,0.0,5.0,0.0,13.0
287,1,6,16713.76232406818,16713.76232406818,5109.991589571068,4971.899853872382,1.0,1.0,0.0,33.0
400,1,2,11971.422771023303,9978.923864620063,7482.945325643383,7482.945325643383,0.0,80.0,0.0,0.0
400,1,4,11971.422771023303,9978.923864620063,4051.4131403688525,4051.4131403688525,0.0,80.0,0.0,0.0
400,2,2,5949.394161778404,5840.9453019760995,3162.5958958333335,2732.5964973489663,0.0,8.0,0.0,16.0
439,1,9,9634.339054569175,8303.14765819894,1796.141141589174,3107.437408670239,0.0,71.0,0.0,9.0
1000,1,2,4705.662875293563,4279.340585811943,2993.1781302500003,2993.1781302500003,0.0,104.0,0.0,0.0
1000,1,4,4729.581120973472,4279.340585811943,1620.565256147541,1620.565256147541,0.0,104.0,0.0,0.0
1000,2,2,2311.9152534082073,2304.812525906673,1265.0383583333335,1110.1173270480176,0.0,3.0,0.0,24.0
