instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t4g.large,ap-northeast-1a,1,50.0,1,1,1,2.0,1.0,0.0348,39377.1954,0.0174,1,565764.3021
t4g.large,ap-northeast-1a,3,50.0,5,1,1,6.0,1.0,0.1044,118131.5863,0.0174,3,188588.1007
t4g.large,ap-northeast-1a,3,50.0,6,1,1,6.0,0.0,0.1044,118131.5863,0.0174,3,188588.1007
t4g.large,ap-northeast-1a,5,50.0,10,1,1,10.0,0.0,0.174,196885.9771,0.0174,5,113152.8604
t4g.large,ap-northeast-1a,7,50.0,14,1,1,14.0,0.0,0.2436,275640.368,0.0174,7,80823.4717
t4g.large,ap-northeast-1a,8,50.0,15,1,1,16.0,1.0,0.2784,315017.5634,0.0174,8,70720.5378
t4g.large,ap-northeast-1a,9,50.0,17,1,1,18.0,1.0,0.3132,354394.7589,0.0174,9,62862.7002
t4g.large,ap-northeast-1a,10,50.0,20,1,1,20.0,0.0,0.348,393771.9543,0.0174,10,56576.4302
t4g.large,ap-northeast-1a,13,50.0,25,1,1,26.0,1.0,0.4524,511903.5406,0.0174,13,43520.3309
t4g.large,ap-northeast-1a,15,50.0,30,1,1,30.0,0.0,0.522,590657.9314,0.0174,15,37717.6201
t4g.large,ap-northeast-1a,18,50.0,35,1,1,36.0,1.0,0.6264,708789.5177,0.0174,18,31431.3501
t4g.large,ap-northeast-1a,20,50.0,40,1,1,40.0,0.0,0.696,787543.9086,0.0174,20,28288.2151
t4g.large,ap-northeast-1a,23,50.0,45,1,1,46.0,1.0,0.8004,905675.4949,0.0174,23,24598.4479
t4g.large,ap-northeast-1a,25,50.0,50,1,1,50.0,0.0,0.87,984429.8857,0.0174,25,22630.5721
