pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1076910.650793651,320651.3618295019,1076910.650793651,565764.301724138,1076910.650793651,0.0,3.0,0.0,1.0,0.0
5,1,1,223972.8861016949,160325.68097461684,215382.12994708994,188588.10073435502,250215.11759935116,0.0,3.0,0.0,1.0,0.0
6,1,1,188588.10073435502,160325.68097461684,179485.1083186361,188588.10073435502,164565.87568199533,0.0,2.0,0.0,0.0,0.0
10,1,1,113152.86040229886,106883.78730310772,107691.06502645502,113152.86040229886,94842.25979583825,0.0,2.0,0.0,0.0,0.0
14,1,1,80361.62332361517,80162.84047234194,76922.18928841378,80823.471733521,56708.19057422248,0.0,2.0,0.0,0.0,0.0
15,1,1,74774.27795882279,80162.84047234194,71794.04333921224,70720.53776041667,67834.40011250401,0.0,1.0,0.0,1.0,0.0
17,1,1,65890.83553381271,64130.27237547892,63347.685304187034,62862.70024478502,36134.47887694835,0.0,3.0,0.0,1.0,0.0
20,1,1,56013.08027027027,64130.27237547892,53845.5325,56576.43021551725,35518.30470380194,0.0,0.0,0.0,0.0,0.0
25,1,1,44665.15236973267,45807.337413988585,43076.4259978836,43520.33093586342,19899.895382460072,0.0,3.0,0.0,1.0,0.0
30,1,1,37218.52119722747,40081.42023617097,35897.02166960612,37717.62014048531,13009.988799502544,0.0,2.0,0.0,0.0,0.0
35,1,1,31842.94409897745,35627.92909807956,30768.875715365513,31431.350117957994,16650.783054806827,0.0,1.0,0.0,1.0,0.0
40,1,1,27867.795774946917,32065.136190134097,26922.76625,28288.215107758624,13810.785087797092,0.0,0.0,0.0,0.0,0.0
45,1,1,28428.333329525874,26720.946824113984,23931.347779737407,24598.447920061713,9711.792470368231,0.0,3.0,0.0,1.0,0.0
50,1,1,25570.445793724753,24665.489377167927,21538.2130010582,22630.572085057473,7438.791575027382,0.0,2.0,0.0,0.0,0.0
