instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t3.medium,ap-northeast-1a,1,50.0,1,1,1,1.0,0.0,0.0191,20353.6113,0.0191,1,1065634.0987
t3.medium,ap-northeast-1a,5,50.0,5,1,1,5.0,0.0,0.0955,101768.0564,0.0191,5,213126.8197
t3.medium,ap-northeast-1a,6,50.0,6,1,1,6.0,0.0,0.1146,122121.6677,0.0191,6,177605.6831
t3.medium,ap-northeast-1a,10,50.0,10,1,1,10.0,0.0,0.191,203536.1129,0.0191,10,106563.4099
t3.medium,ap-northeast-1a,14,50.0,14,1,1,14.0,0.0,0.2674,284950.558,0.0191,14,76116.7213
t3.medium,ap-northeast-1a,15,50.0,15,1,1,15.0,0.0,0.2865,305304.1693,0.0191,15,71042.2732
t3.medium,ap-northeast-1a,17,50.0,17,1,1,17.0,0.0,0.3247,346011.3919,0.0191,17,62684.3587
t3.medium,ap-northeast-1a,20,50.0,20,1,1,20.0,0.0,0.382,407072.2257,0.0191,20,53281.7049
t3.medium,ap-northeast-1a,25,50.0,25,1,1,25.0,0.0,0.4775,508840.2821,0.0191,25,42625.3639
t3.medium,ap-northeast-1a,30,50.0,30,1,1,30.0,0.0,0.573,610608.3386,0.0191,30,35521.1366
t3.medium,ap-northeast-1a,35,50.0,35,1,1,35.0,0.0,0.6685,712376.395,0.0191,35,30446.6885
t3.medium,ap-northeast-1a,40,50.0,40,1,1,40.0,0.0,0.764,814144.4514,0.0191,40,26640.8525
t3.medium,ap-northeast-1a,45,50.0,45,1,1,45.0,0.0,0.8595,915912.5079,0.0191,45,23680.7577
t3.medium,ap-northeast-1a,50,50.0,50,1,1,50.0,0.0,0.955,1017680.5643,0.0191,50,21312.682
