pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,978539.0048076924,330138.0885108481,978539.0048076924,577378.2316715543,978539.0048076924,0.0,3.0,0.0,1.0,0.0
5,1,1,252467.46317512274,165069.04431706114,195707.80076923076,192459.41072010426,140815.50903225807,0.0,3.0,0.0,1.0,0.0
6,1,1,218797.39989106756,165069.04431706114,163089.8340010684,192459.41072010426,208703.2555070657,0.0,2.0,0.0,0.0,0.0
10,1,1,131588.05888364778,110046.0295310103,97853.9004326923,115475.64639296186,95592.89105658885,0.0,2.0,0.0,0.0,0.0
14,1,1,94086.57160925078,82534.5221431213,69895.64315149136,82482.60458435574,52351.24276722184,0.0,2.0,0.0,0.0,0.0
15,1,1,85666.542820013,82534.5221431213,65235.93361111112,72172.2790047654,62218.77058256679,0.0,1.0,0.0,1.0,0.0
17,1,1,76698.1633097892,66027.61771203156,57561.117896593016,64153.136906701424,29045.381355042016,0.0,3.0,0.0,1.0,0.0
20,1,1,66027.61771203156,66027.61771203156,48926.950204326924,57737.82321114369,42712.80641050396,0.0,0.0,0.0,0.0,0.0
25,1,1,52369.84511125238,47162.584083041496,39141.560161538466,44413.71016328585,26049.414442215708,0.0,3.0,0.0,1.0,0.0
30,1,1,43966.38059276771,41267.26107156065,32617.96680555556,38491.88213750408,25287.17274329598,0.0,2.0,0.0,0.0,0.0
35,1,1,37308.88470483448,36682.0098406263,27958.257260596547,32076.568448825165,11049.99325077014,0.0,1.0,0.0,1.0,0.0
40,1,1,33013.80885848126,33013.80885848126,24463.475102163462,28868.911605571844,10155.57356833494,0.0,0.0,0.0,0.0,0.0
45,1,1,29206.472008058045,27511.507381040432,21745.3112037037,25103.401396426616,12703.048621899994,0.0,3.0,0.0,1.0,0.0
50,1,1,26392.306986754968,25395.23758359301,19570.78008269231,23095.129283284456,8300.295587590097,0.0,2.0,0.0,0.0,0.0
