pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
1,1,1,4.0,3.0,1,4.0,4.0,8.0,0.1033,133904.0087,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 1, 'T3': 25.0}]"
5,1,1,8.0,3.0,2,8.0,8.0,16.0,0.2066,267808.0175,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 2, 'T3': 25.0}]"
6,1,1,8.0,2.0,2,8.0,8.0,16.0,0.2066,267808.0175,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 2, 'T3': 25.0}]"
10,1,1,12.0,2.0,3,12.0,12.0,24.0,0.3099,401712.0262,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 3, 'T3': 25.0}]"
14,1,1,16.0,2.0,4,16.0,16.0,32.0,0.4132,535616.0349,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 4, 'T3': 25.0}]"
15,1,1,16.0,1.0,4,16.0,16.0,32.0,0.4132,535616.0349,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 4, 'T3': 25.0}]"
17,1,1,20.0,3.0,5,20.0,20.0,40.0,0.5165,669520.0436,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 5, 'T3': 25.0}]"
20,1,1,20.0,0.0,5,20.0,20.0,40.0,0.5165,669520.0436,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 5, 'T3': 25.0}]"
25,1,1,28.0,3.0,7,28.0,28.0,56.0,0.7231,937328.0611,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 7, 'T3': 25.0}]"
30,1,1,32.0,2.0,8,32.0,32.0,64.0,0.8264,1071232.0698,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 8, 'T3': 25.0}]"
35,1,1,36.0,1.0,9,36.0,36.0,72.0,0.9297,1205136.0785,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 9, 'T3': 25.0}]"
40,1,1,40.0,0.0,10,40.0,40.0,80.0,1.033,1339040.0873,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 10, 'T3': 25.0}]"
45,1,1,48.0,3.0,12,48.0,48.0,96.0,1.2396,1606848.1047,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 12, 'T3': 25.0}]"
50,1,1,52.0,2.0,13,52.0,52.0,104.0,1.3429,1740752.1135,"[{'instance_type': 'c7a.xlarge', 'availability_zone': 'euw1-az1', 'num_instances': 13, 'T3': 25.0}]"
