instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t4g.large,eu-west-1b,1,50.0,1,1,1,2.0,1.0,0.0338,39377.1954,0.0169,1,582502.891
t4g.large,eu-west-1b,3,50.0,5,1,1,6.0,1.0,0.1014,118131.5863,0.0169,3,194167.6303
t4g.large,eu-west-1b,3,50.0,6,1,1,6.0,0.0,0.1014,118131.5863,0.0169,3,194167.6303
t4g.large,eu-west-1b,5,50.0,10,1,1,10.0,0.0,0.169,196885.9771,0.0169,5,116500.5782
t4g.large,eu-west-1b,7,50.0,14,1,1,14.0,0.0,0.2366,275640.368,0.0169,7,83214.6987
t4g.large,eu-west-1b,8,50.0,15,1,1,16.0,1.0,0.2704,315017.5634,0.0169,8,72812.8614
t4g.large,eu-west-1b,9,50.0,17,1,1,18.0,1.0,0.3042,354394.7589,0.0169,9,64722.5434
t4g.large,eu-west-1b,10,50.0,20,1,1,20.0,0.0,0.338,393771.9543,0.0169,10,58250.2891
t4g.large,eu-west-1b,13,50.0,25,1,1,26.0,1.0,0.4394,511903.5406,0.0169,13,44807.9147
t4g.large,eu-west-1b,15,50.0,30,1,1,30.0,0.0,0.507,590657.9314,0.0169,15,38833.5261
t4g.large,eu-west-1b,18,50.0,35,1,1,36.0,1.0,0.6084,708789.5177,0.0169,18,32361.2717
t4g.large,eu-west-1b,20,50.0,40,1,1,40.0,0.0,0.676,787543.9086,0.0169,20,29125.1445
t4g.large,eu-west-1b,23,50.0,45,1,1,46.0,1.0,0.7774,905675.4949,0.0169,23,25326.2127
t4g.large,eu-west-1b,25,50.0,50,1,1,50.0,0.0,0.845,984429.8857,0.0169,25,23300.1156
