instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t3.medium,eu-west-1b,1,50.0,1,1,1,1.0,0.0,0.0222,20353.6113,0.0222,1,916829.3372
t3.medium,eu-west-1b,5,50.0,5,1,1,5.0,0.0,0.111,101768.0564,0.0222,5,183365.8674
t3.medium,eu-west-1b,6,50.0,6,1,1,6.0,0.0,0.1332,122121.6677,0.0222,6,152804.8895
t3.medium,eu-west-1b,10,50.0,10,1,1,10.0,0.0,0.222,203536.1129,0.0222,10,91682.9337
t3.medium,eu-west-1b,14,50.0,14,1,1,14.0,0.0,0.3108,284950.558,0.0222,14,65487.8098
t3.medium,eu-west-1b,15,50.0,15,1,1,15.0,0.0,0.333,305304.1693,0.0222,15,61121.9558
t3.medium,eu-west-1b,17,50.0,17,1,1,17.0,0.0,0.3774,346011.3919,0.0222,17,53931.1375
t3.medium,eu-west-1b,20,50.0,20,1,1,20.0,0.0,0.444,407072.2257,0.0222,20,45841.4669
t3.medium,eu-west-1b,25,50.0,25,1,1,25.0,0.0,0.555,508840.2821,0.0222,25,36673.1735
t3.medium,eu-west-1b,30,50.0,30,1,1,30.0,0.0,0.666,610608.3386,0.0222,30,30560.9779
t3.medium,eu-west-1b,35,50.0,35,1,1,35.0,0.0,0.777,712376.395,0.0222,35,26195.1239
t3.medium,eu-west-1b,40,50.0,40,1,1,40.0,0.0,0.888,814144.4514,0.0222,40,22920.7334
t3.medium,eu-west-1b,45,50.0,45,1,1,45.0,0.0,0.999,915912.5079,0.0222,45,20373.9853
t3.medium,eu-west-1b,50,50.0,50,1,1,50.0,0.0,1.11,1017680.5643,0.0222,50,18336.5867
