pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1394082.9657534247,1014876.1701030927,1394082.9657534247,1014876.1701030927,1313136.2129032258,0.0,1.0,0.0,1.0,0.0
5,1,1,371191.01910112356,338292.05698739976,278816.5928767123,338292.05698739976,216639.2446650124,0.0,1.0,0.0,1.0,0.0
6,1,1,338292.05698739976,338292.05698739976,232347.16076864538,338292.05698739976,297869.72244967596,0.0,0.0,0.0,0.0,0.0
10,1,1,202975.23412371133,202975.23412371133,139408.29650684932,202975.23412371133,120129.19443779906,0.0,0.0,0.0,0.0,0.0
14,1,1,144982.31011992428,144982.31011992428,99577.35462678222,144982.31011992428,60791.771519370464,0.0,0.0,0.0,0.0,0.0
15,1,1,131203.00500886524,126859.52134342783,92938.86432267884,126859.52134342783,76172.78051810733,0.0,1.0,0.0,1.0,0.0
17,1,1,116182.07396244716,112764.01899579992,82004.88029103664,112764.01899579992,70368.84462682078,0.0,1.0,0.0,1.0,0.0
20,1,1,101487.61708762887,101487.61708762887,69704.14823630138,101487.61708762887,49171.5660693302,0.0,0.0,0.0,0.0,0.0
25,1,1,79689.56449474535,78067.39776123955,55763.31858630137,78067.39776123955,31018.04775288847,0.0,1.0,0.0,1.0,0.0
30,1,1,67658.41138602521,67658.41138602521,46469.43216133942,67658.41138602521,23174.289601652014,0.0,0.0,0.0,0.0,0.0
35,1,1,57222.99100713456,56382.00948994527,39830.94185071289,56382.00948994527,21587.07218658892,0.0,1.0,0.0,1.0,0.0
40,1,1,50743.80854381443,50743.80854381443,34852.07411815069,50743.80854381443,13051.809508232871,0.0,0.0,0.0,0.0,0.0
45,1,1,44638.36835825404,44125.050908151934,30979.621440892945,44125.050908151934,17168.179767662987,0.0,1.0,0.0,1.0,0.0
50,1,1,40595.04683298969,40595.04683298969,27881.65929589041,40595.04683298969,14126.041910621008,0.0,0.0,0.0,0.0,0.0
