instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t3.medium,us-east-1f,1,50.0,1,1,1,1.0,0.0,0.0143,20353.6113,0.0143,1,1423329.4605
t3.medium,us-east-1f,5,50.0,5,1,1,5.0,0.0,0.0715,101768.0564,0.0143,5,284665.8921
t3.medium,us-east-1f,6,50.0,6,1,1,6.0,0.0,0.0858,122121.6677,0.0143,6,237221.5768
t3.medium,us-east-1f,10,50.0,10,1,1,10.0,0.0,0.143,203536.1129,0.0143,10,142332.9461
t3.medium,us-east-1f,14,50.0,14,1,1,14.0,0.0,0.2002,284950.558,0.0143,14,101666.39
t3.medium,us-east-1f,15,50.0,15,1,1,15.0,0.0,0.2145,305304.1693,0.0143,15,94888.6307
t3.medium,us-east-1f,17,50.0,17,1,1,17.0,0.0,0.2431,346011.3919,0.0143,17,83725.2624
t3.medium,us-east-1f,20,50.0,20,1,1,20.0,0.0,0.286,407072.2257,0.0143,20,71166.473
t3.medium,us-east-1f,25,50.0,25,1,1,25.0,0.0,0.3575,508840.2821,0.0143,25,56933.1784
t3.medium,us-east-1f,30,50.0,30,1,1,30.0,0.0,0.429,610608.3386,0.0143,30,47444.3154
t3.medium,us-east-1f,35,50.0,35,1,1,35.0,0.0,0.5005,712376.395,0.0143,35,40666.556
t3.medium,us-east-1f,40,50.0,40,1,1,40.0,0.0,0.572,814144.4514,0.0143,40,35583.2365
t3.medium,us-east-1f,45,50.0,45,1,1,45.0,0.0,0.6435,915912.5079,0.0143,45,31629.5436
t3.medium,us-east-1f,50,50.0,50,1,1,50.0,0.0,0.715,1017680.5643,0.0143,50,28466.5892
