instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t4g.large,us-east-1f,1,5.0,1,1,1,2.0,1.0,0.0213,39377.1954,0.0106,1,924347.3105
t4g.large,us-east-1f,3,5.0,5,1,1,6.0,1.0,0.0639,118131.5863,0.0106,3,308115.7702
t4g.large,us-east-1f,3,5.0,6,1,1,6.0,0.0,0.0639,118131.5863,0.0106,3,308115.7702
t4g.large,us-east-1f,5,5.0,10,1,1,10.0,0.0,0.1065,196885.9771,0.0106,5,184869.4621
t4g.large,us-east-1f,7,5.0,14,1,1,14.0,0.0,0.1491,275640.368,0.0107,7,132049.6158
t4g.large,us-east-1f,8,5.0,15,1,1,16.0,1.0,0.1704,315017.5634,0.0106,8,115543.4138
t4g.large,us-east-1f,9,5.0,17,1,1,18.0,1.0,0.1917,354394.7589,0.0106,9,102705.2567
t4g.large,us-east-1f,10,5.0,20,1,1,20.0,0.0,0.213,393771.9543,0.0106,10,92434.7311
t4g.large,us-east-1f,13,5.0,25,1,1,26.0,1.0,0.2769,511903.5406,0.0106,13,71103.6393
t4g.large,us-east-1f,15,5.0,30,1,1,30.0,0.0,0.3195,590657.9314,0.0106,15,61623.154
t4g.large,us-east-1f,18,5.0,35,1,1,36.0,1.0,0.3834,708789.5177,0.0106,18,51352.6284
t4g.large,us-east-1f,20,5.0,40,1,1,40.0,0.0,0.426,787543.9086,0.0106,20,46217.3655
t4g.large,us-east-1f,23,5.0,45,1,1,46.0,1.0,0.4899,905675.4949,0.0106,23,40189.0135
t4g.large,us-east-1f,25,5.0,50,1,1,50.0,0.0,0.5325,984429.8857,0.0106,25,36973.8924
