instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t4g.large,us-west-2d,1,50.0,1,1,1,2.0,1.0,0.0264,39377.1954,0.0132,1,745780.2165
t4g.large,us-west-2d,3,50.0,5,1,1,6.0,1.0,0.0792,118131.5863,0.0132,3,248593.4055
t4g.large,us-west-2d,3,50.0,6,1,1,6.0,0.0,0.0792,118131.5863,0.0132,3,248593.4055
t4g.large,us-west-2d,5,50.0,10,1,1,10.0,0.0,0.132,196885.9771,0.0132,5,149156.0433
t4g.large,us-west-2d,7,50.0,14,1,1,14.0,0.0,0.1848,275640.368,0.0132,7,106540.0309
t4g.large,us-west-2d,8,50.0,15,1,1,16.0,1.0,0.2112,315017.5634,0.0132,8,93222.5271
t4g.large,us-west-2d,9,50.0,17,1,1,18.0,1.0,0.2376,354394.7589,0.0132,9,82864.4685
t4g.large,us-west-2d,10,50.0,20,1,1,20.0,0.0,0.264,393771.9543,0.0132,10,74578.0216
t4g.large,us-west-2d,13,50.0,25,1,1,26.0,1.0,0.3432,511903.5406,0.0132,13,57367.709
t4g.large,us-west-2d,15,50.0,30,1,1,30.0,0.0,0.396,590657.9314,0.0132,15,49718.6811
t4g.large,us-west-2d,18,50.0,35,1,1,36.0,1.0,0.4752,708789.5177,0.0132,18,41432.2342
t4g.large,us-west-2d,20,50.0,40,1,1,40.0,0.0,0.528,787543.9086,0.0132,20,37289.0108
t4g.large,us-west-2d,23,50.0,45,1,1,46.0,1.0,0.6072,905675.4949,0.0132,23,32425.2268
t4g.large,us-west-2d,25,50.0,50,1,1,50.0,0.0,0.66,984429.8857,0.0132,25,29831.2087
