instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t3.medium,us-west-2d,1,50.0,1,1,1,1.0,0.0,0.0149,20353.6113,0.0149,1,1366014.1802
t3.medium,us-west-2d,5,50.0,5,1,1,5.0,0.0,0.0745,101768.0564,0.0149,5,273202.836
t3.medium,us-west-2d,6,50.0,6,1,1,6.0,0.0,0.0894,122121.6677,0.0149,6,227669.03
t3.medium,us-west-2d,10,50.0,10,1,1,10.0,0.0,0.149,203536.1129,0.0149,10,136601.418
t3.medium,us-west-2d,14,50.0,14,1,1,14.0,0.0,0.2086,284950.558,0.0149,14,97572.4414
t3.medium,us-west-2d,15,50.0,15,1,1,15.0,0.0,0.2235,305304.1693,0.0149,15,91067.612
t3.medium,us-west-2d,17,50.0,17,1,1,17.0,0.0,0.2533,346011.3919,0.0149,17,80353.7753
t3.medium,us-west-2d,20,50.0,20,1,1,20.0,0.0,0.298,407072.2257,0.0149,20,68300.709
t3.medium,us-west-2d,25,50.0,25,1,1,25.0,0.0,0.3725,508840.2821,0.0149,25,54640.5672
t3.medium,us-west-2d,30,50.0,30,1,1,30.0,0.0,0.447,610608.3386,0.0149,30,45533.806
t3.medium,us-west-2d,35,50.0,35,1,1,35.0,0.0,0.5215,712376.395,0.0149,35,39028.9766
t3.medium,us-west-2d,40,50.0,40,1,1,40.0,0.0,0.596,814144.4514,0.0149,40,34150.3545
t3.medium,us-west-2d,45,50.0,45,1,1,45.0,0.0,0.6705,915912.5079,0.0149,45,30355.8707
t3.medium,us-west-2d,50,50.0,50,1,1,50.0,0.0,0.745,1017680.5643,0.0149,50,27320.2836
