pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1464288.582733813,523881.09820031305,1464288.582733813,899022.7260273972,1038449.556122449,0.0,3.0,0.0,1.0,0.0
5,1,1,396549.15167095116,261940.5491979656,292857.7162589928,299674.24226281076,204942.75962441316,0.0,3.0,0.0,1.0,0.0
6,1,1,346184.09703550505,261940.5491979656,244048.09692246205,299674.24226281076,207025.36904761905,0.0,2.0,0.0,0.0,0.0
10,1,1,208443.35105853053,174627.03277690837,146428.85820143885,179804.54529680364,65366.8651487553,0.0,2.0,0.0,0.0,0.0
14,1,1,149113.5954502068,130970.27457453051,104592.04155043312,128431.81809710187,81124.44489882467,0.0,2.0,0.0,0.0,0.0
15,1,1,135221.34297435897,130970.27457453051,97619.23878497203,112377.84082477169,85743.41058532134,0.0,1.0,0.0,1.0,0.0
17,1,1,121351.00866528429,104776.21965571203,86134.62246396653,99891.41408760358,40906.41574051815,0.0,3.0,0.0,1.0,0.0
20,1,1,104776.21965571203,104776.21965571203,73214.42908273381,89902.27267123287,50089.01339381003,0.0,0.0,0.0,0.0,0.0
25,1,1,82937.59512710798,74840.15690172784,58571.54326330935,69155.59436383778,43333.41974302171,0.0,3.0,0.0,1.0,0.0
30,1,1,69727.14472679303,65485.13728726526,48809.61939248601,59934.848442415016,30653.622982487817,0.0,2.0,0.0,0.0,0.0
35,1,1,59073.53755549751,58209.01092080605,41836.81662017325,49945.70703675517,24525.00700059551,0.0,1.0,0.0,1.0,0.0
40,1,1,52388.109831768386,52388.109831768386,36607.214541366906,44951.13633561644,21499.841637700534,0.0,0.0,0.0,0.0,0.0
45,1,1,46295.191818576386,43656.75819151017,32539.746261657343,39087.94464009806,18751.132396076722,0.0,3.0,0.0,1.0,0.0
50,1,1,41865.935695347674,40298.54602466872,29285.77163453237,35960.90906666667,11969.206592034445,0.0,2.0,0.0,0.0,0.0
