instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
c7a.medium,us-east-1f,10,50.0,10,1,2,10.0,0.0,0.096,334760.0218,0.0096,10,348708.3561
m7gd.medium,us-east-1f,10,25.0,10,1,4,10.0,0.0,0.116,256177.5756,0.0116,10,220842.7376
c5a.large,us-east-1f,10,50.0,10,2,2,10.0,0.0,0.25,234096.225,0.025,10,93638.49
c6g.2xlarge,us-east-1f,17,15.0,17,7,7,17.0,0.0,1.2053,334536.795,0.0709,17,16326.7527
c7a.medium,us-east-1f,50,50.0,50,1,2,50.0,0.0,0.48,1673800.1091,0.0096,50,69741.6712
m7gd.medium,us-east-1f,50,25.0,50,1,4,50.0,0.0,0.58,1280887.8781,0.0116,50,44168.5475
c5a.large,us-east-1f,50,50.0,50,2,2,50.0,0.0,1.25,1170481.125,0.025,50,18727.698
c6g.xlarge,us-east-1d,75,50.0,75,3,5,75.0,0.0,3.78,1475897.625,0.0504,75,5205.9881
c7a.medium,us-east-1f,100,50.0,100,1,2,100.0,0.0,0.96,3347600.2182,0.0096,100,34870.8356
m7gd.medium,us-east-1f,100,25.0,100,1,4,100.0,0.0,1.16,2561775.7562,0.0116,100,22084.2738
c5a.large,us-east-1f,100,50.0,100,2,2,100.0,0.0,2.5,2340962.25,0.025,100,9363.849
c6g.xlarge,us-east-1d,115,50.0,115,4,2,115.0,0.0,5.796,2263043.025,0.0504,115,3395.2096
r7g.medium,us-east-1d,287,50.0,287,1,6,287.0,0.0,3.8458,7323745.212,0.0134,287,6635.3622
c7a.medium,us-east-1f,400,50.0,400,1,2,400.0,0.0,3.84,13390400.8727,0.0096,400,8717.7089
m7gd.medium,us-east-1f,400,25.0,400,1,4,400.0,0.0,4.64,10247103.025,0.0116,400,5521.0684
c5a.large,us-east-1f,400,50.0,400,2,2,400.0,0.0,10.0,9363849.0,0.025,400,2340.9622
x2gd.medium,us-east-1f,439,50.0,439,1,9,439.0,0.0,7.9459,8688468.3354,0.0181,439,2490.7814
c7a.medium,us-east-1f,1000,50.0,1000,1,2,1000.0,0.0,9.6,33476002.1818,0.0096,1000,3487.0836
m7gd.medium,us-east-1f,1000,25.0,1000,1,4,1000.0,0.0,11.6,25617757.5625,0.0116,1000,2208.4274
c5a.large,us-east-1f,1000,50.0,1000,2,2,1000.0,0.0,25.0,23409622.5,0.025,1000,936.3849
