instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
g5g.16xlarge,us-east-1d,1,5.0,10,1,2,64.0,54.0,0.2904,1260849.0752,0.0045,1,67840.1061
m7g.16xlarge,us-east-1f,1,1.0,10,1,4,64.0,54.0,0.5123,1639536.484,0.008,1,50005.3827
g5g.16xlarge,us-east-1d,1,5.0,10,2,2,32.0,22.0,0.2904,630424.5376,0.0091,1,67840.1061
g5g.16xlarge,us-east-1d,2,5.0,17,7,7,18.0,1.0,0.5808,354613.8024,0.0323,2,33920.053
g5g.16xlarge,us-east-1d,1,5.0,50,1,2,64.0,14.0,0.2904,1260849.0752,0.0045,1,67840.1061
m7g.16xlarge,us-east-1f,1,1.0,50,1,4,64.0,14.0,0.5123,1639536.484,0.008,1,50005.3827
g5g.16xlarge,us-east-1d,2,5.0,50,2,2,64.0,14.0,0.5808,1260849.0752,0.0091,2,33920.053
g5g.16xlarge,us-east-1d,4,5.0,75,3,5,84.0,9.0,1.1616,1654864.4112,0.0138,4,16960.0265
g5g.16xlarge,us-east-1d,2,5.0,100,1,2,128.0,28.0,0.5808,2521698.1504,0.0045,2,33920.053
m7g.16xlarge,us-east-1f,2,1.0,100,1,4,128.0,28.0,1.0246,3279072.968,0.008,2,25002.6914
g5g.16xlarge,us-east-1d,4,5.0,100,2,2,128.0,28.0,1.1616,2521698.1504,0.0091,4,16960.0265
g5g.16xlarge,us-east-1d,8,5.0,115,4,2,128.0,13.0,2.3232,2521698.1504,0.0182,8,8480.0133
m7g.16xlarge,us-east-1f,7,1.0,287,1,6,294.0,7.0,3.5861,7531620.7234,0.0122,7,7143.6261
g5g.16xlarge,us-east-1d,7,5.0,400,1,2,448.0,48.0,2.0328,8825943.5264,0.0045,7,9691.4437
m7g.16xlarge,us-east-1f,7,1.0,400,1,4,448.0,48.0,3.5861,11476755.388,0.008,7,7143.6261
g5g.16xlarge,us-east-1d,13,5.0,400,2,2,416.0,16.0,3.7752,8195518.9888,0.0091,13,5218.4697
x8g.48xlarge,us-east-1a,3,1.0,439,1,9,576.0,137.0,8.3901,17730946.88,0.0146,3,3668.9543
g5g.16xlarge,us-east-1d,16,5.0,1000,1,2,1024.0,24.0,4.6464,20173585.2032,0.0045,16,4240.0066
m7g.16xlarge,us-east-1f,16,1.0,1000,1,4,1024.0,24.0,8.1968,26232583.744,0.008,16,3125.3364
g5g.16xlarge,us-east-1d,32,5.0,1000,2,2,1024.0,24.0,9.2928,20173585.2032,0.0091,32,2120.0033
