pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods
10.0,1.0,2.0,0.0,0.0407,200973,493792,10,0
10.0,1.0,4.0,0.18,0.1002,309827,309208,10,0
10.0,2.0,2.0,0.0,0.0921,236143,213665,12,2
17.0,7.0,7.0,0.0,0.52,334735,37866,17,0
50.0,1.0,2.0,0.0,0.1942,988118,101763,50,0
50.0,1.0,4.0,0.0,0.3103,976705,62952,50,0
50.0,2.0,2.0,0.0,0.3991,1023289,49307,52,2
75.0,3.0,5.0,0.0,1.0073999999999999,1477291,19552,75,0
100.0,1.0,2.0,0.0,0.3884,1976237,50881,100,0
100.0,1.0,4.0,0.16,0.5466,2007995,36736,100,0
100.0,2.0,2.0,0.0,0.7675000000000001,1967863,25639,100,0
115.0,4.0,2.0,0.0,1.7894,2282721,10997,116,1
287.0,1.0,6.0,0.0,1.5246,5652293,12872,288,1
400.0,1.0,2.0,0.0,1.5350000000000001,7871453,12819,400,0
400.0,1.0,4.0,0.19,2.6482,10343324,9388,416,16
400.0,2.0,2.0,0.0,3.125,7871453,6297,400,0
439.0,1.0,9.0,0.0,2.7104,8792456,7241,448,9
1000.0,1.0,2.0,0.0,3.9650000000000003,19678634,4963,1000,0
1000.0,1.0,4.0,0.16,5.7741999999999996,21895706,3791,1000,0
1000.0,2.0,2.0,0.0,8.2852,19687841,2376,1000,0
