pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,493792.31031941023,320498.9413680781,352378.97031578945,71795.79737609331,0.0,6.0,0.0,54.0
10,1,4,309827.0312,21199.410854835398,224717.17157894737,46713.63523431801,0.0,182.0,0.0,54.0
10,2,2,213665.96091205213,213665.96091205213,92895.32738095238,71795.79737609331,2.0,2.0,0.0,22.0
17,7,7,37866.06122171946,37866.06122171946,16303.757249378623,35897.89868804665,0.0,0.0,0.0,1.0
50,1,2,101763.01444902162,91571.1261051652,70475.79406736842,71795.79737609331,0.0,6.0,0.0,14.0
50,1,4,63053.91562943834,21199.410854835398,44943.434319298256,46713.63523431801,0.0,142.0,0.0,14.0
50,2,2,49307.5294412428,49307.5294412428,18579.065476190477,35897.898688046655,2.0,2.0,0.0,14.0
75,3,5,18881.54305214724,17111.757838964648,5237.161676646707,17948.949344023324,0.0,9.0,0.0,9.0
100,1,2,50881.50722451081,49307.5294412428,35237.89703368421,35897.898688046655,0.0,4.0,0.0,28.0
100,1,4,36823.68561892536,21199.410854835398,22471.717159649128,23356.817617159006,0.0,92.0,0.0,28.0
100,2,2,25639.915309446253,25639.915309446253,9289.532738095239,17948.949344023327,0.0,0.0,0.0,28.0
115,4,2,11002.255954377726,11002.255954377726,3415.540223900026,8974.474672011664,1.0,1.0,0.0,13.0
287,1,6,12903.364973701511,12903.364973701511,6685.252154777188,6673.376462067582,1.0,1.0,0.0,7.0
400,1,2,12819.957654723126,12819.957654723126,8809.474258355263,10256.54248229904,0.0,0.0,0.0,48.0
400,1,4,9125.9637344244,9403.487069178693,5617.929290021931,6673.376462045431,0.0,16.0,0.0,48.0
400,2,2,6307.254807692308,6307.254807692308,2322.3831845238096,5522.753644314868,0.0,0.0,0.0,16.0
439,1,9,7258.1427977071,7258.1427977071,2532.7608232521497,3954.8312191562895,9.0,9.0,0.0,71.0
1000,1,2,4969.352272727273,4969.352272727273,3523.7897033473687,4487.237336005832,0.0,0.0,0.0,24.0
1000,1,4,3799.556863970014,3715.36794018249,2247.171716008772,2919.6022021448757,0.0,24.0,0.0,24.0
1000,2,2,2330.584050949382,2294.068613303435,928.9532738095238,2243.618668002916,0.0,16.0,0.0,24.0
