pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods
10.0,1.0,2.0,0.23,0.07879,320542,406831,10,0
10.0,1.0,4.0,0.19,0.088945,320542,360382,10,0
10.0,2.0,2.0,0.23,0.15754400000000002,320542,203462,10,0
17.0,7.0,7.0,0.18,1.008616,576976,31780,18,1
50.0,1.0,2.0,0.23,0.39384199999999997,1602711,81388,50,0
50.0,1.0,4.0,0.19,0.44468500000000005,1602711,72083,50,0
50.0,2.0,2.0,0.23,0.7876839999999999,1602711,40694,50,0
75.0,3.0,5.0,0.23,1.79634,2404067,17844,75,0
100.0,1.0,2.0,0.23,0.7876839999999999,3205423,40694,100,0
100.0,1.0,4.0,0.19,0.8893700000000001,3205423,36041,100,0
100.0,2.0,2.0,0.23,1.5753679999999999,3205423,20347,100,0
115.0,4.0,2.0,0.23,3.623452,3686236,8846,115,0
287.0,1.0,6.0,0.21,3.349562,9187107,9556,287,0
400.0,1.0,2.0,0.25,3.1506999999999996,12821692,10173,400,0
400.0,1.0,4.0,0.19,3.5574000000000003,12821692,9010,400,0
400.0,2.0,2.0,0.23,6.3014,12821692,5086,400,0
439.0,1.0,9.0,0.18,5.887056,14135915,5444,441,2
1000.0,1.0,2.0,0.23,7.876767999999999,32054230,4069,1000,0
1000.0,1.0,4.0,0.19,8.893500000000001,32054230,3604,1000,0
1000.0,2.0,2.0,0.23,15.753499999999999,32054230,2034,1000,0
