pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,491377.67799511005,0.0,491377.67799511005,0.0,491377.67799511005,0.0,491377.67799511005,0.0
10,1,4,303157.5647749511,0.0,303157.5647749511,0.0,303157.5647749511,0.0,303157.5647749511,0.0
10,2,2,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0
17,7,7,37705.75780800919,0.0,37705.75780800919,0.0,37705.75780800919,0.0,37705.75780800919,0.0
50,1,2,101658.31998971193,0.0,101658.31998971193,0.0,101658.31998971193,0.0,101658.31998971193,0.0
50,1,4,63347.5706293274,14.0,63347.5706293274,14.0,63347.5706293274,14.0,63347.5706293274,14.0
50,2,2,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0
75,3,5,18203.09959681894,0.0,18203.09959681894,0.0,18203.09959681894,0.0,18203.09959681894,0.0
100,1,2,50829.15999485597,0.0,50829.15999485597,0.0,50829.15999485597,0.0,50829.15999485597,0.0
100,1,4,38797.321557430245,0.0,38797.321557430245,0.0,38797.321557430245,0.0,38797.321557430245,0.0
100,2,2,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0
115,4,2,10958.144002672903,1.0,10958.144002672903,1.0,10958.144002672903,1.0,10958.144002672903,1.0
287,1,6,12612.311628430049,1.0,12612.311628430049,1.0,12612.311628430049,1.0,12612.311628430049,1.0
400,1,2,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0
400,1,4,9455.999936529788,16.0,9455.999936529788,16.0,9455.999936529788,16.0,9455.999936529788,16.0
400,2,2,6217.578199052133,0.0,6217.578199052133,0.0,6217.578199052133,0.0,6217.578199052133,0.0
439,1,9,7094.425290991902,9.0,7094.425290991902,9.0,7094.425290991902,9.0,7094.425290991902,9.0
1000,1,2,4901.27895392279,0.0,4901.27895392279,0.0,4901.27895392279,0.0,4901.27895392279,0.0
1000,1,4,3765.091792540517,0.0,3765.091792540517,0.0,3765.091792540517,0.0,3765.091792540517,0.0
1000,2,2,2277.3854577604966,0.0,2277.3854577604966,0.0,2277.3854577604966,0.0,2277.3854577604966,0.0
