pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods,iterations,explored_alphas,explored_podcount,nodepool_config,workload_intensity
10,1,2,0.2361,0.0621,478632.211,7707443.0113,10.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.29179606750063086), np.float64(0.20162612375115663), np.float64(0.25735421375199785), np.float64(0.2229123600033648), np.float64(0.244198596255573), np.float64(0.23104297875914817), np.float64(0.2391735975149315), np.float64(0.23414859877429003)]","[11918.0, 662054.0, 10.0, 10.0, 662.0, 10.0, 662.0, 10.0, 486.0, 10.0, 212.0, 10.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 10.0}, {'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 2, 'T3': 5.0}]",default
10,1,2,0.0081,2.5022,421516037.759,168458171.9123,192.0,182.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.013155617496424831), np.float64(0.008130618755783343), np.float64(0.005024998740641487), np.float64(0.010049997481282975)]","[312803.0, 1114709.0, 62624.0, 48686.0, 37120.0, 31040.0, 6696.0, 1760.0, 768.0, 192.0, 10.0, 384.0]","[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 1.0}]",network
10,1,2,0.005,0.0405,399148.9004,9855528.405,10.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.013155617496424831), np.float64(0.008130618755783343), np.float64(0.005024998740641487), np.float64(0.003105620015141856)]","[564786.0, 1129791.0, 219280.0, 198774.0, 185032.0, 154520.0, 101536.0, 33504.0, 13248.0, 192.0, 10.0, 10.0]","[{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': 50.0}, {'instance_type': 't2.small', 'availability_zone': 'us-east-1c', 'num_instances': 2, 'T3': 50.0}]",disk
10,1,2,0.0445,1.9886,102972605.3491,51781456.9793,96.0,86.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.042572472504416356), np.float64(0.047597471245057844), np.float64(0.0394668524892745), np.float64(0.04449185122991599)]","[13374.0, 666406.0, 1392.0, 1280.0, 1056.0, 288.0, 10.0, 10.0, 10.0, 192.0, 10.0, 96.0]","[{'instance_type': 'm6idn.24xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 1, 'T3': 1.0}]",disk_network
10,1,4,0.1459,0.0621,478632.211,7707443.0113,10.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.18033988749894847), np.float64(0.20162612375115666), np.float64(0.16718427000252362), np.float64(0.18847050625473183), np.float64(0.1934955049953733), np.float64(0.19660112501051516), np.float64(0.1915761262698737)]","[8178.0, 457776.0, 662.0, 10.0, 10.0, 10.0, 494.0, 10.0, 10.0, 10.0, 212.0, 10.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 10.0}, {'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 2, 'T3': 5.0}]",default
10,1,4,0.0081,0.0621,478632.211,7707443.0113,10.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.013155617496424831), np.float64(0.008130618755783343), np.float64(0.005024998740641487), np.float64(0.010049997481282975)]","[54366.0, 516103.0, 33502.0, 22504.0, 9552.0, 1920.0, 864.0, 576.0, 192.0, 10.0, 10.0, 10.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 10.0}, {'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 2, 'T3': 5.0}]",network
10,1,4,0.005,0.0621,478632.211,7707443.0113,10.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.013155617496424831), np.float64(0.008130618755783343), np.float64(0.005024998740641487), np.float64(0.003105620015141856)]","[423014.0, 914916.0, 167786.0, 145502.0, 136172.0, 114284.0, 64944.0, 36096.0, 9984.0, 9792.0, 10.0, 10.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 10.0}, {'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 2, 'T3': 5.0}]",disk
10,1,4,0.0213,0.0621,478632.211,7707443.0113,10.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.013155617496424831), np.float64(0.026311234992849666), np.float64(0.029416855007991523), np.float64(0.031336233733491155)]","[12146.0, 462676.0, 2054.0, 1280.0, 1120.0, 384.0, 96.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[{'instance_type': 'm8a.large', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 10.0}, {'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 2, 'T3': 5.0}]",disk_network
10,2,2,0.1459,0.124,478632.211,3859937.1855,10.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.18033988749894847), np.float64(0.20162612375115666), np.float64(0.16718427000252362), np.float64(0.18847050625473183), np.float64(0.1934955049953733), np.float64(0.19660112501051516), np.float64(0.1985205037360148)]","[15950.0, 435134.0, 256.0, 10.0, 10.0, 10.0, 208.0, 10.0, 10.0, 10.0, 10.0, 156.0]","[{'instance_type': 'm8a.xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 5, 'T3': 5.0}]",default
10,2,2,0.0112,2.5022,210758018.8795,84229085.9562,96.0,86.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.013155617496424831), np.float64(0.008130618755783343), np.float64(0.01626123751156669), np.float64(0.011236238770925201)]","[47708.0, 462739.0, 25620.0, 19738.0, 15968.0, 5572.0, 976.0, 384.0, 192.0, 10.0, 288.0, 96.0]","[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': 1.0}]",network
