InstanceType,Region,AZ,SpotPrice,T3,SPS,IF,exptime
t3a.large,us-east-1,us-east-1d,0.0235,50.0,3,2.0,250520-1133
g5g.xlarge,us-east-1,us-east-1b,0.1385,45.0,3,3.0,250520-1133
im4gn.2xlarge,us-east-1,us-east-1b,0.141,40.0,3,3.0,250520-1133
m6id.large,us-east-1,us-east-1d,0.0419,35.0,3,2.0,250520-1133
r6id.xlarge,us-east-1,us-east-1a,0.1442,30.0,3,1.0,250520-1133
x2gd.large,us-east-1,us-east-1d,0.0484,25.0,3,3.0,250520-1133
t4g.medium,us-east-1,us-east-1f,0.01,20.0,3,1.5,250520-1133
m6id.2xlarge,us-east-1,us-east-1b,0.2119,15.0,3,1.0,250520-1133
c7i.2xlarge,us-east-1,us-east-1b,0.156,10.0,3,1.0,250520-1133
r7a.medium,us-east-1,us-east-1f,0.0254,5.0,3,3.0,250520-1133
m5zn.3xlarge,us-east-1,us-east-1c,0.5199,1.0,3,2.5,250520-1133
t2.medium,us-east-1,us-east-1b,0.0119,50.0,3,3.0,250520-1243
r7gd.2xlarge,us-east-1,us-east-1c,0.2414,45.0,3,1.0,250520-1243
r7g.medium,us-east-1,us-east-1a,0.0172,40.0,3,1.0,250520-1243
c5n.9xlarge,us-east-1,us-east-1d,0.8957,35.0,3,2.5,250520-1243
c6gd.large,us-east-1,us-east-1b,0.0339,30.0,3,2.5,250520-1243
r6gd.large,us-east-1,us-east-1d,0.0329,25.0,3,2.0,250520-1243
i4g.large,us-east-1,us-east-1b,0.05,20.0,3,2.5,250520-1243
m5dn.2xlarge,us-east-1,us-east-1a,0.2486,15.0,3,1.5,250520-1243
r6in.xlarge,us-east-1,us-east-1d,0.117,10.0,3,1.0,250520-1243
c7gd.2xlarge,us-east-1,us-east-1f,0.1295,5.0,3,1.5,250520-1243
c6id.large,us-east-1,us-east-1f,0.0324,1.0,3,2.0,250520-1243
m7i.large,us-east-1,us-east-1a,0.0322,50.0,3,1.5,250520-1353
d3en.6xlarge,us-east-1,us-east-1b,1.1334,45.0,3,3.0,250520-1353
r5d.xlarge,us-east-1,us-east-1d,0.1532,40.0,3,2.0,250520-1353
d3.2xlarge,us-east-1,us-east-1a,0.336,35.0,3,3.0,250520-1353
r5a.xlarge,us-east-1,us-east-1d,0.0717,30.0,3,1.0,250520-1353
g6e.xlarge,us-east-1,us-east-1d,0.7661,25.0,3,1.0,250520-1353
inf1.2xlarge,us-east-1,us-east-1f,0.0959,20.0,3,1.0,250520-1353
c6a.2xlarge,us-east-1,us-east-1f,0.127,15.0,3,2.0,250520-1353
m8g.xlarge,us-east-1,us-east-1d,0.046,10.0,3,1.0,250520-1353
r5d.xlarge,us-east-1,us-east-1c,0.1716,5.0,3,2.0,250520-1353
r8gd.2xlarge,us-east-1,us-east-1b,0.2505,1.0,3,2.0,250520-1353
m3.large,us-east-1,us-east-1d,0.0377,50.0,3,3.0,250520-1504
r5a.2xlarge,us-east-1,us-east-1a,0.2035,45.0,3,1.0,250520-1504
c6a.xlarge,us-east-1,us-east-1a,0.0606,40.0,3,1.5,250520-1504
c7g.medium,us-east-1,us-east-1c,0.0111,35.0,3,3.0,250520-1504
r7g.2xlarge,us-east-1,us-east-1f,0.1366,30.0,3,1.0,250520-1504
c6gd.large,us-east-1,us-east-1b,0.0342,25.0,3,2.5,250520-1504
t4g.2xlarge,us-east-1,us-east-1b,0.1055,20.0,3,1.0,250520-1504
m7gd.medium,us-east-1,us-east-1d,0.018,15.0,3,3.0,250520-1504
m8gd.xlarge,us-east-1,us-east-1c,0.0751,10.0,3,2.5,250520-1504
r6id.large,us-east-1,us-east-1f,0.0486,5.0,3,1.5,250520-1504
r8gd.2xlarge,us-east-1,us-east-1d,0.2065,1.0,3,2.0,250520-1504
m7i.large,us-east-1,us-east-1a,0.0322,50.0,3,1.5,250520-1614
i7i.2xlarge,us-east-1,us-east-1a,0.2105,45.0,3,3.0,250520-1614
r5b.large,us-east-1,us-east-1a,0.0533,40.0,3,3.0,250520-1614
c4.2xlarge,us-east-1,us-east-1b,0.1623,35.0,3,2.5,250520-1614
r5d.2xlarge,us-east-1,us-east-1a,0.3997,30.0,3,1.0,250520-1614
r6g.medium,us-east-1,us-east-1f,0.0174,25.0,3,1.0,250520-1614
m5ad.xlarge,us-east-1,us-east-1f,0.146,20.0,3,2.0,250520-1614
i7ie.3xlarge,us-east-1,us-east-1f,0.4876,15.0,3,3.0,250520-1614
m4.2xlarge,us-east-1,us-east-1c,0.1915,10.0,3,1.5,250520-1614
c8g.2xlarge,us-east-1,us-east-1b,0.1024,5.0,3,2.5,250520-1614
r8gd.xlarge,us-east-1,us-east-1d,0.1081,1.0,3,2.5,250520-1614
t3.large,us-east-1,us-east-1f,0.0373,50.0,3,3.0,250520-1724
t2.large,us-east-1,us-east-1c,0.0342,45.0,3,3.0,250520-1724
r5b.large,us-east-1,us-east-1a,0.0535,40.0,3,3.0,250520-1724
m7i.large,us-east-1,us-east-1c,0.0365,35.0,3,1.5,250520-1724
m7a.xlarge,us-east-1,us-east-1d,0.1031,30.0,3,2.5,250520-1724
t4g.xlarge,us-east-1,us-east-1d,0.0499,25.0,3,1.0,250520-1724
r8g.xlarge,us-east-1,us-east-1d,0.0702,20.0,3,1.0,250520-1724
m7gd.xlarge,us-east-1,us-east-1c,0.093,15.0,3,1.0,250520-1724
is4gen.xlarge,us-east-1,us-east-1a,0.2763,10.0,3,3.0,250520-1724
i4i.2xlarge,us-east-1,us-east-1f,0.3248,5.0,3,2.5,250520-1724
inf1.xlarge,us-east-1,us-east-1c,0.0623,1.0,3,1.0,250520-1724
c7g.medium,us-east-1,us-east-1a,0.0096,50.0,3,3.0,250520-1835
inf1.2xlarge,us-east-1,us-east-1b,0.1008,45.0,3,1.0,250520-1835
i7ie.3xlarge,us-east-1,us-east-1b,0.4671,40.0,3,3.0,250520-1835
i7ie.2xlarge,us-east-1,us-east-1c,0.3348,35.0,3,3.0,250520-1835
c6id.large,us-east-1,us-east-1b,0.0524,30.0,3,2.0,250520-1835
c7gn.medium,us-east-1,us-east-1f,0.0069,25.0,3,2.5,250520-1835
m6idn.large,us-east-1,us-east-1d,0.0478,20.0,3,2.5,250520-1835
x2gd.xlarge,us-east-1,us-east-1d,0.1038,15.0,3,3.0,250520-1835
r8g.xlarge,us-east-1,us-east-1c,0.0749,10.0,3,1.0,250520-1835
c1.xlarge,us-east-1,us-east-1d,0.2103,5.0,3,1.0,250520-1835
c7gn.xlarge,us-east-1,us-east-1c,0.0972,1.0,3,2.0,250520-1835
m6a.large,us-east-1,us-east-1f,0.0332,50.0,3,2.5,250520-1945
c5a.2xlarge,us-east-1,us-east-1a,0.1508,45.0,3,2.5,250520-1945
c5ad.2xlarge,us-east-1,us-east-1d,0.2163,40.0,3,2.5,250520-1945
c6gn.xlarge,us-east-1,us-east-1b,0.0884,35.0,3,3.0,250520-1945
m5dn.xlarge,us-east-1,us-east-1a,0.1104,30.0,3,2.0,250520-1945
c5n.large,us-east-1,us-east-1c,0.0539,25.0,3,3.0,250520-1945
m7gd.medium,us-east-1,us-east-1a,0.0148,20.0,3,3.0,250520-1945
r6id.large,us-east-1,us-east-1c,0.0621,15.0,3,1.5,250520-1945
c8gd.xlarge,us-east-1,us-east-1d,0.0816,10.0,3,3.0,250520-1945
c7gd.2xlarge,us-east-1,us-east-1f,0.1301,5.0,3,1.5,250520-1945
i4g.xlarge,us-east-1,us-east-1d,0.114,1.0,3,2.5,250520-1945
r6in.large,us-east-1,us-east-1c,0.0378,50.0,3,1.0,250520-2055
r6gd.xlarge,us-east-1,us-east-1b,0.1161,45.0,3,1.0,250520-2055
m7g.large,us-east-1,us-east-1f,0.028,40.0,3,2.5,250520-2055
c8g.xlarge,us-east-1,us-east-1a,0.0529,35.0,3,2.5,250520-2055
c7i.large,us-east-1,us-east-1c,0.0336,30.0,3,1.0,250520-2055
r5n.xlarge,us-east-1,us-east-1f,0.1265,25.0,3,3.0,250520-2055
m7i-flex.large,us-east-1,us-east-1f,0.0283,20.0,3,2.5,250520-2055
x2gd.xlarge,us-east-1,us-east-1a,0.1193,15.0,3,3.0,250520-2055
is4gen.xlarge,us-east-1,us-east-1d,0.1721,10.0,3,3.0,250520-2055
c8gd.large,us-east-1,us-east-1c,0.035,5.0,3,3.0,250520-2055
m5zn.2xlarge,us-east-1,us-east-1f,0.2891,1.0,3,2.5,250520-2055
m7g.large,us-east-1,us-east-1a,0.0239,50.0,3,2.5,250520-2206
x8g.medium,us-east-1,us-east-1a,0.0162,45.0,3,3.0,250520-2206
r6i.xlarge,us-east-1,us-east-1c,0.1105,40.0,3,1.5,250520-2206
d3.xlarge,us-east-1,us-east-1d,0.125,35.0,3,3.0,250520-2206
i4g.2xlarge,us-east-1,us-east-1f,0.1773,30.0,3,3.0,250520-2206
x1e.2xlarge,us-east-1,us-east-1a,0.5243,25.0,3,1.0,250520-2206
m7i-flex.large,us-east-1,us-east-1f,0.0283,20.0,3,2.5,250520-2206
c7gn.large,us-east-1,us-east-1f,0.0386,15.0,3,1.5,250520-2206
r7gd.large,us-east-1,us-east-1b,0.0468,10.0,3,1.5,250520-2206
i7ie.3xlarge,us-east-1,us-east-1a,0.4773,5.0,3,3.0,250520-2206
f1.2xlarge,us-east-1,us-east-1e,0.4159,1.0,3,1.0,250520-2206
r7g.large,us-east-1,us-east-1a,0.0285,50.0,3,1.0,250520-2316
r7a.2xlarge,us-east-1,us-east-1a,0.2984,45.0,3,1.5,250520-2316
c6gn.large,us-east-1,us-east-1d,0.0384,40.0,3,3.0,250520-2316
m1.large,us-east-1,us-east-1d,0.0449,35.0,3,1.0,250520-2316
m5dn.xlarge,us-east-1,us-east-1c,0.101,30.0,3,2.0,250520-2316
c7gn.2xlarge,us-east-1,us-east-1b,0.1181,25.0,3,1.0,250520-2316
c7gd.large,us-east-1,us-east-1a,0.0366,20.0,3,2.5,250520-2316
m6g.medium,us-east-1,us-east-1a,0.0147,15.0,3,2.0,250520-2316
r7i.xlarge,us-east-1,us-east-1f,0.1008,10.0,3,2.0,250520-2316
c8g.2xlarge,us-east-1,us-east-1d,0.0915,5.0,3,2.5,250520-2316
r5b.xlarge,us-east-1,us-east-1c,0.1511,1.0,3,3.0,250520-2316
c6g.medium,us-east-1,us-east-1b,0.0115,50.0,3,3.0,250521-0027
r6i.2xlarge,us-east-1,us-east-1f,0.2123,45.0,3,1.0,250521-0027
x2gd.large,us-east-1,us-east-1c,0.0518,40.0,3,3.0,250521-0027
r7i.2xlarge,us-east-1,us-east-1b,0.2105,35.0,3,1.0,250521-0027
m7a.xlarge,us-east-1,us-east-1b,0.1066,30.0,3,2.5,250521-0027
c6gd.xlarge,us-east-1,us-east-1d,0.0558,25.0,3,2.5,250521-0027
c7gd.large,us-east-1,us-east-1a,0.0366,20.0,3,2.5,250521-0027
g6.2xlarge,us-east-1,us-east-1a,0.4515,15.0,3,1.0,250521-0027
m6in.2xlarge,us-east-1,us-east-1f,0.1608,10.0,3,1.0,250521-0027
r5dn.2xlarge,us-east-1,us-east-1a,0.4046,5.0,3,1.0,250521-0027
c7gn.2xlarge,us-east-1,us-east-1d,0.1131,1.0,3,1.0,250521-0027
c7a.medium,us-east-1,us-east-1a,0.0209,50.0,3,3.0,250521-0137
m6idn.large,us-east-1,us-east-1c,0.0657,45.0,3,2.5,250521-0137
c5n.large,us-east-1,us-east-1f,0.0394,40.0,3,3.0,250521-0137
z1d.xlarge,us-east-1,us-east-1b,0.116,35.0,3,1.0,250521-0137
c6g.large,us-east-1,us-east-1b,0.0243,30.0,3,2.5,250521-0137
m5d.xlarge,us-east-1,us-east-1f,0.1088,25.0,3,2.5,250521-0137
c6id.xlarge,us-east-1,us-east-1a,0.0839,20.0,3,1.5,250521-0137
c5ad.xlarge,us-east-1,us-east-1c,0.0662,15.0,3,2.5,250521-0137
c7gn.xlarge,us-east-1,us-east-1b,0.0721,10.0,3,2.0,250521-0137
c7i-flex.large,us-east-1,us-east-1f,0.0291,5.0,3,3.0,250521-0137
inf1.xlarge,us-east-1,us-east-1d,0.0644,1.0,3,1.0,250521-0137
c7i.large,us-east-1,us-east-1a,0.0266,50.0,3,1.0,250521-0247
m8g.large,us-east-1,us-east-1b,0.0325,45.0,3,2.0,250521-0247
m7i-flex.large,us-east-1,us-east-1a,0.0337,40.0,3,2.5,250521-0247
c8g.xlarge,us-east-1,us-east-1a,0.0523,35.0,3,2.5,250521-0247
r6g.medium,us-east-1,us-east-1f,0.0171,30.0,3,1.0,250521-0247
m6g.medium,us-east-1,us-east-1b,0.0165,25.0,3,2.0,250521-0247
i4g.2xlarge,us-east-1,us-east-1f,0.1773,20.0,3,3.0,250521-0247
r8g.xlarge,us-east-1,us-east-1b,0.0688,15.0,3,1.0,250521-0247
i2.2xlarge,us-east-1,us-east-1a,0.4628,10.0,3,1.0,250521-0247
m7a.xlarge,us-east-1,us-east-1f,0.0673,5.0,3,2.5,250521-0247
i4g.large,us-east-1,us-east-1a,0.0531,1.0,3,2.5,250521-0247
c8g.medium,us-east-1,us-east-1f,0.0071,50.0,3,3.0,250521-0358
m6g.large,us-east-1,us-east-1c,0.0328,45.0,3,2.0,250521-0358
c6gn.medium,us-east-1,us-east-1b,0.0111,40.0,3,1.5,250521-0358
im4gn.large,us-east-1,us-east-1c,0.0663,35.0,3,3.0,250521-0358
c8g.xlarge,us-east-1,us-east-1f,0.0621,30.0,3,2.5,250521-0358
r7a.large,us-east-1,us-east-1c,0.0663,25.0,3,2.0,250521-0358
r6i.xlarge,us-east-1,us-east-1f,0.0988,20.0,3,1.5,250521-0358
c5ad.xlarge,us-east-1,us-east-1c,0.0662,15.0,3,2.5,250521-0358
r8gd.large,us-east-1,us-east-1b,0.0547,10.0,3,3.0,250521-0358
m6idn.xlarge,us-east-1,us-east-1f,0.147,5.0,3,2.5,250521-0358
r6idn.xlarge,us-east-1,us-east-1d,0.1783,1.0,3,1.0,250521-0358
t4g.large,us-east-1,us-east-1d,0.021,50.0,3,1.0,250521-0508
c4.2xlarge,us-east-1,us-east-1d,0.1922,45.0,3,2.5,250521-0508
c7i.2xlarge,us-east-1,us-east-1d,0.1571,40.0,3,1.0,250521-0508
i7ie.2xlarge,us-east-1,us-east-1c,0.3338,35.0,3,3.0,250521-0508
c8g.xlarge,us-east-1,us-east-1f,0.062,30.0,3,2.5,250521-0508
i7ie.6xlarge,us-east-1,us-east-1b,0.8943,25.0,3,3.0,250521-0508
m5zn.2xlarge,us-east-1,us-east-1b,0.28,20.0,3,2.5,250521-0508
c7i-flex.xlarge,us-east-1,us-east-1c,0.0703,15.0,3,1.5,250521-0508
r6idn.large,us-east-1,us-east-1a,0.0626,10.0,3,3.0,250521-0508
c5n.xlarge,us-east-1,us-east-1f,0.1462,5.0,3,3.0,250521-0508
r5ad.2xlarge,us-east-1,us-east-1b,0.3875,1.0,3,1.5,250521-0508
r6g.medium,us-east-1,us-east-1d,0.0151,50.0,3,1.0,250521-0619
r7a.2xlarge,us-east-1,us-east-1c,0.2618,45.0,3,1.5,250521-0619
c4.2xlarge,us-east-1,us-east-1d,0.1922,40.0,3,2.5,250521-0619
m6idn.large,us-east-1,us-east-1a,0.0544,35.0,3,2.5,250521-0619
i7ie.2xlarge,us-east-1,us-east-1c,0.3338,30.0,3,3.0,250521-0619
c7gd.medium,us-east-1,us-east-1c,0.0133,25.0,3,2.5,250521-0619
inf1.2xlarge,us-east-1,us-east-1a,0.1067,20.0,3,1.0,250521-0619
r6gd.large,us-east-1,us-east-1c,0.0494,15.0,3,2.0,250521-0619
m2.2xlarge,us-east-1,us-east-1c,0.1608,10.0,3,1.0,250521-0619
z1d.large,us-east-1,us-east-1f,0.0493,5.0,3,1.0,250521-0619
r5ad.2xlarge,us-east-1,us-east-1d,0.286,1.0,3,1.5,250521-0619
x2gd.medium,us-east-1,us-east-1f,0.0216,50.0,3,3.0,250521-0729
c5n.2xlarge,us-east-1,us-east-1c,0.2246,45.0,3,2.5,250521-0729
r7g.medium,us-east-1,us-east-1a,0.0171,40.0,3,1.0,250521-0729
m5dn.xlarge,us-east-1,us-east-1d,0.1048,35.0,3,2.0,250521-0729
i7ie.3xlarge,us-east-1,us-east-1b,0.468,30.0,3,3.0,250521-0729
g4ad.xlarge,us-east-1,us-east-1b,0.1133,25.0,3,3.0,250521-0729
c8gd.large,us-east-1,us-east-1a,0.0336,20.0,3,3.0,250521-0729
c7a.large,us-east-1,us-east-1f,0.029,15.0,3,2.0,250521-0729
r7a.xlarge,us-east-1,us-east-1c,0.1624,10.0,3,2.5,250521-0729
r8g.2xlarge,us-east-1,us-east-1b,0.1686,5.0,3,1.0,250521-0729
