run,pods,cpu,mem,alpha,cost,performance,actual_pods
result_110303,1000,1,2,1.0,30160.671600000045,38823903900,1464084
result_110303,1000,1,4,1.0,30111.15830000004,31733426268,1198937
result_110303,1000,2,2,1.0,30077.40480000004,19360753709,729893
result_110303,100,1,2,1.0,30160.671600000045,38823903900,1464084
result_110303,100,1,4,1.0,30111.15830000004,31733426268,1198937
result_110303,100,2,2,1.0,30077.40480000004,19360753709,729893
result_110303,10,1,2,1.0,30160.671600000045,38823903900,1464084
result_110303,10,1,4,1.0,30111.15830000004,31733426268,1198937
result_110303,10,2,2,1.0,30077.40480000004,19360753709,729893
result_110303,115,4,2,1.0,29483.08250000003,9509171916,358104
result_110303,17,7,7,1.0,28067.18850000004,4882607070,182981
result_110303,287,1,6,1.0,29983.189800000036,24597162184,929595
result_110303,400,1,2,1.0,30160.671600000045,38823903900,1464084
result_110303,400,1,4,1.0,30111.15830000004,31733426268,1198937
result_110303,400,2,2,1.0,30077.40480000004,19360753709,729893
result_110303,439,1,9,1.0,29473.028700000035,18420497707,695068
result_110303,50,1,2,1.0,30160.671600000045,38823903900,1464084
result_110303,50,1,4,1.0,30111.15830000004,31733426268,1198937
result_110303,50,2,2,1.0,30077.40480000004,19360753709,729893
result_110303,75,3,5,1.0,29483.08250000003,12145863181,456296
result_110309,1000,1,2,1.0,30690.123600000046,40787046323,1529994
result_110309,1000,1,4,1.0,30640.399700000053,33492259587,1257308
result_110309,1000,2,2,1.0,30608.01240000005,20342545569,762858
result_110309,100,1,2,1.0,30690.123600000046,40787046323,1529994
result_110309,100,1,4,1.0,30640.399700000053,33492259587,1257308
result_110309,100,2,2,1.0,30608.01240000005,20342545569,762858
result_110309,10,1,2,1.0,30690.123600000046,40787046323,1529994
result_110309,10,1,4,1.0,30640.399700000053,33492259587,1257308
result_110309,10,2,2,1.0,30608.01240000005,20342545569,762858
result_110309,115,4,2,1.0,30026.938700000028,10003078563,374725
result_110309,17,7,7,1.0,28646.38230000003,5159662907,192400
result_110309,287,1,6,1.0,30512.71920000005,25804282468,968777
result_110309,400,1,2,1.0,30690.123600000046,40787046323,1529994
result_110309,400,1,4,1.0,30640.399700000053,33492259587,1257308
result_110309,400,2,2,1.0,30608.01240000005,20342545569,762858
result_110309,439,1,9,1.0,30004.49830000004,19263259532,722044
result_110309,50,1,2,1.0,30690.123600000046,40787046323,1529994
result_110309,50,1,4,1.0,30640.399700000053,33492259587,1257308
result_110309,50,2,2,1.0,30608.01240000005,20342545569,762858
result_110309,75,3,5,1.0,30026.938700000028,12811600937,478864
result_110315,1000,1,2,1.0,27363.21159999999,34636807142,1325949
result_110315,1000,1,4,1.0,27319.568499999994,29748270398,1139372
result_110315,1000,2,2,1.0,27288.06140000001,17268635891,660889
result_110315,100,1,2,1.0,27363.21159999999,34636807142,1325949
result_110315,100,1,4,1.0,27319.568499999994,29748270398,1139372
result_110315,100,2,2,1.0,27288.06140000001,17268635891,660889
result_110315,10,1,2,1.0,27363.21159999999,34636807142,1325949
result_110315,10,1,4,1.0,27319.568499999994,29748270398,1139372
result_110315,10,2,2,1.0,27288.06140000001,17268635891,660889
result_110315,115,4,2,1.0,26776.75090000003,8489628684,324615
result_110315,17,7,7,1.0,25548.82080000005,4373978370,166476
result_110315,287,1,6,1.0,27226.6572,24160442215,926113
result_110315,400,1,2,1.0,27363.21159999999,34636807142,1325949
result_110315,400,1,4,1.0,27319.568499999994,29748270398,1139372
result_110315,400,2,2,1.0,27288.06140000001,17268635891,660889
result_110315,439,1,9,1.0,26820.68170000002,18709128568,716381
result_110315,50,1,2,1.0,27363.21159999999,34636807142,1325949
result_110315,50,1,4,1.0,27319.568499999994,29748270398,1139372
result_110315,50,2,2,1.0,27288.06140000001,17268635891,660889
result_110315,75,3,5,1.0,26776.75090000003,10862838984,414377
result_110321,1000,1,2,1.0,27630.628299999953,35019187991,1347273
result_110321,1000,1,4,1.0,27584.45729999996,29752470571,1145833
result_110321,1000,2,2,1.0,27552.43399999995,17457576632,671440
result_110321,100,1,2,1.0,27630.628299999953,35019187991,1347273
result_110321,100,1,4,1.0,27584.45729999996,29752470571,1145833
