InstanceType,CoreMark
c5.12xlarge,28280.3929114
c5.18xlarge,25753.4321812
c5.24xlarge,28198.69509
c5.2xlarge,25185.5018574
c5.4xlarge,25416.9891866
c5.9xlarge,25775.331019800004
c5.large,25334.1638072
c5.xlarge,25343.5530924
c5a.12xlarge,25686.3364664
c5a.16xlarge,25261.390485400003
c5a.24xlarge,25173.024361
c5a.2xlarge,25707.401216
c5a.4xlarge,25652.725096799997
c5a.8xlarge,25695.0604604
c5a.large,25741.5259838
c5a.xlarge,25675.7815368
c5n.18xlarge,25763.0081642
c5n.2xlarge,25394.801298
c5n.4xlarge,25403.409049
c5n.9xlarge,25765.3756172
c5n.large,25378.780024
c5n.xlarge,25402.903327
c6a.12xlarge,33324.930290000004
c6a.16xlarge,34519.2044584
c6a.24xlarge,33373.607559000004
c6a.2xlarge,33373.383458000004
c6a.32xlarge,34539.950602799996
c6a.48xlarge,33388.224271600004
c6a.4xlarge,33305.3249148
c6a.8xlarge,33289.65002660001
c6a.large,33314.9004888
c6a.xlarge,33371.1748894
c6g.12xlarge,19340.1904786
c6g.16xlarge,19338.6211634
c6g.2xlarge,19334.7323786
c6g.4xlarge,19336.901911
c6g.8xlarge,19338.9945948
c6g.large,19338.172986800004
c6g.medium,19336.375908
c6g.xlarge,19240.044134999996
c6gn.12xlarge,19336.9770258
c6gn.16xlarge,19332.7130206
c6gn.2xlarge,19330.7700704
c6gn.4xlarge,19333.908780599995
c6gn.8xlarge,19339.3687546
c6gn.large,19340.7147556
c6gn.medium,19318.908766400004
c6gn.xlarge,19338.3219264
c6i.12xlarge,28988.062929999996
c6i.16xlarge,28992.4932682
c6i.24xlarge,28987.8711202
c6i.2xlarge,28993.581941399996
c6i.32xlarge,29018.165251799997
c6i.4xlarge,28990.399477599996
c6i.8xlarge,28991.614398399997
c6i.large,28979.9723826
c6i.xlarge,28981.01301
c6in.12xlarge,29019.6688264
c6in.16xlarge,29027.4226862
c6in.24xlarge,29013.6204948
c6in.2xlarge,28934.0283186
c6in.32xlarge,28975.820881599997
c6in.4xlarge,28975.161768800004
c6in.8xlarge,28996.797534200003
c6in.large,28961.0424924
c6in.xlarge,28997.6357124
c7a.12xlarge,35551.062585
c7a.16xlarge,35578.873547400006
c7a.24xlarge,35612.5678924
c7a.2xlarge,35550.291669000006
c7a.32xlarge,35597.4270538
c7a.48xlarge,35590.310902000005
c7a.4xlarge,35517.0023132
c7a.8xlarge,30405.7913712
c7a.large,35674.582822599994
c7a.medium,35533.93280540001
c7a.xlarge,35579.415888400006
c7g.12xlarge,24080.2585992
c7g.16xlarge,24072.140036799996
c7g.2xlarge,24082.576406
c7g.4xlarge,24085.944039600006
c7g.8xlarge,24079.4466572
c7g.large,24092.0907476
c7g.medium,24081.4152806
c7g.xlarge,24086.2931156
c7gn.12xlarge,24076.4292834
c7gn.16xlarge,24072.9521798
c7gn.2xlarge,24090.2329426
c7gn.4xlarge,24079.212249
c7gn.8xlarge,24081.5307288
c7gn.large,24061.1460458
c7gn.medium,24090.3519922
c7gn.xlarge,24086.8702568
c7i.12xlarge,34778.3111392
c7i.16xlarge,34370.7301538
c7i.24xlarge,34352.6937346
c7i.2xlarge,34927.205125199995
c7i.48xlarge,34368.0759288
c7i.4xlarge,34333.2174978
c7i.8xlarge,34415.6075862
c7i.large,33276.402084199995
c7i.xlarge,31918.1276076
c8g.12xlarge,28985.339696599996
c8g.16xlarge,28986.517522600003
c8g.24xlarge,28984.1648316
c8g.2xlarge,28984.836842800003
c8g.48xlarge,27923.915052000004
c8g.4xlarge,28936.177951
c8g.8xlarge,28981.140538999996
c8g.large,28990.0466954
c8g.medium,28986.350975800004
c8g.metal-24xl,29043.091182599997
c8g.metal-48xl,27998.658803600003
c8g.xlarge,28973.4290674
m5.12xlarge,23311.874026
m5.16xlarge,21558.3255324
