InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
a1.2xlarge,usw2-az2,8,16.0,0,1,1.0,0.204,0.204,11831.62
a1.2xlarge,usw2-az3,8,16.0,0,1,1.0,0.204,0.204,11831.62
a1.4xlarge,usw2-az2,16,32.0,0,1,1.0,0.408,0.408,11831.62
a1.4xlarge,usw2-az3,16,32.0,0,1,1.0,0.408,0.408,11831.62
a1.large,usw2-az2,2,4.0,0,1,1.0,0.051,0.051,11831.62
a1.large,usw2-az3,2,4.0,0,1,1.0,0.051,0.051,11831.62
a1.medium,usw2-az2,1,2.0,0,1,1.0,0.0255,0.0255,11831.62
a1.medium,usw2-az3,1,2.0,0,1,1.0,0.0255,0.0255,11831.62
a1.xlarge,usw2-az2,4,8.0,0,1,1.0,0.102,0.102,11831.62
a1.xlarge,usw2-az3,4,8.0,0,1,1.0,0.102,0.102,11831.62
c1.medium,usw2-az1,2,1.69921875,5,3,1.0,0.0476,0.13,16256.0445
c1.medium,usw2-az2,2,1.69921875,10,3,1.0,0.0464,0.13,16256.0445
c1.medium,usw2-az3,2,1.69921875,20,3,1.0,0.0423,0.13,16256.0445
c1.xlarge,usw2-az1,8,7.0,1,3,1.0,0.2379,0.52,16256.0445
c1.xlarge,usw2-az2,8,7.0,1,3,1.0,0.2274,0.52,16256.0445
c1.xlarge,usw2-az3,8,7.0,10,3,1.0,0.1895,0.52,16256.0445
c3.2xlarge,usw2-az1,8,15.0,20,3,3.0,0.227,0.42,21771.302000000003
c3.2xlarge,usw2-az2,8,15.0,15,3,3.0,0.2357,0.42,21771.302000000003
c3.2xlarge,usw2-az3,8,15.0,1,3,3.0,0.2419,0.42,21771.302000000003
c3.4xlarge,usw2-az1,16,30.0,10,3,3.0,0.5053,0.84,21771.302000000003
c3.4xlarge,usw2-az2,16,30.0,10,3,3.0,0.5178,0.84,21771.302000000003
c3.4xlarge,usw2-az3,16,30.0,5,3,3.0,0.4395,0.84,21771.302000000003
c3.8xlarge,usw2-az1,32,60.0,15,3,2.0,0.5955,1.68,21771.302000000003
c3.8xlarge,usw2-az2,32,60.0,5,3,2.0,0.5587,1.68,21771.302000000003
c3.8xlarge,usw2-az3,32,60.0,5,3,2.0,0.56,1.68,21771.302000000003
c3.large,usw2-az1,2,3.75,50,3,3.0,0.0379,0.105,21771.302000000003
c3.large,usw2-az2,2,3.75,50,3,3.0,0.0415,0.105,21771.302000000003
c3.large,usw2-az3,2,3.75,15,3,3.0,0.0373,0.105,21771.302000000003
c3.xlarge,usw2-az1,4,7.5,40,3,2.5,0.0851,0.21,21771.302000000003
c3.xlarge,usw2-az2,4,7.5,30,3,2.5,0.0839,0.21,21771.302000000003
c3.xlarge,usw2-az3,4,7.5,15,3,2.5,0.0767,0.21,21771.302000000003
c4.2xlarge,usw2-az1,8,15.0,50,3,2.5,0.1504,0.398,24429.8238
c4.2xlarge,usw2-az2,8,15.0,20,3,2.5,0.1815,0.398,24429.8238
c4.2xlarge,usw2-az3,8,15.0,35,3,2.5,0.168,0.398,24429.8238
c4.4xlarge,usw2-az1,16,30.0,20,3,2.5,0.3541,0.796,24429.8238
c4.4xlarge,usw2-az3,16,30.0,10,3,2.5,0.3754,0.796,24429.8238
c4.8xlarge,usw2-az1,36,60.0,15,3,3.0,0.6116,1.591,24429.8238
c4.8xlarge,usw2-az2,36,60.0,15,3,3.0,0.6615,1.591,24429.8238
c4.8xlarge,usw2-az3,36,60.0,25,3,3.0,0.6487,1.591,24429.8238
c4.large,usw2-az1,2,3.75,45,3,2.5,0.0401,0.1,24429.8238
c4.large,usw2-az2,2,3.75,20,3,2.5,0.0476,0.1,24429.8238
c4.large,usw2-az3,2,3.75,25,3,2.5,0.0478,0.1,24429.8238
c4.xlarge,usw2-az1,4,7.5,35,3,3.0,0.0828,0.199,24429.8238
c4.xlarge,usw2-az2,4,7.5,30,3,3.0,0.0961,0.199,24429.8238
c4.xlarge,usw2-az3,4,7.5,10,3,3.0,0.0969,0.199,24429.8238
c5.12xlarge,usw2-az1,48,96.0,50,3,2.5,0.7648,2.04,24562.482727272727
c5.12xlarge,usw2-az2,48,96.0,50,3,2.5,0.7533,2.04,24562.482727272727
c5.12xlarge,usw2-az3,48,96.0,50,3,2.5,0.7639,2.04,24562.482727272727
c5.12xlarge,usw2-az4,48,96.0,50,3,2.5,0.7596,2.04,24562.482727272727
c5.18xlarge,usw2-az1,72,144.0,50,3,3.0,0.9662,3.06,24562.482727272727
c5.18xlarge,usw2-az2,72,144.0,50,3,3.0,1.0343,3.06,24562.482727272727
c5.18xlarge,usw2-az3,72,144.0,50,3,3.0,1.0939,3.06,24562.482727272727
c5.18xlarge,usw2-az4,72,144.0,5,3,3.0,0.9539,3.06,24562.482727272727
c5.24xlarge,usw2-az1,96,192.0,50,3,2.5,1.5092,4.08,24562.482727272727
c5.24xlarge,usw2-az2,96,192.0,50,3,2.5,1.5033,4.08,24562.482727272727
c5.24xlarge,usw2-az3,96,192.0,50,3,2.5,1.5777,4.08,24562.482727272727
c5.24xlarge,usw2-az4,96,192.0,1,3,2.5,1.8516,4.08,24562.482727272727
c5.2xlarge,usw2-az1,8,16.0,50,3,2.5,0.138,0.34,24562.482727272727
c5.2xlarge,usw2-az2,8,16.0,50,3,2.5,0.132,0.34,24562.482727272727
c5.2xlarge,usw2-az3,8,16.0,50,3,2.5,0.1378,0.34,24562.482727272727
c5.2xlarge,usw2-az4,8,16.0,30,3,2.5,0.1596,0.34,24562.482727272727
c5.4xlarge,usw2-az1,16,32.0,50,3,1.5,0.2278,0.68,24562.482727272727
c5.4xlarge,usw2-az2,16,32.0,50,3,1.5,0.2232,0.68,24562.482727272727
c5.4xlarge,usw2-az3,16,32.0,50,3,1.5,0.2265,0.68,24562.482727272727
c5.4xlarge,usw2-az4,16,32.0,50,3,1.5,0.2819,0.68,24562.482727272727
c5.9xlarge,usw2-az1,36,72.0,50,3,3.0,0.5801,1.53,24562.482727272727
c5.9xlarge,usw2-az2,36,72.0,50,3,3.0,0.5695,1.53,24562.482727272727
c5.9xlarge,usw2-az3,36,72.0,50,3,3.0,0.6108,1.53,24562.482727272727
c5.9xlarge,usw2-az4,36,72.0,20,3,3.0,0.5614,1.53,24562.482727272727
c5.large,usw2-az1,2,4.0,50,3,2.5,0.0299,0.085,24562.482727272727
c5.large,usw2-az2,2,4.0,50,3,2.5,0.0309,0.085,24562.482727272727
c5.large,usw2-az3,2,4.0,50,3,2.5,0.0303,0.085,24562.482727272727
c5.large,usw2-az4,2,4.0,50,3,2.5,0.0213,0.085,24562.482727272727
c5.xlarge,usw2-az1,4,8.0,50,3,3.0,0.0744,0.17,24562.482727272727
c5.xlarge,usw2-az2,4,8.0,50,3,3.0,0.0805,0.17,24562.482727272727
c5.xlarge,usw2-az3,4,8.0,50,3,3.0,0.0718,0.17,24562.482727272727
c5.xlarge,usw2-az4,4,8.0,50,3,3.0,0.0649,0.17,24562.482727272727
c5a.12xlarge,usw2-az1,48,96.0,1,3,2.5,0.9137,1.848,23409.6225
c5a.12xlarge,usw2-az2,48,96.0,10,3,2.5,0.8778,1.848,23409.6225
c5a.12xlarge,usw2-az3,48,96.0,1,3,2.5,0.8509,1.848,23409.6225
c5a.12xlarge,usw2-az4,48,96.0,5,3,2.5,0.7863,1.848,23409.6225
c5a.16xlarge,usw2-az1,64,128.0,0,2,1.5,0.938,2.464,23409.6225
c5a.16xlarge,usw2-az2,64,128.0,1,3,1.5,1.0727,2.464,23409.6225
c5a.16xlarge,usw2-az3,64,128.0,1,3,1.5,0.9283,2.464,23409.6225
c5a.16xlarge,usw2-az4,64,128.0,1,3,1.5,1.2255,2.464,23409.6225
c5a.24xlarge,usw2-az1,96,192.0,5,3,1.5,1.5715,3.696,23409.6225
c5a.24xlarge,usw2-az2,96,192.0,10,3,1.5,1.5489,3.696,23409.6225
c5a.24xlarge,usw2-az3,96,192.0,10,3,1.5,1.5641,3.696,23409.6225
c5a.24xlarge,usw2-az4,96,192.0,1,3,1.5,2.0087,3.696,23409.6225
c5a.2xlarge,usw2-az1,8,16.0,50,3,2.0,0.1107,0.308,23409.6225
c5a.2xlarge,usw2-az2,8,16.0,50,3,2.0,0.1509,0.308,23409.6225
c5a.2xlarge,usw2-az3,8,16.0,50,3,2.0,0.1211,0.308,23409.6225
c5a.2xlarge,usw2-az4,8,16.0,40,3,2.0,0.1663,0.308,23409.6225
c5a.4xlarge,usw2-az1,16,32.0,15,3,2.5,0.2916,0.616,23409.6225
c5a.4xlarge,usw2-az2,16,32.0,25,3,2.5,0.2841,0.616,23409.6225
c5a.4xlarge,usw2-az3,16,32.0,20,3,2.5,0.2889,0.616,23409.6225
c5a.4xlarge,usw2-az4,16,32.0,10,3,2.5,0.3421,0.616,23409.6225
c5a.8xlarge,usw2-az1,32,64.0,25,3,3.0,0.6095,1.232,23409.6225
c5a.8xlarge,usw2-az2,32,64.0,25,3,3.0,0.5141,1.232,23409.6225
c5a.8xlarge,usw2-az3,32,64.0,5,3,3.0,0.496,1.232,23409.6225
c5a.8xlarge,usw2-az4,32,64.0,50,3,3.0,0.5553,1.232,23409.6225
c5a.large,usw2-az1,2,4.0,50,3,2.5,0.0316,0.077,23409.6225
c5a.large,usw2-az2,2,4.0,50,3,2.5,0.0345,0.077,23409.6225
c5a.large,usw2-az3,2,4.0,50,3,2.5,0.0319,0.077,23409.6225
c5a.large,usw2-az4,2,4.0,50,3,2.5,0.0293,0.077,23409.6225
c5a.xlarge,usw2-az1,4,8.0,50,3,3.0,0.0786,0.154,23409.6225
c5a.xlarge,usw2-az2,4,8.0,50,3,3.0,0.0784,0.154,23409.6225
c5a.xlarge,usw2-az3,4,8.0,50,3,3.0,0.0778,0.154,23409.6225
c5a.xlarge,usw2-az4,4,8.0,50,3,3.0,0.07,0.154,23409.6225
