pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:00:48+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:00:47+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:00:52+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 15:00:54+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 17:00:48+09:00,ap-northeast-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 19:00:52+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:00:52+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:00:48+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:00:48+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 15:00:52+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 17:00:47+09:00,ap-northeast-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 19:00:47+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm5a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 09:00:47+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm5a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 11:00:53+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm5a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 13:00:48+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm5a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 15:00:54+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm5a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 17:00:49+09:00,ap-northeast-1
10,1,4,"[{'instance_type': 'm5a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 19:00:47+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:00:48+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:00:52+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:00:49+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 15:00:53+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 17:00:48+09:00,ap-northeast-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 19:00:48+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:13:27+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:14:09+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 13:14:32+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 15:14:49+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 17:12:12+09:00,ap-northeast-1
17,7,7,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 19:15:09+09:00,ap-northeast-1
50,1,2,"[{'instance_type': 'c7gd.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:04:30+09:00,ap-northeast-1
50,1,2,"[{'instance_type': 'c7gd.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:04:01+09:00,ap-northeast-1
50,1,2,"[{'instance_type': 'c7gd.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:03:57+09:00,ap-northeast-1
50,1,2,"[{'instance_type': 'c7gd.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 15:04:19+09:00,ap-northeast-1
50,1,2,"[{'instance_type': 'c7gd.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 17:04:06+09:00,ap-northeast-1
50,1,2,"[{'instance_type': 'c7gd.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 19:03:55+09:00,ap-northeast-1
50,1,4,"[{'instance_type': 'm5ad.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:04:30+09:00,ap-northeast-1
50,1,4,"[{'instance_type': 'm5ad.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:03:52+09:00,ap-northeast-1
50,1,4,"[{'instance_type': 'm5ad.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:04:06+09:00,ap-northeast-1
50,1,4,"[{'instance_type': 'm5ad.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 15:04:19+09:00,ap-northeast-1
50,1,4,"[{'instance_type': 'm5ad.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 17:04:10+09:00,ap-northeast-1
50,1,4,"[{'instance_type': 'm5ad.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 19:03:46+09:00,ap-northeast-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:04:31+09:00,ap-northeast-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:03:53+09:00,ap-northeast-1
50,2,2,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 13:03:57+09:00,ap-northeast-1
50,2,2,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 15:04:18+09:00,ap-northeast-1
50,2,2,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 17:04:10+09:00,ap-northeast-1
50,2,2,"[{'instance_type': 'c7a.32xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1}]",2025-05-22 19:03:45+09:00,ap-northeast-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 09:13:28+09:00,ap-northeast-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 11:14:09+09:00,ap-northeast-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1}]",2025-05-22 13:14:31+09:00,ap-northeast-1
