pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 09:00:48+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 11:00:52+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 13:00:46+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 15:00:51+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 17:00:51+09:00,us-east-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 19:00:51+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 09:00:49+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 11:00:46+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 13:00:53+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 15:00:51+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 17:00:46+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 19:00:51+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 09:00:47+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 11:00:52+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 13:00:52+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 15:00:46+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 17:00:47+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 19:00:46+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 09:00:49+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 11:00:47+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 13:00:52+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 15:00:47+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-05-22 17:00:46+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-05-22 19:00:46+09:00,us-east-1
17,7,7,"[{'instance_type': 'c6in.32xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-05-22 09:12:53+09:00,us-east-1
