time,pods,cpu,memory,karpenter,kubecaps,region
2025-05-22 09:00:00+09:00,10,1,1,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.2106), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(91818.14772554606), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.91794800002, 'cost': 0.033999999999999996, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 539937.993964706, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,10,1,2,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.2106), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(91818.14772554606), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 184033.6735, 'cost': 0.064, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 287552.61484375, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'ap-northeast-1d', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,10,1,4,"{'performance': np.float64(271884.3880096), 'cost': np.float64(0.3757), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(45229.63601437317), 'nodepool': [{'instance_type': 'm5a.4xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1, 'T3': np.float64(5.0)}]}","{'performance': 333358.586094, 'cost': 0.183, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 182163.1618, 'nodepool': [{'instance_type': 'm6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 5, 'T3': 50.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,10,2,2,"{'performance': np.float64(309423.9135168), 'cost': np.float64(0.4298), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(44995.3340967892), 'nodepool': [{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 342107.26300000004, 'cost': 0.33, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 103668.86757575758, 'nodepool': [{'instance_type': 'c7i-flex.large', 'availability_zone': 'ap-northeast-1c', 'num_instances': 10, 'T3': 25.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,50,1,2,"{'performance': np.float64(1540933.184), 'cost': np.float64(1.2402), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(19413.869537171424), 'nodepool': [{'instance_type': 'c7gd.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(nan)}]}","{'performance': 920168.3675, 'cost': 0.34400000000000003, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 53498.16090116279, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'ap-northeast-1c', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'ap-northeast-1d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 50.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,50,1,4,"{'performance': np.float64(1088503.7888), 'cost': np.float64(1.3039), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(13043.846690697139), 'nodepool': [{'instance_type': 'm5ad.16xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 1666528.249862, 'cost': 0.8701, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 38306.59119324216, 'nodepool': [{'instance_type': 'm6a.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1, 'T3': 10.0}, {'instance_type': 'm6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 9, 'T3': 50.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,50,2,2,"{'performance': np.float64(2680695.8449920006), 'cost': np.float64(2.608), 'assignable_pod': np.float64(96.0), 'excess_pod': np.float64(46.0), 'efficiency': np.float64(10707.02264263804), 'nodepool': [{'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 1715200.0930288, 'cost': 1.691, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 20286.22227118628, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 25.0}, {'instance_type': 'c7i-flex.large', 'availability_zone': 'ap-northeast-1c', 'num_instances': 10, 'T3': 25.0}, {'instance_type': 'c7i-flex.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 6, 'T3': 50.0}, {'instance_type': 'c7i.12xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1, 'T3': 40.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,100,1,2,"{'performance': np.float64(3401327.6508671995), 'cost': np.float64(1.9942), 'assignable_pod': np.float64(128.0), 'excess_pod': np.float64(28.0), 'efficiency': np.float64(13325.078864908231), 'nodepool': [{'instance_type': 'c6g.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c8g.24xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 1788484.440448, 'cost': 0.744, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 24038.769360860213, 'nodepool': [{'instance_type': 't3.small', 'availability_zone': 'ap-northeast-1a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't3a.small', 'availability_zone': 'ap-northeast-1a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'ap-northeast-1c', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'ap-northeast-1d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'ap-northeast-1a', 'num_instances': 20, 'T3': 50.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,100,1,4,"{'performance': np.float64(2351202.6304768), 'cost': np.float64(2.6711), 'assignable_pod': np.float64(112.0), 'excess_pod': np.float64(12.0), 'efficiency': np.float64(7859.264209223593), 'nodepool': [{'instance_type': 'm7gd.8xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(20.0)}, {'instance_type': 'r4.8xlarge', 'availability_zone': 'ap-northeast-1a', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'r5a.12xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 3332791.819116, 'cost': 1.6952999999999998, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 19659.00913771014, 'nodepool': [{'instance_type': 'm6a.8xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 3, 'T3': 10.0}, {'instance_type': 'm6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 2, 'T3': 50.0}]}",ap-northeast-1
2025-05-22 09:00:00+09:00,100,2,2,"{'performance': np.float64(2835391.060280001), 'cost': np.float64(2.8186), 'assignable_pod': np.float64(104.0), 'excess_pod': np.float64(4.0), 'efficiency': np.float64(9672.66571333832), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'ap-northeast-1c', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 3452980.4803104, 'cost': 3.4160000000000004, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 10108.256675381732, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 10, 'T3': 25.0}, {'instance_type': 'c7i-flex.large', 'availability_zone': 'ap-northeast-1c', 'num_instances': 10, 'T3': 25.0}, {'instance_type': 'c7i-flex.large', 'availability_zone': 'ap-northeast-1a', 'num_instances': 8, 'T3': 50.0}, {'instance_type': 'c7i.12xlarge', 'availability_zone': 'ap-northeast-1d', 'num_instances': 3, 'T3': 40.0}]}",ap-northeast-1
