time,pods,cpu,memory,karpenter,kubecaps,region
2025-05-22 09:00:00+09:00,10,1,1,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.1698), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(141848.90482685514), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.91794800002, 'cost': 0.023, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 798169.2084695654, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'us-west-2d', 'num_instances': 10, 'T3': 50.0}]}",us-west-2
2025-05-22 09:00:00+09:00,10,1,2,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.1698), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(141848.90482685514), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 184033.6735, 'cost': 0.046, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 400073.2032608696, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'us-west-2d', 'num_instances': 10, 'T3': 50.0}]}",us-west-2
2025-05-22 09:00:00+09:00,10,1,4,"{'performance': np.float64(309364.100352), 'cost': np.float64(0.196), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(98649.26669387754), 'nodepool': [{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 289845.006812, 'cost': 0.11599999999999999, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 249866.38518275865, 'nodepool': [{'instance_type': 'm8g.large', 'availability_zone': 'us-west-2d', 'num_instances': 5, 'T3': 50.0}]}",us-west-2
2025-05-22 09:00:00+09:00,10,2,2,"{'performance': np.float64(309501.7072), 'cost': np.float64(0.3399), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(56910.434539570466), 'nodepool': [{'instance_type': 'c6gd.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(40.0)}]}","{'performance': 333599.20009279996, 'cost': 0.21259999999999998, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 156914.01697685794, 'nodepool': [{'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 2, 'T3': 50.0}, {'instance_type': 'c6a.xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}]}",us-west-2
2025-05-22 09:00:00+09:00,50,1,2,"{'performance': np.float64(1553926.921856), 'cost': np.float64(0.6671), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(36396.504503073), 'nodepool': [{'instance_type': 'm7g.16xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 921765.281828, 'cost': 0.266, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 69305.66028781954, 'nodepool': [{'instance_type': 't2.small', 'availability_zone': 'us-west-2b', 'num_instances': 10, 'T3': 50.0}, {'instance_type': 't2.small', 'availability_zone': 'us-west-2c', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}]}",us-west-2
2025-05-22 09:00:00+09:00,50,1,4,"{'performance': np.float64(1553926.921856), 'cost': np.float64(0.6671), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(36396.504503073), 'nodepool': [{'instance_type': 'm7g.16xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 1667066.0948440004, 'cost': 0.5948, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 56054.677029051796, 'nodepool': [{'instance_type': 'm6a.12xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': 40.0}, {'instance_type': 'm8g.large', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': 50.0}]}",us-west-2
2025-05-22 09:00:00+09:00,50,2,2,"{'performance': np.float64(2680471.2470976003), 'cost': np.float64(2.4016), 'assignable_pod': np.float64(96.0), 'excess_pod': np.float64(46.0), 'efficiency': np.float64(11626.238961775483), 'nodepool': [{'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(20.0)}]}","{'performance': 1665791.2122496, 'cost': 1.1142, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 29901.116716022258, 'nodepool': [{'instance_type': 'c6a.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': 5.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2a', 'num_instances': 6, 'T3': 50.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6a.xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}]}",us-west-2
2025-05-22 09:00:00+09:00,100,1,2,"{'performance': np.float64(5360942.4941952005), 'cost': np.float64(2.4016), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(11626.238961775483), 'nodepool': [{'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(20.0)}]}","{'performance': 2058817.3170928, 'cost': 0.6295999999999999, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 32700.402113926306, 'nodepool': [{'instance_type': 'c6a.xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}, {'instance_type': 't2.small', 'availability_zone': 'us-west-2a', 'num_instances': 4, 'T3': 50.0}, {'instance_type': 't2.small', 'availability_zone': 'us-west-2b', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't2.small', 'availability_zone': 'us-west-2c', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't3.small', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}]}",us-west-2
2025-05-22 09:00:00+09:00,100,1,4,"{'performance': np.float64(5360942.4941952005), 'cost': np.float64(2.4016), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(11626.238961775483), 'nodepool': [{'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(20.0)}]}","{'performance': 3334132.189688001, 'cost': 1.1896, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 28027.338514525898, 'nodepool': [{'instance_type': 'm6a.12xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 2, 'T3': 40.0}, {'instance_type': 'm8g.large', 'availability_zone': 'us-west-2d', 'num_instances': 2, 'T3': 50.0}]}",us-west-2
2025-05-22 09:00:00+09:00,100,2,2,"{'performance': np.float64(2873158.7994144005), 'cost': np.float64(2.5714), 'assignable_pod': np.float64(104.0), 'excess_pod': np.float64(4.0), 'efficiency': np.float64(10743.76873199275), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(20.0)}]}","{'performance': 3336123.1643040003, 'cost': 2.2908, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 14563.13586652698, 'nodepool': [{'instance_type': 'c6a.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 2, 'T3': 5.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2a', 'num_instances': 16, 'T3': 50.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6a.xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}, {'instance_type': 'm6a.12xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': 40.0}]}",us-west-2
2025-05-22 09:00:00+09:00,400,1,2,"{'performance': np.float64(11261923.597024001), 'cost': np.float64(5.057), 'assignable_pod': np.float64(408.0), 'excess_pod': np.float64(8.0), 'efficiency': np.float64(5458.325867960156), 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 2, 'T3': np.float64(20.0)}]}","{'performance': 10778208.6186344, 'cost': 3.6620000000000004, 'actual_pods': 400.0, 'excess_pods': 0.0, 'efficiency': 7358.143513540688, 'nodepool': [{'instance_type': 'c6a.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 2, 'T3': 5.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6a.xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}, {'instance_type': 'c7i-flex.large', 'availability_zone': 'us-west-2d', 'num_instances': 6, 'T3': 35.0}, {'instance_type': 'c8g.medium', 'availability_zone': 'us-west-2b', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'm6a.12xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': 40.0}, {'instance_type': 't2.small', 'availability_zone': 'us-west-2a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't2.small', 'availability_zone': 'us-west-2b', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't2.small', 'availability_zone': 'us-west-2c', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't3.small', 'availability_zone': 'us-west-2a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't3.small', 'availability_zone': 'us-west-2c', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't3.small', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't3a.small', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}]}",us-west-2
2025-05-22 09:00:00+09:00,400,2,2,"{'performance': np.float64(11498848.449318402), 'cost': np.float64(10.2735), 'assignable_pod': np.float64(416.0), 'excess_pod': np.float64(16.0), 'efficiency': np.float64(2690.559460607763), 'nodepool': [{'instance_type': 'm7g.16xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'm8g.48xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': np.float64(20.0)}]}","{'performance': 13500676.053131204, 'cost': 9.5068, 'actual_pods': 400.0, 'excess_pods': 0.0, 'efficiency': 3550.2682430289906, 'nodepool': [{'instance_type': 'c6a.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 2, 'T3': 5.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2a', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6a.large', 'availability_zone': 'us-west-2d', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6a.xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}, {'instance_type': 'c7i.16xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 4, 'T3': 10.0}, {'instance_type': 'm6a.12xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 8, 'T3': 40.0}]}",us-west-2
2025-05-22 11:00:00+09:00,10,1,1,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.1698), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(141848.90482685514), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.91794800002, 'cost': 0.023, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 798169.2084695654, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'us-west-2d', 'num_instances': 10, 'T3': 50.0}]}",us-west-2
2025-05-22 11:00:00+09:00,10,1,2,"{'performance': np.float64(385375.1046336001), 'cost': np.float64(0.1698), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(141848.90482685514), 'nodepool': [{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 184033.6735, 'cost': 0.046, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 400073.2032608696, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'us-west-2d', 'num_instances': 10, 'T3': 50.0}]}",us-west-2
2025-05-22 11:00:00+09:00,10,1,4,"{'performance': np.float64(309364.100352), 'cost': np.float64(0.1966), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(98348.20077314343), 'nodepool': [{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 289845.006812, 'cost': 0.11599999999999999, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 249866.38518275865, 'nodepool': [{'instance_type': 'm8g.large', 'availability_zone': 'us-west-2d', 'num_instances': 5, 'T3': 50.0}]}",us-west-2
2025-05-22 11:00:00+09:00,10,2,2,"{'performance': np.float64(309501.7072), 'cost': np.float64(0.3399), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(56910.434539570466), 'nodepool': [{'instance_type': 'c6gd.8xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1, 'T3': np.float64(40.0)}]}","{'performance': 333711.74889399996, 'cost': 0.2115, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 157783.3328104019, 'nodepool': [{'instance_type': 'c6a.xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 5, 'T3': 15.0}]}",us-west-2
