time,pods,cpu,memory,karpenter,kubecaps,region
2025-05-22 09:00:00+09:00,10,1,1,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.1494), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(129430.40101070951), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.91794800002, 'cost': 0.026, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 706072.7613384615, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'None', 'num_instances': 10, 'T3': 50.0}]}",us-east-1
2025-05-22 09:00:00+09:00,10,1,2,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.1494), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(129430.40101070951), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 212636.2059516, 'cost': 0.0509, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 417752.86041571706, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 50.0}, {'instance_type': 'c8g.medium', 'availability_zone': 'None', 'num_instances': 2, 'T3': 50.0}]}",us-east-1
2025-05-22 09:00:00+09:00,10,1,4,"{'performance': np.float64(388753.48040959996), 'cost': np.float64(0.2336), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(104011.52622260273), 'nodepool': [{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 302686.73944720003, 'cost': 0.07339999999999999, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 412379.7540152589, 'nodepool': [{'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 2, 'T3': 50.0}, {'instance_type': 't4g.large', 'availability_zone': 'None', 'num_instances': 1, 'T3': 35.0}]}",us-east-1
2025-05-22 09:00:00+09:00,10,2,2,"{'performance': np.float64(309423.9135168), 'cost': np.float64(0.3051), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(63385.757439528024), 'nodepool': [{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 333311.44732200005, 'cost': 0.152, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 219283.84692236845, 'nodepool': [{'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 5, 'T3': 50.0}]}",us-east-1
2025-05-22 09:00:00+09:00,50,1,2,"{'performance': np.float64(1237671.7544576), 'cost': np.float64(0.5195), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(37225.449785178054), 'nodepool': [{'instance_type': 'c6g.16xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 985953.7259516, 'cost': 0.23339999999999997, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 84486.18045857757, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 6, 'T3': 50.0}, {'instance_type': 'c8g.medium', 'availability_zone': 'None', 'num_instances': 2, 'T3': 50.0}]}",us-east-1
2025-05-22 09:00:00+09:00,50,1,4,"{'performance': np.float64(1237542.5549696), 'cost': np.float64(0.6852), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(28220.377147402214), 'nodepool': [{'instance_type': 'm6g.16xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 1635932.5287352002, 'cost': 0.3774, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 86694.88758533122, 'nodepool': [{'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 12, 'T3': 50.0}, {'instance_type': 't4g.large', 'availability_zone': 'None', 'num_instances': 1, 'T3': 35.0}]}",us-east-1
2025-05-22 09:00:00+09:00,50,2,2,"{'performance': np.float64(2680471.2470976003), 'cost': np.float64(2.485), 'assignable_pod': np.float64(96.0), 'excess_pod': np.float64(46.0), 'efficiency': np.float64(11236.046475090545), 'nodepool': [{'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 1498578.7558236, 'cost': 0.6871, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 43620.39749159074, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 3, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 19, 'T3': 50.0}]}",us-east-1
2025-05-22 09:00:00+09:00,100,1,2,"{'performance': np.float64(5360942.4941952005), 'cost': np.float64(2.485), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(11236.046475090545), 'nodepool': [{'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 1989286.6269288, 'cost': 0.4683999999999999, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 42469.82551086252, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 12, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 50.0}]}",us-east-1
2025-05-22 09:00:00+09:00,100,1,4,"{'performance': np.float64(2475243.0784512004), 'cost': np.float64(1.558), 'assignable_pod': np.float64(128.0), 'excess_pod': np.float64(28.0), 'efficiency': np.float64(12411.961842362005), 'nodepool': [{'instance_type': 'm6g.16xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'r6g.16xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 3026867.394472, 'cost': 0.734, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 41237.97540152589, 'nodepool': [{'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.large', 'availability_zone': 'None', 'num_instances': 10, 'T3': 35.0}]}",us-east-1
2025-05-22 09:00:00+09:00,100,2,2,"{'performance': np.float64(1276357.1993208), 'cost': np.float64(1.109), 'assignable_pod': np.float64(66.0), 'excess_pod': np.float64(-34.0), 'efficiency': np.float64(17438.003105729975), 'nodepool': [{'instance_type': 'c6g.12xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c6g.16xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c6g.2xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 2, 'T3': np.float64(50.0)}, {'instance_type': 'm6g.xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 2493222.069288, 'cost': 1.1555, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 21576.997570644744, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 15, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}]}",us-east-1
2025-05-22 09:00:00+09:00,400,1,2,"{'performance': np.float64(13504187.323296001), 'cost': np.float64(7.5774), 'assignable_pod': np.float64(480.0), 'excess_pod': np.float64(80.0), 'efficiency': np.float64(3712.846568770291), 'nodepool': [{'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 2, 'T3': np.float64(1.0)}, {'instance_type': 'x8g.24xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 8853031.738575999, 'cost': 2.074, 'actual_pods': 400.0, 'excess_pods': 0.0, 'efficiency': 10671.446165110896, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}]}",us-east-1
2025-05-22 09:00:00+09:00,400,2,2,"{'performance': np.float64(11442753.351900801), 'cost': np.float64(9.368), 'assignable_pod': np.float64(416.0), 'excess_pod': np.float64(16.0), 'efficiency': np.float64(2936.231707341687), 'nodepool': [{'instance_type': 'c6g.12xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c8g.24xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 2, 'T3': np.float64(50.0)}, {'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 3, 'T3': np.float64(1.0)}]}","{'performance': 10146139.020955198, 'cost': 4.9117999999999995, 'actual_pods': 400.0, 'excess_pods': 0.0, 'efficiency': 5164.165387920517, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 2, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c8g.24xlarge', 'availability_zone': 'None', 'num_instances': 4, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}]}",us-east-1
2025-05-22 09:10:00+09:00,17,7,7,"{'performance': np.float64(521564.77586879994), 'cost': np.float64(2.0468), 'assignable_pod': np.float64(18.0), 'excess_pod': np.float64(1.0), 'efficiency': np.float64(14156.644948993548), 'nodepool': [{'instance_type': 'c6in.32xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': np.float64(5.0)}]}","{'performance': 454125.8948108, 'cost': 0.836, 'actual_pods': 17.0, 'excess_pods': 0.0, 'efficiency': 31953.693696228536, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 4, 'T3': 50.0}, {'instance_type': 'c8g.24xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 50.0}]}",us-east-1
2025-05-22 09:10:00+09:00,75,3,5,"{'performance': np.float64(2038358.761054), 'cost': np.float64(2.9099999999999997), 'assignable_pod': np.float64(77.0), 'excess_pod': np.float64(2.0), 'efficiency': np.float64(9096.973093470791), 'nodepool': [{'instance_type': 'c6g.2xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 2, 'T3': np.float64(50.0)}, {'instance_type': 'm6g.xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 2081647.0739546, 'cost': 1.5929, 'actual_pods': 75.0, 'excess_pods': 0.0, 'efficiency': 17424.379634248646, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 5, 'T3': 50.0}, {'instance_type': 'c8g.24xlarge', 'availability_zone': 'None', 'num_instances': 2, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 50.0}]}",us-east-1
2025-05-22 09:10:00+09:00,287,1,6,"{'performance': np.float64(8916087.921542399), 'cost': np.float64(6.5542), 'assignable_pod': np.float64(320.0), 'excess_pod': np.float64(33.0), 'efficiency': np.float64(4251.132823963259), 'nodepool': [{'instance_type': 'r7g.8xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'r8gd.24xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(0.0)}, {'instance_type': 'x8g.48xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 10417768.745744, 'cost': 2.9361, 'actual_pods': 304.0, 'excess_pods': 17.0, 'efficiency': 11671.597063218482, 'nodepool': [{'instance_type': 'r6a.16xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 5.0}, {'instance_type': 'r6a.32xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 5.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'r7a.8xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 50.0}]}",us-east-1
2025-05-22 09:10:00+09:00,400,1,4,"{'performance': np.float64(12163247.687488), 'cost': np.float64(8.572600000000001), 'assignable_pod': np.float64(448.0), 'excess_pod': np.float64(48.0), 'efficiency': np.float64(3167.0795844067975), 'nodepool': [{'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(1.0)}, {'instance_type': 'r6g.16xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'x8g.24xlarge', 'availability_zone': 'us-east-1c', 'num_instances': 2, 'T3': np.float64(1.0)}]}","{'performance': 13412335.794115199, 'cost': 3.4834, 'actual_pods': 400.0, 'excess_pods': 0.0, 'efficiency': 9625.894093497156, 'nodepool': [{'instance_type': 'inf2.48xlarge', 'availability_zone': 'None', 'num_instances': 2, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 4, 'T3': 50.0}]}",us-east-1
2025-05-22 09:10:00+09:00,1000,1,2,"{'performance': np.float64(21959637.346822403), 'cost': np.float64(9.4317), 'assignable_pod': np.float64(832.0), 'excess_pod': np.float64(-168.0), 'efficiency': np.float64(2798.4133176423866), 'nodepool': [{'instance_type': 'c6g.12xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 2, 'T3': np.float64(50.0)}, {'instance_type': 'c6g.16xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c8g.24xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 3, 'T3': np.float64(1.0)}]}","{'performance': 26166355.8011904, 'cost': 6.368099999999999, 'actual_pods': 1000.0, 'excess_pods': 0.0, 'efficiency': 4108.973760021106, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c8g.24xlarge', 'availability_zone': 'None', 'num_instances': 6, 'T3': 50.0}, {'instance_type': 'c8g.medium', 'availability_zone': 'None', 'num_instances': 16, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}]}",us-east-1
2025-05-22 09:20:00+09:00,115,4,2,"{'performance': np.float64(2035855.5795072), 'cost': np.float64(3.175), 'assignable_pod': np.float64(72.0), 'excess_pod': np.float64(-43.0), 'efficiency': np.float64(8905.754940976378), 'nodepool': [{'instance_type': 'c8g.24xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1, 'T3': np.float64(1.0)}]}","{'performance': 2489253.7979118, 'cost': 2.3548, 'actual_pods': 115.0, 'excess_pods': 0.0, 'efficiency': 9192.154407691965, 'nodepool': [{'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 8, 'T3': 50.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 'r6a.xlarge', 'availability_zone': 'None', 'num_instances': 19, 'T3': 50.0}]}",us-east-1
