pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 09:00:48+09:00,us-east-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 09:00:49+09:00,us-east-1
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 09:00:47+09:00,us-east-1
10,2,2,"[{'instance_type': 'c6g.8xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 09:00:49+09:00,us-east-1
17,7,7,"[{'instance_type': 'c6in.32xlarge', 'availability_zone': 'us-east-1b', 'num_instances': 1}]",2025-05-22 09:12:53+09:00,us-east-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'us-east-1a', 'num_instances': 1}]",2025-05-22 09:03:55+09:00,us-east-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'us-east-1d', 'num_instances': 1}]",2025-05-22 09:03:56+09:00,us-east-1
50,2,2,"[{'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 09:04:06+09:00,us-east-1
75,3,5,"[{'instance_type': 'c6g.2xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}, {'instance_type': 'c6g.4xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 2}, {'instance_type': 'm6g.xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}, {'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 09:13:55+09:00,us-east-1
100,1,2,"[{'instance_type': 'm8gd.48xlarge', 'availability_zone': 'us-east-1f', 'num_instances': 1}]",2025-05-22 09:04:06+09:00,us-east-1
