pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 09:00:47+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 03:00:53+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 17:00:48+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 19:00:47+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 11:00:53+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 13:00:48+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 07:00:48+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 15:00:47+09:00,eu-west-1
10,1,1,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 05:00:47+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 09:00:47+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 03:00:48+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 17:00:47+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 19:00:48+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 11:00:48+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 13:00:48+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 07:00:47+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 15:00:48+09:00,eu-west-1
10,1,2,"[{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 05:00:48+09:00,eu-west-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 09:00:48+09:00,eu-west-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 03:00:54+09:00,eu-west-1
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 17:00:49+09:00,eu-west-1
