pods,cpu,memory,nodepool_config,first_time,region
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 11:00:50+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 07:00:50+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 09:00:53+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 23:00:48+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 15:00:49+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 05:00:50+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 17:00:50+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 19:00:50+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 21:00:50+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 03:00:49+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 13:00:50+09:00,us-west-2
10,1,1,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 01:00:47+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 10:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 11:00:50+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 07:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 09:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 09:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 02:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 23:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 15:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 12:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 07:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 04:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 05:00:48+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 05:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 08:00:48+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 06:00:48+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 17:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 14:00:47+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 01:00:50+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 19:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 11:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 21:00:49+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 03:00:48+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 13:00:51+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 13:00:58+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 01:00:48+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 03:00:50+09:00,us-west-2
10,1,2,"[{'instance_type': 'c7g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 17:47:50+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 10:00:50+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 11:00:49+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 07:00:49+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 09:00:50+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 09:00:43+09:00,us-west-2
10,1,4,"[{'instance_type': 'm7g.4xlarge', 'availability_zone': 'us-west-2d', 'num_instances': 1}]",2025-05-21 02:00:49+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 23:00:50+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 15:00:50+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 12:00:48+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 07:00:49+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 04:00:49+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-21 05:00:49+09:00,us-west-2
10,1,4,"[{'instance_type': 'm6g.4xlarge', 'availability_zone': 'us-west-2c', 'num_instances': 1}]",2025-05-22 05:00:49+09:00,us-west-2
